"","ColonyID","Species","Phenotype","Timepoint","surface.area.cm2"
"37","237","Porites compressa","Susceptible","September_2023",6.61806044014878
"38","238","Porites compressa","Resistant","September_2023",5.29444835211902
"39","239","Porites compressa","Susceptible","September_2023",6.24652020491235
"40","240","Porites compressa","Resistant","September_2023",8.22032770460585
"41","241","Porites compressa","Susceptible","September_2023",5.10867823450081
"42","242","Porites compressa","Resistant","September_2023",4.9229081168826
"43","243","Porites compressa","Susceptible","September_2023",3.80828741117333
"44","244","Porites compressa","Resistant","September_2023",5.50343973443951
"45","247","Porites compressa","Susceptible","September_2023",6.08397135199642
"46","248","Porites compressa","Resistant","September_2023",4.80680179337121
"47","1","Montipora capitata","Susceptible","October_2025",9.53000703381424
"48","2","Montipora capitata","Resistant","October_2025",15.0798892976583
"49","3","Montipora capitata","Susceptible","October_2025",14.9126961918019
"50","4","Montipora capitata","Resistant","October_2025",26.634790613511
"51","12","Montipora capitata","Resistant","October_2025",10.40544871309
"52","19","Montipora capitata","Susceptible","October_2025",14.0860191684008
"53","20","Montipora capitata","Resistant","October_2025",25.838301234223
"54","26","Porites compressa","Resistant","October_2025",11.8660662628632
"55","27","Porites compressa","Susceptible","October_2025",16.984033003245
"56","28","Porites compressa","Resistant","October_2025",6.6784357283747
"57","29","Porites compressa","Susceptible","October_2025",11.6570748805427
"58","41","Porites compressa","Susceptible","October_2025",10.0431969837345
"59","42","Porites compressa","Resistant","October_2025",17.371828123773
"60","43","Porites compressa","Susceptible","October_2025",12.2050967275165
"61","44","Porites compressa","Resistant","October_2025",9.70648864555154
"62","201","Montipora capitata","Susceptible","October_2025",16.4778094327353
"63","202","Montipora capitata","Resistant","October_2025",11.6245651099596
"64","203","Montipora capitata","Susceptible","October_2025",11.1694283217949
"65","204","Montipora capitata","Resistant","October_2025",8.96340817507869
"66","205","Montipora capitata","Susceptible","October_2025",19.8193494233929
"67","206","Montipora capitata","Resistant","October_2025",10.6794596365769
"68","209","Montipora capitata","Susceptible","October_2025",13.0248073715068
"69","210","Montipora capitata","Resistant","October_2025",20.1792790262782
