ColonyID,Species,Phenotype,Sample,Timepoint,Diameter,Height,Without_wax_weight_g,With_wax_weight_g,Notes
201,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,3.8172,4.5268,May be an overestimation
202,Montipora capitata,Resistant,Coral,October_2025,NA,NA,2.7876,3.2882,May be an overestimation
203,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,3.119,3.6,"Modified wax weight, previous weight was overestimation"
204,Montipora capitata,Resistant,Coral,October_2025,NA,NA,2.0119,2.3979,
205,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,3.0924,3.9459,
206,Montipora capitata,Resistant,Coral,October_2025,NA,NA,2.8401,3.3,"Modified wax weight, previous weight was overestimation"
209,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,2.6935,3.2544,
210,Montipora capitata,Resistant,Coral,October_2025,NA,NA,5.8454,6.7144,May be an overestimation
211,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,1.4755,1.9621,
213,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,2.3337,3.2647,
214,Montipora capitata,Resistant,Coral,October_2025,NA,NA,3.5887,3.9145,
221,Montipora capitata,Susceptible,Coral,October_2025,NA,NA,6.3825,7.1347,May be an overestimation
225,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.4926,3.8635,
226,Porites compressa,Resistant,Coral,October_2025,NA,NA,3.5857,4.0994,
233,Porites compressa,Susceptible,Coral,October_2025,NA,NA,2.8718,3.2154,
234,Porites compressa,Resistant,Coral,October_2025,NA,NA,6.4252,7.1639,
235,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.2737,3.6328,
236,Porites compressa,Resistant,Coral,October_2025,NA,NA,7.2938,8.1209,
237,Porites compressa,Susceptible,Coral,October_2025,NA,NA,2.491,2.7665,
238,Porites compressa,Resistant,Coral,October_2025,NA,NA,3.7753,4.209,
239,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.099,3.4298,
240,Porites compressa,Resistant,Coral,October_2025,NA,NA,7.0386,7.6926,
241,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.0255,3.3616,
242,Porites compressa,Resistant,Coral,October_2025,NA,NA,2.1633,2.4746,
243,Porites compressa,Susceptible,Coral,October_2025,NA,NA,3.7939,4.1396,
244,Porites compressa,Resistant,Coral,October_2025,NA,NA,6.6574,7.3389,May be an overestimation
247,Porites compressa,Susceptible,Coral,October_2025,NA,NA,4.867,5.3772,
248,Porites compressa,Resistant,Coral,October_2025,NA,NA,6.7742,7.5682,
Standard1,NA,NA,Standard,October_2025,3,9.8,44.6561,49.1954,"Same as May 2024, Oct 2024, and Jan 2025"
Standard2,NA,NA,Standard,October_2025,1.5,7.3,6.7453,8.0028,"Same as May 2024, Oct 2024, and Jan 2025"
Standard3,NA,NA,Standard,October_2025,1.1,7.6,6.1658,7.331,"Same as May 2024, Oct 2024, and Jan 2025"
Standard4,NA,NA,Standard,October_2025,1.2,15,11.7761,14.1594,"Same as May 2024, Oct 2024, and Jan 2025"
Standard5,NA,NA,Standard,October_2025,0.7,15,4.4632,5.8993,"Same as May 2024, Oct 2024, and Jan 2025"
Standard6,NA,NA,Standard,October_2025,0.2,15,0.7428,1.2505,"Same as May 2024, Oct 2024, and Jan 2025"
