"","ColonyID","Timepoint","Species","Phenotype","chla.ug.cm2","chlc.ug.cm2"
"1","1","April_2023","Montipora capitata","Susceptible",4.46425099746101,1.23246282190787
"2","1","January_2024","Montipora capitata","Susceptible",5.16941416123178,1.55809440372506
"3","1","September_2023","Montipora capitata","Susceptible",1.74449487307231,0.547655141170818
"4","11","April_2023","Montipora capitata","Susceptible",3.12981209150327,1.74102124183006
"5","12","April_2023","Montipora capitata","Resistant",2.89934375,0.619895833333333
"6","12","January_2024","Montipora capitata","Resistant",3.75676320105115,0.9061189124821
"7","15","April_2023","Montipora capitata","Susceptible",6.41951438374241,1.31519134336237
"8","16","April_2023","Montipora capitata","Resistant",4.60007210205214,1.37875947494916
"9","19","April_2023","Montipora capitata","Susceptible",3.48824159021407,0.671156982670744
"10","19","January_2024","Montipora capitata","Susceptible",4.76036870492599,1.29780932233168
"11","19","September_2023","Montipora capitata","Susceptible",1.62349754600511,0.62250396145927
"12","2","April_2023","Montipora capitata","Resistant",3.46470895861755,1.99394952251023
"13","2","January_2024","Montipora capitata","Resistant",4.19180632447354,1.27993726667476
"14","2","September_2023","Montipora capitata","Resistant",2.13023190893213,0.668498787687202
"15","20","April_2023","Montipora capitata","Resistant",4.39033694344164,0.543549939831528
"16","20","January_2024","Montipora capitata","Resistant",5.12273754573822,1.40334890677631
"17","20","September_2023","Montipora capitata","Resistant",2.95636769701385,0.901345486452038
"18","201","April_2023","Montipora capitata","Susceptible",1.67563136235651,0.588293264024258
"19","201","January_2024","Montipora capitata","Susceptible",3.03120219404219,0.976156406250224
"20","201","September_2023","Montipora capitata","Susceptible",1.84710617683169,0.542754534467685
"21","202","April_2023","Montipora capitata","Resistant",3.44635072250796,0.5552118540289
"22","202","January_2024","Montipora capitata","Resistant",2.6030052585747,0.977775358618588
"23","202","September_2023","Montipora capitata","Resistant",1.99205743747672,0.572087116237121
"24","203","April_2023","Montipora capitata","Susceptible",3.96758177804535,0.80871362632952
"25","203","January_2024","Montipora capitata","Susceptible",4.68842714024879,1.46969449307496
"26","203","September_2023","Montipora capitata","Susceptible",1.78889670200029,0.570303827270686
"27","204","April_2023","Montipora capitata","Resistant",3.67794262295082,0.601199453551912
"28","204","January_2024","Montipora capitata","Resistant",3.27474976090415,0.919966881978473
"29","204","September_2023","Montipora capitata","Resistant",1.57043314898483,0.564378933465301
"30","205","January_2024","Montipora capitata","Susceptible",4.70305645432396,1.4689725059721
"31","205","September_2023","Montipora capitata","Susceptible",1.97444507434251,0.417379983522963
"32","206","April_2023","Montipora capitata","Resistant",3.97732856290996,0.703856092228186
"33","206","January_2024","Montipora capitata","Resistant",5.90842183288959,1.62420959194631
"34","206","September_2023","Montipora capitata","Resistant",2.09485210540038,0.618040715843263
"35","207","April_2023","Montipora capitata","Susceptible",3.29424263511946,0.678469032707029
"36","208","April_2023","Montipora capitata","Resistant",3.7471766848816,0.536814410038454
"37","209","April_2023","Montipora capitata","Susceptible",4.76344790315607,1.16030912235192
"38","209","January_2024","Montipora capitata","Susceptible",4.12630947164095,1.03672291952332
"39","209","September_2023","Montipora capitata","Susceptible",2.23383564633788,0.563731976774692
"40","210","April_2023","Montipora capitata","Resistant",4.33960646521434,1.12963691731085
"41","210","January_2024","Montipora capitata","Resistant",3.97603655173195,1.26282487946766
"42","210","September_2023","Montipora capitata","Resistant",2.55119174476698,0.633410751060541
"43","211","April_2023","Montipora capitata","Susceptible",4.04297055359246,1.26927915194346
"44","211","September_2023","Montipora capitata","Susceptible",2.83911131252621,0.968619539293934
"45","212","April_2023","Montipora capitata","Resistant",2.99140905017921,0.830808691756272
"46","212","January_2024","Montipora capitata","Resistant",3.83754150664528,0.972178142207539
"47","212","September_2023","Montipora capitata","Resistant",1.36341468679531,0.457023549398277
