"","ColonyID","afdw_mg_cm2","Species","Phenotype","Year"
"107","235",13.1577062271785,"Porites compressa","Susceptible","2023"
"108","236",9.44050671008233,"Porites compressa","Resistant","2023"
"109","237",11.0801736649919,"Porites compressa","Susceptible","2023"
"110","238",12.926869275824,"Porites compressa","Resistant","2023"
"111","239",11.7392174517572,"Porites compressa","Susceptible","2023"
"112","240",8.9204787980867,"Porites compressa","Resistant","2023"
"113","241",10.5261649817423,"Porites compressa","Susceptible","2023"
"114","242",0.993034432239652,"Porites compressa","Resistant","2023"
"115","243",19.2551798446505,"Porites compressa","Susceptible","2023"
"116","244",6.21798775292739,"Porites compressa","Resistant","2023"
"117","247",12.0528606661177,"Porites compressa","Susceptible","2023"
"118","248",5.08510385591465,"Porites compressa","Resistant","2023"
