"","ColonyID","cells","cells_cm2_M","Species","Phenotype","Year"
"83","211",1718013.92274914,0.362669173457881,"Montipora capitata","Susceptible","2023"
"84","225",6272650.16040508,1.33725376134736,"Porites compressa","Susceptible","2023"
"85","238",9958828.21358746,1.88099449673573,"Porites compressa","Resistant","2023"
"86","1",4264361.43169518,0.354518071336506,"Montipora capitata","Susceptible","2023"
"87","28",12626491.079917,1.68865502029653,"Porites compressa","Resistant","2023"
"88","45",10489629.5263052,1.81415727137081,"Porites compressa","Susceptible","2023"
"89","202",11623362.8044613,1.18053826401921,"Montipora capitata","Resistant","2023"
"90","241",8441468.42977852,1.65237817734735,"Porites compressa","Susceptible","2023"
"91","244",10191161.3421631,1.85178031084608,"Porites compressa","Resistant","2023"
"92","209",6173918.96700532,0.619751752887864,"Montipora capitata","Susceptible","2023"
"93","212",2143026.55494476,0.599267827515291,"Montipora capitata","Resistant","2023"
"94","219",275839.48855949,0.092083296771458,"Montipora capitata","Susceptible","2023"
"95","220",3682770.99280852,0.634379055581327,"Montipora capitata","Resistant","2023"
"96","243",7706518.60759844,2.0236179089288,"Porites compressa","Susceptible","2023"
"97","234",7944198.52560242,1.40208516186057,"Porites compressa","Resistant","2023"
"98","201",1697297.0991884,0.194912966880397,"Montipora capitata","Susceptible","2023"
"99","203",8993170.74230501,0.834658824351073,"Montipora capitata","Susceptible","2023"
"100","206",1126276.70045572,0.240108680619459,"Montipora capitata","Resistant","2023"
"101","214",2116627.87802408,0.373567268163524,"Montipora capitata","Resistant","2023"
"102","226",11754728.6271197,2.36544560120792,"Porites compressa","Resistant","2023"
"103","235",5593413.27910255,1.67274040710357,"Porites compressa","Susceptible","2023"
"104","27",7421775.41823226,1.03100375166942,"Porites compressa","Susceptible","2023"
"105","44",8478296.41511337,1.66716510737663,"Porites compressa","Resistant","2023"
"106","233",6331450.8193569,1.1266836776609,"Porites compressa","Susceptible","2023"
"107","46",6220091.93983198,0.518108111819591,"Porites compressa","Resistant","2023"
"108","4",12043970.2633249,0.452189410387756,"Montipora capitata","Resistant","2025"
"109","12",4902178.55581149,0.471116497806056,"Montipora capitata","Resistant","2025"
"110","26",6916001.14802496,0.582838574706912,"Porites compressa","Resistant","2025"
"111","29",12145679.8233188,1.04191488411829,"Porites compressa","Susceptible","2025"
"112","43",7160398.35938741,0.58667280720883,"Porites compressa","Susceptible","2025"
"113","201",1542530.25672999,0.0936125801810495,"Montipora capitata","Susceptible","2025"
"114","203",5033978.28524036,0.450692563684531,"Montipora capitata","Susceptible","2025"
"115","214",5298850.00678265,0.70039764503831,"Montipora capitata","Resistant","2025"
"116","233",4491739.52109548,0.562957408835668,"Porites compressa","Susceptible","2025"
"117","238",11881725.2699793,1.17978865371498,"Porites compressa","Resistant","2025"
"118","241",6273140.0282709,0.803767793664036,"Porites compressa","Susceptible","2025"
"119","242",4461854.50413851,0.617234815305823,"Porites compressa","Resistant","2025"
"120","19",4736983.3325411,0.336289712225267,"Montipora capitata","Susceptible","2025"
"121","27",12064787.7824143,0.710360594571926,"Porites compressa","Susceptible","2025"
"122","42",13889168.2678273,0.799522547015089,"Porites compressa","Resistant","2025"
"123","44",4031564.21060015,0.415347337005108,"Porites compressa","Resistant","2025"
"124","210",11361762.1067584,0.563041032930993,"Montipora capitata","Resistant","2025"
"125","211",2593705.9381914,0.2295423178303,"Montipora capitata","Susceptible","2025"
"126","213",9017611.82580279,0.417115171586439,"Montipora capitata","Susceptible","2025"
"127","221",9044581.19259712,0.517808605328104,"Montipora capitata","Susceptible","2025"
"128","226",13656918.5954092,1.14487292770338,"Porites compressa","Resistant","2025"
"129","234",12905718.4399703,0.752364365828842,"Porites compressa","Resistant","2025"
"130","1",19590000,2.05561233380952,"Montipora capitata","Susceptible","2025"
"131","1",25785000,2.70566431992233,"Montipora capitata","Susceptible","2025"
"132","2",2495000,0.165452142966821,"Montipora capitata","Resistant","2025"
"133","20",9270000,0.358769716165466,"Montipora capitata","Resistant","2025"
"134","202",3975000,0.341948276120397,"Montipora capitata","Resistant","2025"
"135","204",2156250,0.240561397839173,"Montipora capitata","Resistant","2025"
"136","205",4357500,0.21986089991717,"Montipora capitata","Susceptible","2025"
"137","206",6997500,0.655229781105565,"Montipora capitata","Resistant","2025"
"138","209",1632000,0.125299357867678,"Montipora capitata","Susceptible","2025"
"139","210",5722500,0.283582976009596,"Montipora capitata","Resistant","2025"
"140","221",5407500,0.309583160755252,"Montipora capitata","Susceptible","2025"
"141","225",6142500,0.713185430921158,"Porites compressa","Susceptible","2025"
"142","226",4130000,0.346221964960998,"Porites compressa","Resistant","2025"
"143","235",3877500,0.464997408260565,"Porites compressa","Susceptible","2025"
"144","236",9202500,0.479139456844543,"Porites compressa","Resistant","2025"
"145","237",9855000,1.5404554972571,"Porites compressa","Susceptible","2025"
"146","239",17460000,2.27296563366241,"Porites compressa","Susceptible","2025"
"147","240",9435000,0.621267002015307,"Porites compressa","Resistant","2025"
"148","243",6885000,0.857666991500701,"Porites compressa","Susceptible","2025"
"149","244",10200000,0.64453787443122,"Porites compressa","Resistant","2025"
"150","247",13290000,1.12175666238857,"Porites compressa","Susceptible","2025"
"151","247",10680000,0.901456821242284,"Porites compressa","Susceptible","2025"
"152","248",8752500,0.474707122520772,"Porites compressa","Resistant","2025"
"153","27",10590000,0.623526814742803,"Porites compressa","Susceptible","2025"
"154","28",7905000,1.18366041413171,"Porites compressa","Resistant","2025"
"155","3",1125000,0.0754390745664394,"Montipora capitata","Susceptible","2025"
"156","41",5482500,0.545891911597393,"Porites compressa","Susceptible","2025"
