"","Colony.ID","prop_red","Species","Phenotype","Year","inverted_color"
"1",1,0.345719941230839,"Montipora capitata","Susceptible","2023",0.654280058769161
"2",1,0.386565202049168,"Montipora capitata","Susceptible","2023",0.613434797950832
"3",1,0.409861915542772,"Montipora capitata","Susceptible","2023",0.590138084457228
"4",1,0.424809612842548,"Montipora capitata","Susceptible","2023",0.575190387157452
"5",1,0.420930936028093,"Montipora capitata","Susceptible","2023",0.579069063971907
"6",2,0.438623290226234,"Montipora capitata","Resistant","2023",0.561376709773766
"7",2,0.445283602849362,"Montipora capitata","Resistant","2023",0.554716397150638
"8",2,0.422438853815069,"Montipora capitata","Resistant","2023",0.577561146184931
"9",2,0.435956699916296,"Montipora capitata","Resistant","2023",0.564043300083704
"10",2,0.413925486908764,"Montipora capitata","Resistant","2023",0.586074513091236
"11",3,0.515576402575743,"Montipora capitata","Susceptible","2023",0.484423597424257
"12",3,0.45989438118856,"Montipora capitata","Susceptible","2023",0.54010561881144
"13",3,0.455473347022931,"Montipora capitata","Susceptible","2023",0.544526652977069
"14",3,0.455506217165426,"Montipora capitata","Susceptible","2023",0.544493782834574
"15",3,0.456003378070669,"Montipora capitata","Susceptible","2023",0.543996621929331
"16",4,0.388841459416973,"Montipora capitata","Resistant","2023",0.611158540583027
"17",4,0.398275190313149,"Montipora capitata","Resistant","2023",0.601724809686851
"18",4,0.453172437048254,"Montipora capitata","Resistant","2023",0.546827562951746
"19",4,0.413354368182907,"Montipora capitata","Resistant","2023",0.586645631817093
"20",4,0.422159457603858,"Montipora capitata","Resistant","2023",0.577840542396142
"21",11,0.501651788461136,"Montipora capitata","Susceptible","2023",0.498348211538864
"22",11,0.470429261858331,"Montipora capitata","Susceptible","2023",0.529570738141669
"23",11,0.479702750809842,"Montipora capitata","Susceptible","2023",0.520297249190158
"24",11,0.456044465748788,"Montipora capitata","Susceptible","2023",0.543955534251212
"25",11,0.431942433764047,"Montipora capitata","Susceptible","2023",0.568057566235953
"26",12,0.481868071446725,"Montipora capitata","Resistant","2023",0.518131928553275
"27",12,0.501158736323705,"Montipora capitata","Resistant","2023",0.498841263676295
"28",12,0.500558856223164,"Montipora capitata","Resistant","2023",0.499441143776836
"29",12,0.491359325092268,"Montipora capitata","Resistant","2023",0.508640674907732
"30",12,0.492292015385575,"Montipora capitata","Resistant","2023",0.507707984614425
"31",15,0.603417749626849,"Montipora capitata","Susceptible","2023",0.396582250373151
