"","ColonyID","Run.x","Interval","Temperature","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","X","weight1.g","weight2.g","delta.mass.g","surface.area.cm2","Date","Project","Run.y","Chamber","Measured_Temperature","Chamber_Volume_mL","Surface_Area_cm2","Notes","Species","Phenotype","Chamber_Volume_L","Slope_norm"
"1","19",1,1,18,102,180.871,190.081,Inf,-Inf,180.726,190.081,0.193327761214255,-0.052976276224463,0.246304037438718,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",1,7,19.5,364.0185812,22.70116707,NA,"Montipora capitata","Susceptible",0.3640185812,0.253207717048071
"2","19",1,2,22,102,172.205,181.332,Inf,-Inf,172.132,181.332,0.183125526832587,-0.0749550795075065,0.258080606340094,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",2,7,23.2,374.7775812,22.70116707,NA,"Montipora capitata","Susceptible",0.3747775812,0.273156052826404
"3","19",1,3,25,107,165.084,174.247,Inf,-Inf,164.161,174.247,0.203814290408622,-0.0802697818267523,0.284084072235374,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",3,7,26.4,363.6355812,22.70116707,NA,"Montipora capitata","Susceptible",0.3636355812,0.291739416880086
"4","19",1,4,28,107,145.205,158.733,Inf,-Inf,145.205,158.733,0.254977375390296,-0.0890318152316722,0.344009190621968,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",4,7,29.4,365.4615812,22.70116707,NA,"Montipora capitata","Susceptible",0.3654615812,0.355053361245802
"5","19",1,5,31,114,141.555,153.432,Inf,-Inf,141.215,153.432,0.187814698665695,-0.132287764443046,0.320102463108741,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",5,7,32.5,382.2975812,22.70116707,NA,"Montipora capitata","Susceptible",0.3822975812,0.345598954726928
"6","19",1,6,34,108,131.155,130.317,Inf,-Inf,128.966,131.155,0.0391431416578673,-0.136575681995632,0.1757188236535,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",6,7,35.5,386.2195812,22.70116707,NA,"Montipora capitata","Susceptible",0.3862195812,0.191661300150382
"7","19",1,7,38,109,112.174,92.359,Inf,-Inf,92.359,112.174,-0.289364150392274,-0.134444378129151,-0.154919772263122,6,4.3032,4.9166,0.6134,21.2456193588884,2023-09-22,"CAREER",7,7,39.4,379.9705812,22.70116707,NA,"Montipora capitata","Susceptible",0.3799705812,-0.166241204584784
"8","201",1,1,18,102,177.309,195.091,Inf,-Inf,177.154,195.091,0.396711720983419,-0.052976276224463,0.449687997207882,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",1,3,19.5,356.4827985,23.38080728,NA,"Montipora capitata","Susceptible",0.3564827985,0.832932685097996
"9","201",1,2,22,102,168.488,184.151,Inf,-Inf,168.373,184.151,0.31697503974978,-0.0749550795075065,0.391930119257287,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",2,3,23.2,373.7617985,23.38080728,NA,"Montipora capitata","Susceptible",0.3737617985,0.761138308516705
"10","201",1,3,25,107,160.58,178.207,Inf,-Inf,159.467,178.207,0.379424707469973,-0.0802697818267523,0.459694489296725,8,2.5343,2.8677,0.3334,11.5475863942834,2023-09-22,"CAREER",3,3,26.4,368.0137985,23.38080728,NA,"Montipora capitata","Susceptible",0.3680137985,0.879009220001269
