ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
1585934	C	C1/C42.2	None	152	582	C42a/C1/C42.2/C1b/C3-C1j-C1au-C115k	2/1-4-82-20-15-32-5	0.323[0.020]/0.270[0.037]-0.116[0.017]-0.083[0.031]-0.068[0.018]-0.064[0.022]-0.043[0.008]-0.032[0.006]
1586098	C	C1	None	12	45	C42a/C42aw/C1-C42.2-C1b-C1j-C1au-C3	2-1-4-20-82-15-32-95462	0.310[0.016]-0.212[0.024]-0.153[0.010]-0.081[0.005]-0.081[0.012]-0.069[0.010]-0.052[0.005]-0.041[0.010]
1587534	C	C15	None	6	96	C15/C93a	517-869	0.770[0.042]-0.230[0.042]
1586603	C	C1	None	5	77	C1/C42a/C42.2/C1b/C1j-C1au-C3-C115l	2-1-4-20-15-32-82-326	0.320[0.029]-0.229[0.020]-0.122[0.010]-0.106[0.012]-0.076[0.033]-0.061[0.019]-0.046[0.010]-0.040[0.013]
1585960	C	C15	None	4	111	C15-C15ci-C15n-C15cf-C15ce-C15ck-C15hd	517-70877-21365-519-21364-70880-38820	0.766[0.013]-0.075[0.009]-0.044[0.003]-0.042[0.002]-0.039[0.003]-0.023[0.001]-0.010[0.002]
1585391	C	C15	None	4	64	C15-C15ci-C15cj-C15ch-C15cm	517-70877-3419-70879-70883	0.751[0.030]-0.124[0.013]-0.057[0.007]-0.039[0.009]-0.029[0.006]
1586361	C	C42.2	None	3	6	C42a/C42.2/C1-C1au-C1b-C3-C115k	1-2-82-20-4-32-5	0.334[0.008]-0.280[0.016]-0.114[0.019]-0.095[0.008]-0.087[0.006]-0.055[0.002]-0.036[0.004]
1587514	C	C1/C93a	None	3	130	C1/C93a		0.528[0.027]/0.472[0.027]
1586753	C	C15	None	3	101	C15-C15ci-C15cj-C15n-C15ie-C15cf	517-70877-38811-519-70879-21365	0.748[0.030]-0.099[0.005]-0.041[0.010]-0.039[0.009]-0.037[0.005]-0.036[0.006]
1588633	C	C1	None	2	182	C42a/C1/C42.2/C1b/C1j-C1ci-C1au-C3	2-1-4-15-20-82-32-95	0.322[0.040]-0.201[0.050]-0.135[0.016]-0.131[0.055]-0.086[0.008]-0.062[0.051]-0.042[0.010]-0.021[0.008]
1588394	C	C15	None	2	57	C15-C15ci-C15ip-C15cf-C15l-C15ce	517-70877-21365-21364-70878-518	0.801[0.005]-0.082[0.003]-0.031[0.000]-0.029[0.008]-0.029[0.000]-0.028[0.001]
1585393	C	C15	None	2	70	C15-C15ci-C15cc-C15n-C15cl-C15cj	517-6417-70882-70877-70879-519	0.724[0.014]-0.087[0.045]-0.077[0.035]-0.059[0.037]-0.032[0.027]-0.022[0.003]
1585933	C	C42.2	None	1	43	C42.2/C1/C42a-C1b-C3-C1j-C1au-C1az	1-2-4-20-32-82-15-214	0.315[nan]-0.257[nan]-0.131[nan]-0.114[nan]-0.067[nan]-0.056[nan]-0.033[nan]-0.027[nan]
1587213	C	C42.2	None	1	12	C15/C42.2/C42a-C1-C1b-C1au	1-2-517-4-20-82	0.258[nan]-0.237[nan]-0.227[nan]-0.139[nan]-0.078[nan]-0.061[nan]
1586587	C	C15	None	1	56	C15-C15cc-C15ci-C15cl-C15n-C15ie	517-70877-6417-519-70882-38811	0.771[nan]-0.061[nan]-0.054[nan]-0.041[nan]-0.038[nan]-0.036[nan]
1589029	C	C3	None	1	52	C93a/C3/C3u	32-869-1330	0.532[nan]-0.330[nan]-0.138[nan]
1586365	C	C1	None	1	30	C1/C3/C42.2	2-1-32	0.609[nan]-0.277[nan]-0.114[nan]
1587322	C	C42dh	None	1	14	C42dh/C1-C42.2-C1b-C42dz	33748-1-2-4-483824	0.445[nan]-0.295[nan]-0.195[nan]-0.054[nan]-0.011[nan]
1591001	G	G3a	None	2	14	G3a-G3ac-G3ai-G3bg	33556-72448-483626-484563	0.552[0.064]-0.212[0.002]-0.198[0.075]-0.038[0.009]
1590984	G	G3a	None	1	2	G3a-G3ac	33556-72448	0.625[nan]-0.375[nan]
