Run,Light_Level_Percent,Light_Value,Date,Start.time,Stop.time,Length,Notes
6,10,150,2023-09-15,16:08,16:18,10 mins,
6,20,275,2023-09-15,16:19,16:28,10 mins,
6,40,530,2023-09-15,16:29,16:40,10 mins,
6,60,730,2023-09-15,16:41,16:50,10 mins,
6,80,945,2023-09-15,16:51,17:00,10 mins,
6,100,1190,2023-09-15,17:01,17:29,30 mins,
6,0,0,2023-09-15,17:30,18:01,30 mins,
7,10,150,2023-09-16,14:54,15:03,10 mins,
7,20,275,2023-09-16,15:04,15:13,10 mins,
7,40,530,2023-09-16,15:14,15:23,10 mins,
7,60,730,2023-09-16,15:24,15:33,10 mins,
7,80,945,2023-09-16,15:34,15:45,10 mins,
7,100,1190,2023-09-16,15:46,16:20,30 mins,
7,0,0,2023-09-16,16:21,16:45,20 mins,
8,10,150,2023-09-17,7:50,7:59,10 mins,
8,20,275,2023-09-17,8:00,8:09,10 mins,
8,40,530,2023-09-17,8:10,8:19,10 mins,
8,60,730,2023-09-17,8:20,8:29,10 mins,
8,80,945,2023-09-17,8:30,8:39,10 mins,
8,100,1190,2023-09-17,8:40,9:15,30 mins,
8,0,0,2023-09-17,9:16,9:40,30 mins,
9,10,150,2023-09-17,10:19,10:27,10 mins,
9,20,275,2023-09-17,10:28,10:37,10 mins,
9,40,530,2023-09-17,10:38,10:47,10 mins,
9,60,730,2023-09-17,10:48,10:57,10 mins,
9,80,945,2023-09-17,10:58,11:07,10 mins,
9,100,1190,2023-09-17,11:08,11:39,30 mins,
9,0,0,2023-09-17,11:40,12:02,20 mins,
10,10,150,2023-09-17,12:36,12:45,10 mins,
10,20,275,2023-09-17,12:46,12:55,10 mins,
10,40,530,2023-09-17,12:56,13:05,10 mins,
10,60,730,2023-09-17,13:06,13:15,10 mins,
10,80,945,2023-09-17,13:16,13:29,15 mins,
10,100,1190,2023-09-17,13:30,14:00,30 mins,
10,0,0,2023-09-17,14:01,14:25,20 mins,
