"","ColonyID","Target_Temperature","Net_Calcification_cm2","Species","Phenotype","log.rate"
"1","202",18,0.213368479940544,"Montipora capitata","Resistant",0.193400359544969
"2","240",18,0.272074318880431,"Porites compressa","Resistant",0.240648890003943
"3","3",18,0.371028501150473,"Montipora capitata","Susceptible",0.315561188949417
"4","blank",18,NA,NA,NA,NA
"5","243",18,0.547309380107793,"Porites compressa","Resistant",0.436517538737597
"6","2",18,0.281150877051842,"Montipora capitata","Resistant",0.247758796659592
"7","44",18,0.206914648061176,"Porites compressa","Resistant",0.18806722549836
"8","1",18,0.159882362978105,"Montipora capitata","Susceptible",0.148318588750036
"9","27",18,0.410366444097054,"Porites compressa","Resistant",0.343849560055203
"10","12",18,0.38509062113653,"Montipora capitata","Resistant",0.325765567922312
"11","202",22,0.275622929509671,"Montipora capitata","Resistant",0.243434631462318
"12","240",22,-0.0114334740055422,"Porites compressa","Resistant",-0.0114993386921935
"13","3",22,0.173289305204561,"Montipora capitata","Susceptible",0.159811176264468
"14","blank",22,NA,NA,NA,NA
"15","243",22,0.850269822362086,"Porites compressa","Resistant",0.615331478380619
"16","2",22,0.112773359577392,"Montipora capitata","Resistant",0.10685542134897
"17","44",22,0.25540440515617,"Porites compressa","Resistant",0.22745775586134
"18","1",22,0.158808421717596,"Montipora capitata","Susceptible",0.147392254506252
"19","27",22,0.565308635637185,"Porites compressa","Resistant",0.448083015818297
"20","12",22,0.179425110542341,"Montipora capitata","Resistant",0.165027125304151
"21","202",25,0.133428218244776,"Montipora capitata","Resistant",0.125246861430202
"22","240",25,0.131484951063741,"Porites compressa","Resistant",0.123530886015153
"23","3",25,0.00153515722949355,"Montipora capitata","Susceptible",0.00153398008021934
"24","blank",25,NA,NA,NA,NA
"25","243",25,0.392302165167173,"Porites compressa","Resistant",0.33095861103293
"26","2",25,0.186119231954261,"Montipora capitata","Resistant",0.170686828367522
"27","44",25,0.0808284787335702,"Porites compressa","Resistant",0.0777278569961745
"28","1",25,0.273039075248299,"Montipora capitata","Susceptible",0.241407014507395
"29","27",25,0.520163554760646,"Porites compressa","Resistant",0.418817930885739
"30","12",25,0.134953698371618,"Montipora capitata","Resistant",0.126591855715013
"31","202",28,0.541106791156011,"Montipora capitata","Resistant",0.432500853843413
"32","240",28,0.202534482263145,"Porites compressa","Resistant",0.184431398065352
"33","3",28,0.348707173195959,"Montipora capitata","Susceptible",0.299146484126635
"34","blank",28,NA,NA,NA,NA
"35","243",28,1.237657369504,"Porites compressa","Resistant",0.805429501432859
"36","2",28,0.292679509227249,"Montipora capitata","Resistant",0.256717203038984
"37","44",28,0.377599294844409,"Porites compressa","Resistant",0.320342342818673
"38","1",28,0.311668025880673,"Montipora capitata","Susceptible",0.27129962945028
"39","27",28,1.15553897848495,"Porites compressa","Resistant",0.768040798309912
"40","12",28,0.490083068610187,"Montipora capitata","Resistant",0.398831869148444
"41","202",31,0.164754450733243,"Montipora capitata","Resistant",0.152510292899349
"42","240",31,0.170660446839425,"Porites compressa","Resistant",0.157568074026374
"43","3",31,0.0751715296788068,"Montipora capitata","Susceptible",0.0724802113427989
"44","blank",31,NA,NA,NA,NA
"45","243",31,0.937361704966307,"Porites compressa","Resistant",0.661327101615922
"46","2",31,0.235720883787695,"Montipora capitata","Resistant",0.211654511355591
"47","44",31,0.197260099285719,"Porites compressa","Resistant",0.180035695607567
"48","1",31,0.277086182877227,"Montipora capitata","Susceptible",0.244581063322273
"49","27",31,0.674943144613533,"Porites compressa","Resistant",0.515779221186627
"50","12",31,0.482226551645402,"Montipora capitata","Resistant",0.393545384047189
"51","202",34,0.0257866054422213,"Montipora capitata","Resistant",0.0254597382178835
"52","240",34,-0.0573316382337861,"Porites compressa","Resistant",-0.059040742439275
"53","3",34,0.0885402123982968,"Montipora capitata","Susceptible",0.0848375439575389
"54","blank",34,NA,NA,NA,NA
"55","243",34,0.507669291292247,"Porites compressa","Resistant",0.410564942678776
"56","2",34,-0.0205346523032673,"Montipora capitata","Resistant",-0.0207484197662383
"57","44",34,0.148112446454405,"Porites compressa","Resistant",0.138119242973774
"58","1",34,0.00924240374321134,"Montipora capitata","Susceptible",0.00919995408717672
"59","27",34,0.267292851196058,"Porites compressa","Resistant",0.236883012117871
"60","12",34,-0.0187728686885,"Montipora capitata","Resistant",-0.0189513158269092
"61","202",38,-0.127260346871967,"Montipora capitata","Resistant",-0.136117988549327
"62","240",38,-0.214038141665768,"Porites compressa","Resistant",-0.240847014022695
"63","3",38,0.132586023917624,"Montipora capitata","Susceptible",0.12450353479945
"64","blank",38,NA,NA,NA,NA
"65","243",38,-0.257508401406214,"Porites compressa","Resistant",-0.297743723394501
"66","2",38,-0.254110690144114,"Montipora capitata","Resistant",-0.293178067996779
