sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140,PC141,PC142,PC143,PC144,PC145,PC146,PC147,PC148,PC149,PC150,PC151,PC152,PC153,PC154,PC155,PC156,PC157,PC158,PC159,PC160,PC161,PC162,PC163,PC164,PC165,PC166,PC167,PC168,PC169,PC170,PC171,PC172,PC173,PC174,PC175,PC176,PC177,PC178,PC179,PC180,PC181,PC182,PC183,PC184,PC185,PC186,PC187,PC188,PC189,PC190,PC191,PC192,PC193
26,256424,-0.8699402036883229,-0.004197245575202995,-0.012149644636199662,0.07043112354901564,-0.0011271818882348597,0.20066254657535382,-0.03211836289728524,-0.010346914820821252,0.004134402158698072,0.01974165374318187,-0.02346424053724987,-0.009619436643447577,-0.007210494381363305,0.0028966807002184865,-0.053877134820935924,0.016458679535695433,-0.0150902758154218,-0.024232688639498477,-0.020372529981805138,0.005179232405274849,-0.050323367562675414,0.010140173277069904,0.02176239011054539,-0.01579413401850024,0.02053728774932862,0.022135988703731933,-0.0061920377225841506,-0.018534567626556614,-0.04565641594484581,0.03411500660529855,-0.019602238616061203,0.046849690484361384,-0.019633591100345776,0.005170679800924084,-0.02815696279109804,0.003770303925280872,0.0366176276885507,0.024892203433521307,-0.00517796573998755,0.0013743055223030074,0.013747489145416257,0.034470187578496174,0.0007323671196073602,0.018683903208809458,-0.016575185870750738,0.011874998270232367,-0.007698634899433878,0.00451031015703931,0.008286535015792693,-0.0024832549424515424,0.00720219702733954,0.005565009596747093,-0.0058851870213184184,0.004163307471226689,-0.003874260549150125,0.0009695623714096786,-0.0006300683822436511,-0.0036771862427021204,-0.0018324031108049432,-0.0034467230986202184,0.002110676749345211,-0.0009454959431241359,0.004832069356317652,0.00463849938072706,-0.00476524459232596,0.0032773482953243173,-0.0019633241648671926,-0.0004332404723095352,0.0035205482420975734,0.0010401651880301312,0.0004952451039353168,-0.0013638811140178036,0.0007902695674052285,0.0002819546803970233,-0.0005374660408717663,-0.0005479870847950236,-4.885665541403726e-05,-0.0004032401487317373,-0.0015491046791236112,0.00036417548107983743,-0.0004844994509271823,4.5446223135313935e-05,0.0006110426947668052,0.0002178804218894081,1.4765299754311859e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,256425,-0.8138910401795224,0.007326185160209688,-0.03713030060204441,0.1498648272905258,0.007079423150914576,0.08124285538908509,0.007443741178014013,0.022338811427211423,-0.02983521020339648,-0.06810638320950049,0.05030368263684642,-0.014769307178667177,-0.021435399280411237,0.022474550669342865,-0.060807235104937636,-0.003162603474021475,-0.009214419964678675,-0.0015699148798268405,0.010942559056461363,0.009445611944431774,-0.022537430097811288,-0.01752796797362785,0.00013411513770479077,-0.0029263122220106108,-0.00896112918029094,-0.0020883436916549485,-0.009415952015912941,0.006664136142572251,0.0034431416083726667,-0.016583670241049932,0.024280433844114463,-0.026170039855862543,0.012602642869147546,0.02103933746932473,0.02623691207816531,-0.0014619615234997847,-0.0036932499305429504,0.010967374204072658,0.019028525202764022,0.008334750212228612,0.013124217147975379,0.014148664613114757,0.0018337294935911682,0.008115450872166544,0.005029701519150632,-0.00990851198870591,0.020633963488869665,0.013446661219058348,0.00669028584319587,-0.013985668443329512,0.001823957197363462,0.0012138702923493235,0.003502820244282785,8.294875313504866e-05,0.0009806349912960233,-0.0015044304916048126,-0.0024448129276837707,-0.0008999024213949388,0.0010946596449178194,-0.0010683492974651106,-0.0012902601021396874,-0.0008730215967796296,-0.0006038786263170336,-0.002921909050375782,0.00127763383384732,-0.0006875090830662643,0.0012391558191313587,0.0006126676229781121,-0.0021859792095992522,-0.001216333694201505,-0.0009085681919828425,0.002124581539518245,0.0016480196620973938,0.0015744981296167352,0.0005643938378935845,0.0017186023128457546,-0.0005302164840793378,-0.000196014868829315,-0.0004257442926180624,0.00011642040330520014,0.0001759724127805524,0.00019758597288124888,0.0006063596830932001,-0.00012958581212288634,0.00019745230821507754,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,256426,-0.8738590130839664,-0.004768858973871892,0.03589091634838056,-0.13808516594701312,-0.0023930852839038606,-0.18125570987207534,0.017568946275990264,-0.0015840095395718789,0.005573958492819676,0.00525917487732919,-0.009138449715365125,0.03722126311137038,0.01435883815675466,-0.009883075981156151,-0.010688619288977056,-0.0061735187378350815,0.010793605075680574,0.010734744409229006,0.0020430557775383816,-0.0038883538022881493,0.017416485074990697,0.004489844983124779,-0.0029293675798869588,0.006620017471783267,0.000632115233057969,-0.013358318648803049,0.017048471447722344,-0.004577742527269515,0.003341061909303741,-0.007391024435799209,0.0052721040696076665,-0.0016460025255572738,0.0005648884797666186,0.0021690341869373174,-0.0020326138910174317,-0.0008788942887983375,-0.0002616006887570285,0.004561160167256843,-0.005797125055719889,-0.0018948607544982175,0.009604103608792667,0.0011565441671861007,0.007219437271853333,-0.009265846763158243,-0.003121598896573616,-0.002435061601672908,0.008628670639976478,0.011392926607288242,0.008242751428574516,-0.010139210034268022,0.0022263727452037714,0.0010856011793488887,0.0033044723957658824,0.00941889086085448,-0.003795060920237283,-0.0052040820315840475,0.008281299685243146,-0.006171518310453392,-0.0003397543894289573,-0.002907194158205501,0.010554548307995711,-0.0015416772135518075,0.0059663476179337175,0.0027409284005489015,-0.004025229234243821,0.007271250691157525,-0.0013467906269069526,0.0017957676648387843,0.008537134213794753,0.003592045365340956,0.0017124297784757636,-0.008584430309717572,-0.01712247241419198,-0.01036098976369164,0.0018467675622719547,0.01147459426748121,0.002997010794801376,0.001497417898882432,-0.006601290581693951,0.0018901863288737063,0.0011799203777728934,-0.00016494509221867226,0.001117988836867149,-0.0003948053564354179,0.0003003582989326767,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,256427,-0.8871274020239625,-0.004778031943024105,0.029629236759259114,-0.1060506337508005,-0.0017755955246121574,-0.11387804275296495,0.005848513928800166,-0.0012973043538408032,0.0019930016540454752,0.003374815142666445,-0.004178270625646703,0.018521755273973158,0.003718394350911579,-0.00554250011551639,0.01712593888694518,0.0026492776542253378,-0.0033431039832164332,-0.007898574262785297,-0.0066965213334601445,-0.009084221870869663,-0.011684479990207898,0.006505023317701842,0.010860575515634487,0.0015070597167302392,0.008151583607254962,-0.008167490238416847,0.02124076161775087,-0.01640325145866264,-0.014956423988184368,0.0015394508395902714,0.02092181244810504,0.0049464380774514255,-0.006224735555963242,0.027835255004834806,0.0029701125853150287,0.002849612170382918,0.013013414367790554,0.012450378785407315,-0.005482149807010452,0.0016606132137136859,0.00570713676533354,-0.012970046962417587,0.009811471326281766,0.0037327068361112294,0.0032380807457521163,-0.005159633926802365,-0.01327830456275118,-0.026124882470957685,-0.030303638267779674,0.034705772265319734,-0.03347031872900941,-0.0143842784390331,-0.009120845641347549,-0.01693732431841097,0.01567464640644967,-0.006941939815497872,-0.017968165099099053,-0.005566915411560632,-0.0013367441060506808,0.010430825601135342,-0.006118011904638075,-0.0054670103437478934,-0.0017805180514398596,0.0006509968185035972,-0.0034246035693547387,0.0005047009426320222,-0.0025944209893792136,0.001162475618527201,-0.0011904855486713115,-0.001893739124005666,-0.0006830757288178194,-0.0002514697466237012,0.0033022828300403855,0.0027387981572056315,0.0007210855093650094,1.7451250879060774e-05,-0.001663972287926769,-0.00013408977000030987,-0.0008424782986505033,0.0006209107143870956,-0.0008298994379359741,-0.00011567906744972472,0.0005930287044877889,0.0001070398238746441,0.0001509390812928827,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,256428,-0.8055153173785986,0.008198788427378484,-0.023040125608360322,0.07580136383357415,0.016988306664025198,-0.09050061263287858,0.03607949981404343,0.03603325929284404,-0.03294256583691663,-0.11047796381559133,0.07165402287556213,-0.007178055500178965,-0.035971901940202645,0.043382849092345036,0.03270652876498604,0.005143028336643105,-0.037152354528443315,-0.06442686563775078,-0.0072538538525074294,-0.015334497036803826,-0.08399140392057619,-0.010793795856866744,0.026840675894226593,-0.006525883052981591,0.011011492370704,0.008282497608397504,0.0006948841852241174,-0.01912274307638839,-0.03163866183752377,0.017354234654696706,0.027368061534772396,0.0016238647268134673,-0.00777420045316731,0.026011963928075525,0.0031622606400739522,0.003124583914629435,0.009257391263423474,-0.017840023031436506,-0.005757150895062195,0.00041378134310284865,-0.012729320744427699,-0.009481465734892109,-0.0035720236612545395,-0.004319357034611124,0.010205697932544805,-0.009500514251839945,-0.001362811777139034,-0.011398315873151736,-0.005810497789309474,0.005430530173405816,0.003840939787069944,-0.0007427767848334319,0.003023878456623418,-0.0028830992197977157,-0.0015088897912508413,0.00469863682958056,0.007175878264766186,0.007801941433073142,-1.2941111326882551e-05,0.0018445972962862413,0.004348898274406784,0.005244544907496067,-0.0013585307960127394,-0.0006068469670698277,0.004167027060657336,-0.005055208709357532,0.0028906614330139694,-0.0011896659386844818,-0.0031091511443296577,-0.00011220239215878104,0.0006804650438594401,0.0009438971627656286,-0.0010398175028251072,-0.001825697841373714,-0.0004931805762261894,-4.0910345735582334e-05,0.0015965158067024622,0.0006682280061393047,0.0002814879978352405,-0.00015509192114568365,0.0010621411224096301,-0.00024216382841294365,-0.0007482422725185294,-0.0003200504837182479,-7.929634074005142e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,256429,-0.8874333488162535,-0.004158256483484383,0.009928021822085522,-0.0017380868291508244,-0.0016374896326491247,0.09218608653927389,-0.029489718683177804,-0.010523642744861889,0.0010547016646888499,0.045905434231068215,-0.007154811789951014,-0.04342208966347142,-0.0018628757020512276,-0.006835937085653936,0.07610944742120306,-0.002782899990522904,0.004522765842335752,0.007135917048963212,0.004061503141767041,-0.014590312428157292,0.037168309062330415,0.005681697063063429,-0.01067832374671117,0.0149423880929096,0.0005064694016200711,-0.030328026095706274,0.034401836135427244,-0.004947714505454559,0.015751013096683836,-0.019716220067376562,0.02431252545576937,-0.022794173679886613,0.00671085685340102,0.02093120992389722,0.01564307582188955,0.0004498940421757166,-0.006778920894200092,0.016698010864669773,0.01115598691483901,0.0008462070987222391,0.002823970582503264,-0.0059831336008768915,-0.0015127066583142108,0.009450871952587257,-0.013979542626226155,0.03362472450923648,-0.02867109006504345,0.01801561898494488,0.003476485566039593,0.0025596283167895013,0.043553918999633075,-0.018703211340841967,0.01232249727148203,-0.026819079335295426,0.014415487273989178,0.0022216405216584716,-0.0013914064150762281,0.005910950312643228,0.003350645024803326,0.005685751836365599,0.004605413713957688,0.001351436305282758,-0.0009962391353865842,-0.0010521218227049522,0.0017992544521059327,-0.0011716947395292337,0.00151747481527475,0.0003872088835039651,-0.0013298153427322662,-0.000491698660744559,0.000705221500591582,-4.914555121087907e-05,0.00044442942069375916,-4.7571234302439784e-05,-6.845064673867544e-05,-0.0006150879139183694,-0.00010481624898960027,0.00010616589071293136,0.00016100361649820606,-9.895747877858009e-05,-1.2968527118042617e-05,-7.012947067631351e-05,-0.0001837263608371778,-9.019507130363085e-05,6.428494444215514e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,256430,-0.8884607368909545,-0.003955210664018798,0.006456596925056626,0.018604856003614154,-0.0006703325039543804,0.12445192144707622,-0.03333931390211424,-0.008517198926101022,-0.004692024328334627,0.038936531710310994,0.0027759955395486886,-0.06523685688406004,-0.013953926979697533,0.0047616374731645214,0.06250197131054872,0.0003106929822563492,-0.00566985082132275,-0.006953197249721573,0.003350036440038611,-0.007740568980343446,0.0027438417929886755,-0.005044425343507628,-0.0014276579570661435,0.0022768995529949118,0.0004069500488545653,-0.00035634564191824224,-0.00368026084369021,-0.0011805391938527103,-0.007110351911669502,0.0015916959165382283,0.008561174568562228,-0.0014889135114753576,4.255150237942222e-08,0.0039097871010722075,-0.0008246018002219228,-0.0010185990335714505,0.004558947304535696,-0.01243590124820767,-0.012605416530390984,0.0005475605079942606,0.014881642269795286,0.0040950249648465656,0.014774333253042225,-0.0171560722351199,0.012365679838672386,-0.033630223033477576,0.034512932153631284,0.006099210367028613,0.0017574355261322362,-0.008511010148605782,-0.007334331215604691,-0.004547502620661912,0.0045982803001267634,-0.0074170966027253815,0.009316207587616617,-0.00660370933708939,-0.003970774683194106,-0.004540776742357529,0.0019843222028848857,0.0048620548187977945,0.009619979355492863,-0.002917586530326502,0.00542892694936324,-0.0018299499105615795,-0.003928641756218436,0.005293688718427846,0.0016785330856846216,0.004605640570478798,0.005094399158342573,0.0007318392967687468,0.0011897026223345786,-0.006996457556611373,-0.007483265188616987,-0.0048885105139418635,-0.0004355372415125221,-0.00704711097846091,0.0005569659685602787,0.0009200598836476169,0.005915903158604201,-0.0016004211985781417,-0.00032966248540195674,-0.0008333675581497863,-0.003129456546722551,0.00014704264893312363,-0.0006244470335177468,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,256431,-0.8628299338155566,-0.0041763071669761315,-0.004162094335077966,0.03346449643865381,-0.0014961668140873877,0.10170403976541449,-0.014938099220059264,-0.010753910165463202,0.006932168962244511,0.022587545684725565,-0.026986744965643177,0.072133244562286,0.02745827951083857,-0.006400250676720849,-0.22442354781031265,-0.026555990422366397,0.04047607635563593,0.04674159102048262,0.016861214614822945,0.0382380529888606,0.015079833716448218,-0.015181008334658222,-0.014240201049711475,-0.006412092617532256,-0.01614377162641226,0.006726730245332079,-0.007863281507772909,0.010732701271075036,0.02605619027283072,-0.00508159531705788,0.015112442918818412,-0.020957805430362467,0.002963301661398594,0.01003493088565131,0.012931201180223728,0.002281275598795717,-0.010963805821312084,-0.013585442370680174,0.0008058079361472389,-0.0010619467815134117,-0.015052921711109672,-0.02187258216663792,-0.00200678437524235,-0.005077289523421861,0.006772840430765171,-0.0022577946907609454,-0.007417784882140045,-0.010874449093866949,-0.00936284887852397,0.008935870253058097,-0.003989719495389143,-0.00438004645190199,0.0016219365481000276,-0.0025786613002441085,0.00236663508699022,-0.001232437519840637,0.0034309806405813763,0.00028774900041302564,-0.0002447109199088664,0.0025305877313801274,0.006978911755171169,0.0012934218602839828,0.002138863593974588,0.0010871723688371659,-0.0004911052770448822,0.00015887908794169538,0.0008422196591719793,0.00013253024699301776,0.0007923203972796961,0.0005208804470885525,0.0009610291719697407,-0.0011804480021250679,-0.0005457262583499946,-0.0010326866432058344,-0.0007060520483959357,-0.00292243428654137,0.00041305354212528935,0.00017477597908391052,0.001535943681114593,-0.0005187597047219638,8.57335773868021e-06,-0.00019708001558342992,-0.0008904528119122156,5.4941348319096925e-06,-0.00018998979973184813,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,256432,-0.8916163045312246,-0.004936167247678189,0.027474381036572283,-0.0845277694357339,-0.0017357486041370972,-0.04927819746590875,-0.008150826426904683,-0.004707518031831033,-0.0018737539973346482,0.02138666050274473,-0.0055104365450482865,-0.027020654538677014,-0.007758260392659407,-0.0007456048663899037,-0.006580256091009545,0.004517654230441031,-0.004764219567795047,0.0008320742019018847,-0.003122380479815166,0.010049346509073298,-0.015463806491918065,-0.006894785955558824,0.0017722039884958765,-0.015153722526416922,-0.002482591336465489,0.037940459463803214,-0.05077622496935407,0.020734818281130996,-0.00021470032340651006,0.02209861115181051,-0.05216262827905765,0.023246993662635357,-0.002762713232976671,-0.053930661042158566,-0.019184052561343836,-0.004064779782853999,-0.012066737413126449,-0.026784594728572003,-0.009908368167870723,-0.005894222283592478,-0.015897200401255227,-0.013228027242477153,-0.009047164568495735,-0.008235587029989814,0.0022888221905352085,0.010047996765123666,-0.012902343138433062,0.000310699252215421,-0.00206763827296237,0.004581639837000693,0.01644256490502185,-0.00849879532232404,0.009778624204229942,-0.009377042230208223,0.002462699758043059,0.0018827567515736178,0.009443915225441028,0.00853982988993888,-0.0009277321326844769,0.008727159238736208,0.011406653480882864,0.004857122025805018,0.0002631672202525262,-0.0019016050406434862,0.003437051623747769,-0.006960595814196076,0.005929641808238233,0.002044528122283485,-0.0069770515364606985,-0.00407504246887809,-0.00047790578127131857,0.0018272818815073498,0.0008526737472084996,0.00027920950301243194,0.0005340532435066958,0.002268984472333343,0.0005436627755652421,0.0008161251804871588,-0.0012034612723519234,0.0004589658207408079,0.0005342984735077536,-0.0005328406092972277,-0.0007159230681609864,-0.0002864730170619328,-4.737783324995419e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,256433,-0.8677161486627568,-0.004643512911813743,0.03694372525412199,-0.1450818420549367,-0.002324449485820306,-0.20230510001808574,0.0221933292255152,-0.0006595583504754852,0.006067827721941379,0.0017720328697925034,-0.007624413095318716,0.03934454384126991,0.014889110344642785,-0.008825194060405094,0.0006493292746916576,-0.006185343493067509,0.009724298968564317,0.006692746510469694,0.001961679338662525,-0.00826437312076757,0.018190994407454593,0.006106318343965263,-0.002035344818286249,0.00911969241422026,0.002916226469481799,-0.016890822527247707,0.021175097392193476,-0.0083431059482611,-0.0024941281351899157,-0.006492278081259934,0.004549316050802537,0.00292687632233267,-0.0008591651237368479,-8.470757264853414e-05,-0.007973644028807805,-0.001435082128317787,0.002906956191663744,0.002566446688058575,-0.010976175796874021,-0.0031352051280857003,0.01300045421914601,0.005750303355923471,0.0087560693947182,-0.014946526980499066,-0.00347524556638047,-0.005266980385267244,0.013802583896088853,0.01455864807593919,0.013309059216753643,-0.014058295775599923,0.005191725454980909,0.003313766403261076,0.0047297387537890995,0.014984323829066108,-0.00850076428538565,-0.004245431582938083,0.01642168919375371,-0.003815208532656064,-0.002466785939510535,-0.0013629496563012265,0.015620391908490832,0.0024603347163043676,0.005287934998061005,0.005149501636161301,-0.0013508193848788676,-0.0020751665067670374,-0.0004612011905767952,-0.003389013439721941,-0.0035630670078183107,-0.0007037062321509355,0.0005736882780105362,0.005973940276794492,0.015417726533408074,0.008301347547088236,-0.0022824177308654495,-0.011148429073036082,-0.0023743606953630426,-0.0017585889748780376,0.00452118927047149,-0.0017157061298900657,-0.0009978457701402229,0.00029969975865011615,-0.0001802176860695419,0.0002721791767854459,-9.554325757525422e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
