Species,Phenotype,Colony ID,Run #,Total duration (hours),Mean temperature,Mean alkalinity,Corrected Alkalinity based on CRM,Change in alkalinity_mean,Change in alkalinity_mean divided by 2,Change in alkalinity_corrected,Total volume (mL),mol CaCO3h-1,umol CaCO3h-1mL-1,cm-2,umol CaCO3h-1 cm-2
Porites compressa,Susceptible,233,3,1.53,25.94,2136,2123.02,79.45,39.725,79.45,229,6112.249477,6.112249477,15.656878,0.65609355
Porites compressa,Resistant,234,3,1.35,25.94,2083.2,2053.27,132.25,66.125,149.2,222,11178.35778,11.17835778,13.978383,0.408676468
Porites compressa,Susceptible,235,3,1.28,25.94,2082.35,2052.42,133.1,66.55,150.05,224,11972.345,11.972345,23.888556,0.714254247
Porites compressa,Resistant,236,3,1.43,25.94,2112.85,2082.92,102.6,51.3,119.55,228,8408.321119,8.408321119,12.914866,0.186877111
Porites compressa,Susceptible,237,3,1.53,25.94,2156.2,2126.27,59.25,29.625,76.2,234,4657.747059,4.657747059,12.167301,0.14175226
Porites compressa,Resistant,238,3,1.47,25.94,2179.55,2149.62,35.9,17.95,52.85,238,2987.56381,2.98756381,12.110881,0.374458556
Porites compressa,Susceptible,239,4,1.17,25.98,2185.25,2172.27,34.95,17.475,34.95,232,3562.151795,3.562151795,,
Porites compressa,Resistant,240,4,1.08,25.98,2144.2,2131.22,76,38,76,223,8065.992593,8.065992593,19.169023,0.132042808
Porites compressa,Susceptible,241,4,1.25,25.98,2135.35,2122.37,84.85,42.425,84.85,227,7920.10264,7.92010264,10.824505,0.289085579
Porites compressa,Resistant,242,4,1.52,25.98,2180.55,2167.57,39.65,19.825,39.65,229,3070.422961,3.070422961,12.548136,0.225392911
Porites compressa,Susceptible,243,5,1.35,25.93,2152.55,2139.57,60.95,30.475,60.95,235,5453.444815,5.453444815,7.749615,0.346230188
Porites compressa,Resistant,244,5,1.32,25.93,2099.3,2086.32,114.2,57.1,114.2,230,10227.82121,10.22782121,,
Porites compressa,Susceptible,247,5,1.23,25.93,2108.3,2095.32,105.2,52.6,105.2,219,9627.596098,9.627596098,,
Porites compressa,Resistant,248,5,1.2,25.93,2120.9,2107.92,92.6,46.3,92.6,232,9201.970667,9.201970667,18.638675,0.132042808
