Date,Treatment,Light,Species,Phenotype,Colony ID,Sample,Total duration (hours),Alkalinity,Change in Alkalinity,Change in alkalinity_mean divided by 2,Plug (average of cca and new plug),Change in alkalinity- plug blank,Total volume via displacement (mL),umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),mol CaCO3h-1,Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),mol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2
45186,TCB,Dark,Porites compressa,Resistant,240,30,0.55,2176.95,5.1,2.55,-11.8875,14.4375,239,1139.117455,,247,6665.295,19.14610369,3.117221628,16.02888206,415.8303103,0.41583031
45186,TCB,Light,Porites compressa,Susceptible ,241,36,1.166666667,2061.7,110.35,55.175,-6.95,62.125,236,11473.62549,,247,13521.027,26.56099352,3.117221628,23.4437719,576.7428151,0.576742815
45186,TCB,Dark,Porites compressa,Susceptible ,241,15,0.533333333,2165,7.85,3.925,-11.8875,15.8125,236,1785.44325,,247,7528.212656,26.56099352,3.117221628,23.4437719,321.1178086,0.321117809
45186,TCB,Light,Porites compressa,Resistant,242,38,1.15,2016.85,155.2,77.6,-6.95,84.55,237,16440.13357,,247,18668.34591,20.69565458,3.117221628,17.57843295,1062.002851,1.062002851
45186,TCB,Dark,Porites compressa,Resistant,242,17,0.533333333,2176.95,-4.1,-2.05,-11.8875,9.8375,237,-936.475875,,247,4683.559969,20.69565458,3.117221628,17.57843295,266.4378549,0.266437855
45186,TCB,Light,Porites compressa,Susceptible ,243,4,1.166666667,2097.3,92.45,46.225,-6.95,53.175,236,9612.475543,,247,11573.12854,26.76841462,3.117221628,23.65119299,489.3253607,0.489325361
45186,TCB,Dark,Porites compressa,Susceptible ,243,25,0.55,2156.5,9.05,4.525,-11.8875,16.4125,236,1996.002182,,247,7577.084273,26.76841462,3.117221628,23.65119299,320.3679525,0.320367952
45186,TCB,Light,Porites compressa,Resistant,244,9,1.166666667,2126.3,63.45,31.725,-6.95,38.675,239,6681.067457,,247,8417.3154,17.20620743,3.117221628,14.0889858,597.4394125,0.597439412
45186,TCB,Dark,Porites compressa,Resistant,244,30,0.55,2183.25,-17.7,-8.85,-11.8875,3.0375,239,-3953.407636,,247,1402.308818,17.20620743,3.117221628,14.0889858,99.53227563,0.099532276
45186,TCB,Light,Porites compressa,Susceptible ,247,7,1.216666667,2073.35,105.15,52.575,-6.95,59.525,235,10439.23438,,247,12422.75334,28.66779108,3.117221628,25.55056945,486.2026018,0.486202602
45186,TCB,Dark,Porites compressa,Susceptible ,247,36,0.55,2167.3,14.75,7.375,-11.8875,19.2625,235,3239.368182,,247,8892.830818,28.66779108,3.117221628,25.55056945,348.0482435,0.348048244
45186,TCB,Light,Porites compressa,Susceptible ,248,5,1.233333333,2035,143.5,71.75,-6.95,78.7,236,14113.88432,,247,16202.58584,21.4366682,3.117221628,18.31944657,884.4473427,0.884447343
45186,TCB,Dark,Porites compressa,Susceptible ,248,34,0.55,2146,36.05,18.025,-11.8875,29.9125,236,7950.925818,,247,13809.56791,21.4366682,3.117221628,18.31944657,753.8201472,0.753820147
