Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,4,1,0,325,0.8812584615384651,-0.5277415384615551,377.5,393.7,-0.6737415384615417,0.8812584615384651,-0.0803789848074755
blank,4,2,139,268,0.7342425373134347,-0.33375746268657736,307.154,320.499,-0.48575746268656417,0.7382425373134254,-0.05463830934357164
blank,4,3,267,181,0.2622044198894855,-0.2887955801105022,321.5,330.499,-0.40479558011048766,0.363204419889513,-0.07216896274793842
blank,4,4,385,181,0.227773480662961,-0.2172265193370322,331.5,340.499,-0.4432265193370313,0.3907734806629719,-0.06636852290103111
blank,4,5,716,181,0.3555469613259561,-0.3364530386740512,341.5,350.5,-0.4604530386740464,0.4705469613259652,-0.0754747163338427
blank,4,6,930,201,0.37771144278605107,-0.38528855721395416,351.499,361.5,-0.4762885572139339,0.48571144278605516,-0.07031520933447555
blank,4,7,1243,281,0.6011459074732954,-0.4708540925267073,362.5,376.499,-0.6258540925267084,0.6451459074733066,-0.08316247982666272
