"","Colony_ID","Phenotype","Species","trait","estimate"
"1",1,"Susceptible","Montipora capitata","lnc",0.917033085928673
"2",1,"Susceptible","Montipora capitata","E",0.46692810510411
"3",1,"Susceptible","Montipora capitata","Eh",1.85984860137027
"4",1,"Susceptible","Montipora capitata","Topt_C",28.532772897171
"5",1,"Susceptible","Montipora capitata","Rmax_log",0.71963267243778
"6",12,"Resistant","Montipora capitata","lnc",0.976690381249411
"7",12,"Resistant","Montipora capitata","E",0.397862917679389
"8",12,"Resistant","Montipora capitata","Eh",2.46265347714768
"9",12,"Resistant","Montipora capitata","Topt_C",29.2716613778064
"10",12,"Resistant","Montipora capitata","Rmax_log",0.915989485442447
"11",2,"Resistant","Montipora capitata","lnc",0.760323470959673
"12",2,"Resistant","Montipora capitata","E",0.337261207353494
"13",2,"Resistant","Montipora capitata","Eh",2.22232986122255
"14",2,"Resistant","Montipora capitata","Topt_C",29.7381213326239
"15",2,"Resistant","Montipora capitata","Rmax_log",0.71357117013862
"16",202,"Resistant","Montipora capitata","lnc",0.74179175183752
"17",202,"Resistant","Montipora capitata","E",0.362244666582673
"18",202,"Resistant","Montipora capitata","Eh",3.44294743983064
"19",202,"Resistant","Montipora capitata","Topt_C",29.6244930588922
"20",202,"Resistant","Montipora capitata","Rmax_log",0.751983522849782
"21",243,"Susceptible","Porites compressa","lnc",1.41329614674226
"22",243,"Susceptible","Porites compressa","E",0.577417978720469
"23",243,"Susceptible","Porites compressa","Eh",1.80721651358359
"24",243,"Susceptible","Porites compressa","Topt_C",26.5685015376008
"25",243,"Susceptible","Porites compressa","Rmax_log",0.996228711063962
"26",27,"Resistant","Porites compressa","lnc",1.3026058085065
"27",27,"Resistant","Porites compressa","E",0.428228726741502
"28",27,"Resistant","Porites compressa","Eh",2.1210023369981
"29",27,"Resistant","Porites compressa","Topt_C",27.1615732729653
"30",27,"Resistant","Porites compressa","Rmax_log",1.08599027534427
"31",3,"Susceptible","Montipora capitata","lnc",0.633937977987434
"32",3,"Susceptible","Montipora capitata","E",0.327819917576918
"33",3,"Susceptible","Montipora capitata","Eh",1.57559814344734
"34",3,"Susceptible","Montipora capitata","Topt_C",27.8815839261104
"35",3,"Susceptible","Montipora capitata","Rmax_log",0.437773313979716
"36",201,"Susceptible","Montipora capitata","lnc",0.718098583394573
"37",201,"Susceptible","Montipora capitata","E",0.275560795951293
"38",201,"Susceptible","Montipora capitata","Eh",2.4770286692507
"39",201,"Susceptible","Montipora capitata","Topt_C",27.7652772321823
"40",201,"Susceptible","Montipora capitata","Rmax_log",0.627249305246975
"41",204,"Resistant","Montipora capitata","lnc",0.993162979736587
"42",204,"Resistant","Montipora capitata","E",0.378892153869895
"43",204,"Resistant","Montipora capitata","Eh",2.62477847140053
"44",204,"Resistant","Montipora capitata","Topt_C",29.4632549213479
"45",204,"Resistant","Montipora capitata","Rmax_log",0.956470878336679
"46",211,"Susceptible","Montipora capitata","lnc",0.786266536202241
"47",211,"Susceptible","Montipora capitata","E",0.223121960895944
"48",211,"Susceptible","Montipora capitata","Eh",3.25146440982793
"49",211,"Susceptible","Montipora capitata","Topt_C",30.1120315514663
"50",211,"Susceptible","Montipora capitata","Rmax_log",0.803672276247036
"51",226,"Resistant","Porites compressa","lnc",0.809888746099483
"52",226,"Resistant","Porites compressa","E",0.21586346968169
"53",226,"Resistant","Porites compressa","Eh",3.13330859851506
"54",226,"Resistant","Porites compressa","Topt_C",29.398890329909
"55",226,"Resistant","Porites compressa","Rmax_log",0.804660338085518
"56",233,"Susceptible","Porites compressa","lnc",1.03677572197166
"57",233,"Susceptible","Porites compressa","E",0.244576410280803
"58",233,"Susceptible","Porites compressa","Eh",2.49320132906866
"59",233,"Susceptible","Porites compressa","Topt_C",28.9016718476987
"60",233,"Susceptible","Porites compressa","Rmax_log",0.993041613232936
"61",236,"Resistant","Porites compressa","lnc",0.870390628926997
"62",236,"Resistant","Porites compressa","E",0.247865017435131
"63",236,"Resistant","Porites compressa","Eh",2.4746959658653
"64",236,"Resistant","Porites compressa","Topt_C",28.9884581032423
"65",236,"Resistant","Porites compressa","Rmax_log",0.827901827471964
"66",237,"Susceptible","Porites compressa","lnc",1.13191562511801
"67",237,"Susceptible","Porites compressa","E",0.389131976928736
"68",237,"Susceptible","Porites compressa","Eh",2.97023668854099
"69",237,"Susceptible","Porites compressa","Topt_C",29.0401076532336
"70",237,"Susceptible","Porites compressa","Rmax_log",1.09302843058851
"71",4,"Resistant","Montipora capitata","lnc",0.506297140404729
"72",4,"Resistant","Montipora capitata","E",0.203556287549106
"73",4,"Resistant","Montipora capitata","Eh",2.28869725062614
"74",4,"Resistant","Montipora capitata","Topt_C",29.7159622226423
"75",4,"Resistant","Montipora capitata","Rmax_log",0.483703292740143
"76",42,"Resistant","Porites compressa","lnc",1.05826215633307
"77",42,"Resistant","Porites compressa","E",0.338812530176135
"78",42,"Resistant","Porites compressa","Eh",2.31249614311798
"79",42,"Resistant","Porites compressa","Topt_C",28.1550511202095
"80",42,"Resistant","Porites compressa","Rmax_log",0.950036854200502
"81",19,"Susceptible","Montipora capitata","lnc",1.04081130403124
"82",19,"Susceptible","Montipora capitata","E",0.388942489402812
"83",19,"Susceptible","Montipora capitata","Eh",1.66243118071037
"84",19,"Susceptible","Montipora capitata","Topt_C",28.3973504633037
"85",19,"Susceptible","Montipora capitata","Rmax_log",0.843951325399322
"86",209,"Susceptible","Montipora capitata","lnc",0.908746047030333
"87",209,"Susceptible","Montipora capitata","E",0.281813766006352
"88",209,"Susceptible","Montipora capitata","Eh",2.05021613679152
"89",209,"Susceptible","Montipora capitata","Topt_C",27.6994753676077
"90",209,"Susceptible","Montipora capitata","Rmax_log",0.786201784998301
"91",210,"Resistant","Montipora capitata","lnc",0.807267966137959
"92",210,"Resistant","Montipora capitata","E",0.246014094312323
"93",210,"Resistant","Montipora capitata","Eh",4.2545579915069
"94",210,"Resistant","Montipora capitata","Topt_C",29.7017825118853
"95",210,"Resistant","Montipora capitata","Rmax_log",0.832532248222286
"96",241,"Susceptible","Porites compressa","lnc",1.38896009177575
"97",241,"Susceptible","Porites compressa","E",0.479938314730396
"98",241,"Susceptible","Porites compressa","Eh",1.58260458783287
"99",241,"Susceptible","Porites compressa","Topt_C",27.0553842151764
"100",241,"Susceptible","Porites compressa","Rmax_log",1.03104147560854
"101",242,"Resistant","Porites compressa","lnc",1.32823922810408
"102",242,"Resistant","Porites compressa","E",0.383528235735664
"103",242,"Resistant","Porites compressa","Eh",1.73878101972823
"104",242,"Resistant","Porites compressa","Topt_C",28.2314289720336
"105",242,"Resistant","Porites compressa","Rmax_log",1.13961110895583
"106",247,"Susceptible","Porites compressa","lnc",1.13941564029949
"107",247,"Susceptible","Porites compressa","E",0.458009936879287
"108",247,"Susceptible","Porites compressa","Eh",1.56292435790702
"109",247,"Susceptible","Porites compressa","Topt_C",27.6572175419918
"110",247,"Susceptible","Porites compressa","Rmax_log",0.831301638946332
"111",26,"Susceptible","Porites compressa","lnc",1.40101808933904
"112",26,"Susceptible","Porites compressa","E",0.545759795119383
"113",26,"Susceptible","Porites compressa","Eh",1.74995993600334
"114",26,"Susceptible","Porites compressa","Topt_C",27.0667575635119
"115",26,"Susceptible","Porites compressa","Rmax_log",1.03193128361389
"116",41,"Susceptible","Porites compressa","lnc",1.18258363179118
"117",41,"Susceptible","Porites compressa","E",0.398369402277081
