ColonyID,Species,Bleach,Date,Score,Phenotype,Mortality
3,Montipora capitata,Bleach,2015-10-29,5,,
4,Montipora capitata,Non-bleach,2015-10-29,1,,
11,Montipora capitata,Bleach,2015-10-29,5,,
12,Montipora capitata,Non-bleach,2015-10-29,1,,
19,Montipora capitata,Bleach,2015-10-29,5,,
20,Montipora capitata,Non-bleach,2015-10-29,1,,
26,Porites compressa,Non-bleach,2015-10-29,1,,
27,Porites compressa,Bleach,2015-10-29,5,,
35,Porites compressa,Bleach,2015-10-29,5,,
36,Porites compressa,Non-bleach,2015-10-29,1,,
41,Porites compressa,Bleach,2015-10-29,5,,
42,Porites compressa,Non-bleach,2015-10-29,1,,
43,Porites compressa,Bleach,2015-10-29,5,,
44,Porites compressa,Non-bleach,2015-10-29,1,,
45,Porites compressa,Bleach,2015-10-29,5,,
46,Porites compressa,Non-bleach,2015-10-29,1,,
201,Montipora capitata,Bleach,2015-10-29,5,,
202,Montipora capitata,Non-bleach,2015-10-29,1,,
203,Montipora capitata,Bleach,2015-10-29,5,,
204,Montipora capitata,Non-bleach,2015-10-29,1,,
209,Montipora capitata,Bleach,2015-10-29,4,,
210,Montipora capitata,Non-bleach,2015-10-29,1,,
211,Montipora capitata,Bleach,2015-10-29,5,,
212,Montipora capitata,Non-bleach,2015-10-29,1,,
217,Montipora capitata,Bleach,2015-10-29,4,,
218,Montipora capitata,Non-bleach,2015-10-29,1,,
219,Montipora capitata,Bleach,2015-10-29,4,,
220,Montipora capitata,Non-bleach,2015-10-29,1,,
221,Montipora capitata,Bleach,2015-10-29,4,,
222,Montipora capitata,Non-bleach,2015-10-29,2,,
229,Porites compressa,Bleach,2015-10-29,5,,
230,Porites compressa,Non-bleach,2015-10-29,1,,
237,Porites compressa,Bleach,2015-10-29,4,,
238,Porites compressa,Non-bleach,2015-10-29,1,,
239,Porites compressa,Bleach,2015-10-29,5,,
240,Porites compressa,Non-bleach,2015-10-29,1,,
243,Porites compressa,Bleach,2015-10-29,5,,
244,Porites compressa,Non-bleach,2015-10-29,1,,
247,Porites compressa,Bleach,2015-10-29,5,,
248,Porites compressa,Non-bleach,2015-10-29,1,,
3,Montipora capitata,Bleach,2015-12-14,4,,
4,Montipora capitata,Non-bleach,2015-12-14,1,,
11,Montipora capitata,Bleach,2015-12-14,3,,
12,Montipora capitata,Non-bleach,2015-12-14,1,,
26,Porites compressa,Non-bleach,2015-12-14,2,,
27,Porites compressa,Bleach,2015-12-14,1,,
35,Porites compressa,Bleach,2015-12-14,1,,
36,Porites compressa,Non-bleach,2015-12-14,1,,
41,Porites compressa,Bleach,2015-12-14,1,,
42,Porites compressa,Non-bleach,2015-12-14,1,,
43,Porites compressa,Bleach,2015-12-14,1,,
44,Porites compressa,Non-bleach,2015-12-14,1,,
45,Porites compressa,Bleach,2015-12-14,3,,
46,Porites compressa,Non-bleach,2015-12-14,1,,
201,Montipora capitata,Bleach,2015-12-14,3,,
202,Montipora capitata,Non-bleach,2015-12-14,1,,
203,Montipora capitata,Bleach,2015-12-14,4,,
204,Montipora capitata,Non-bleach,2015-12-14,1,,
209,Montipora capitata,Bleach,2015-12-14,2,,
210,Montipora capitata,Non-bleach,2015-12-14,1,,
211,Montipora capitata,Bleach,2015-12-14,5,,
212,Montipora capitata,Non-bleach,2015-12-14,1,,
219,Montipora capitata,Bleach,2015-12-14,2,,
220,Montipora capitata,Non-bleach,2015-12-14,1,,
221,Montipora capitata,Bleach,2015-12-14,3,,
222,Montipora capitata,Non-bleach,2015-12-14,1,,
229,Porites compressa,Bleach,2015-12-14,1,,
230,Porites compressa,Non-bleach,2015-12-14,1,,
237,Porites compressa,Bleach,2015-12-14,2,,
238,Porites compressa,Non-bleach,2015-12-14,1,,
239,Porites compressa,Bleach,2015-12-14,2,,
240,Porites compressa,Non-bleach,2015-12-14,1,,
243,Porites compressa,Bleach,2015-12-14,3,,
244,Porites compressa,Non-bleach,2015-12-14,1,,
247,Porites compressa,Bleach,2015-12-14,2,,
248,Porites compressa,Non-bleach,2015-12-14,1,,
3,Montipora capitata,Bleach,2016-02-04,3,,
4,Montipora capitata,Non-bleach,2016-02-04,1,,
11,Montipora capitata,Bleach,2016-02-04,2,,
12,Montipora capitata,Non-bleach,2016-02-04,1,,
19,Montipora capitata,Bleach,2016-02-04,3,,
20,Montipora capitata,Non-bleach,2016-02-04,1,,
26,Porites compressa,Non-bleach,2016-02-04,1,,
27,Porites compressa,Bleach,2016-02-04,1,,
35,Porites compressa,Bleach,2016-02-04,1,,
36,Porites compressa,Non-bleach,2016-02-04,1,,
41,Porites compressa,Bleach,2016-02-04,1,,
42,Porites compressa,Non-bleach,2016-02-04,1,,
43,Porites compressa,Bleach,2016-02-04,1,,
44,Porites compressa,Non-bleach,2016-02-04,1,,
45,Porites compressa,Bleach,2016-02-04,3,,
46,Porites compressa,Non-bleach,2016-02-04,1,,
201,Montipora capitata,Bleach,2016-02-04,3,,
202,Montipora capitata,Non-bleach,2016-02-04,1,,
203,Montipora capitata,Bleach,2016-02-04,3,,
204,Montipora capitata,Non-bleach,2016-02-04,1,,
209,Montipora capitata,Bleach,2016-02-04,1,,
210,Montipora capitata,Non-bleach,2016-02-04,1,,
211,Montipora capitata,Bleach,2016-02-04,4,,
212,Montipora capitata,Non-bleach,2016-02-04,1,,
217,Montipora capitata,Bleach,2016-02-04,1,,
218,Montipora capitata,Non-bleach,2016-02-04,1,,
219,Montipora capitata,Bleach,2016-02-04,2,,
220,Montipora capitata,Non-bleach,2016-02-04,1,,
221,Montipora capitata,Bleach,2016-02-04,1,,
222,Montipora capitata,Non-bleach,2016-02-04,1,,
229,Porites compressa,Bleach,2016-02-04,1,,
230,Porites compressa,Non-bleach,2016-02-04,2,,
237,Porites compressa,Bleach,2016-02-04,1,,
238,Porites compressa,Non-bleach,2016-02-04,1,,
239,Porites compressa,Bleach,2016-02-04,2,,
240,Porites compressa,Non-bleach,2016-02-04,1,,
243,Porites compressa,Bleach,2016-02-04,3,,
244,Porites compressa,Non-bleach,2016-02-04,1,,
247,Porites compressa,Bleach,2016-02-04,2,,
248,Porites compressa,Non-bleach,2016-02-04,1,,
3,Montipora capitata,Bleach,2016-03-24,4,,
4,Montipora capitata,Non-bleach,2016-03-24,2,,
11,Montipora capitata,Bleach,2016-03-24,3,,
12,Montipora capitata,Non-bleach,2016-03-24,2,,
19,Montipora capitata,Bleach,2016-03-24,2,,
20,Montipora capitata,Non-bleach,2016-03-24,1,,
26,Porites compressa,Non-bleach,2016-03-24,1,,
27,Porites compressa,Bleach,2016-03-24,1,,
35,Porites compressa,Bleach,2016-03-24,2,,
36,Porites compressa,Non-bleach,2016-03-24,1,,
41,Porites compressa,Bleach,2016-03-24,2,,
42,Porites compressa,Non-bleach,2016-03-24,1,,
43,Porites compressa,Bleach,2016-03-24,1,,
44,Porites compressa,Non-bleach,2016-03-24,1,,
45,Porites compressa,Bleach,2016-03-24,3,,
46,Porites compressa,Non-bleach,2016-03-24,1,,
201,Montipora capitata,Bleach,2016-03-24,2,,
202,Montipora capitata,Non-bleach,2016-03-24,1,,
203,Montipora capitata,Bleach,2016-03-24,3,,
204,Montipora capitata,Non-bleach,2016-03-24,1,,
211,Montipora capitata,Bleach,2016-03-24,3,,
212,Montipora capitata,Non-bleach,2016-03-24,1,,
217,Montipora capitata,Bleach,2016-03-24,1,,
218,Montipora capitata,Non-bleach,2016-03-24,1,,
219,Montipora capitata,Bleach,2016-03-24,2,,
220,Montipora capitata,Non-bleach,2016-03-24,1,,
221,Montipora capitata,Bleach,2016-03-24,2,,
222,Montipora capitata,Non-bleach,2016-03-24,1,,
229,Porites compressa,Bleach,2016-03-24,1,,
230,Porites compressa,Non-bleach,2016-03-24,2,,
237,Porites compressa,Bleach,2016-03-24,2,,
238,Porites compressa,Non-bleach,2016-03-24,2,,
239,Porites compressa,Bleach,2016-03-24,2,,
240,Porites compressa,Non-bleach,2016-03-24,3,,
243,Porites compressa,Bleach,2016-03-24,3,,
244,Porites compressa,Non-bleach,2016-03-24,1,,
247,Porites compressa,Bleach,2016-03-24,2,,
248,Porites compressa,Non-bleach,2016-03-24,2,,
3,Montipora capitata,Bleach,2016-05-31,4,Susceptible,0
4,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
11,Montipora capitata,Bleach,2016-05-31,3,Susceptible,0
12,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,20
19,Montipora capitata,Bleach,2016-05-31,2,Susceptible,0
20,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
26,Porites compressa,Non-bleach,2016-05-31,2,Resistant,0
27,Porites compressa,Bleach,2016-05-31,1,Susceptible,0
35,Porites compressa,Bleach,2016-05-31,4,Susceptible,0
36,Porites compressa,Non-bleach,2016-05-31,2,Resistant,0
41,Porites compressa,Bleach,2016-05-31,1,Susceptible,0
42,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
43,Porites compressa,Bleach,2016-05-31,1,Susceptible,40
44,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
45,Porites compressa,Bleach,2016-05-31,2,Susceptible,80
46,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
201,Montipora capitata,Bleach,2016-05-31,4,Susceptible,20
202,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
203,Montipora capitata,Bleach,2016-05-31,2,Susceptible,40
204,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
209,Montipora capitata,Bleach,2016-05-31,2,Susceptible,0
210,Montipora capitata,Non-bleach,2016-05-31,2,Resistant,0
211,Montipora capitata,Bleach,2016-05-31,3,Susceptible,20
212,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
219,Montipora capitata,Bleach,2016-05-31,2,Susceptible,20
220,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
221,Montipora capitata,Bleach,2016-05-31,1,Susceptible,20
222,Montipora capitata,Non-bleach,2016-05-31,1,Resistant,0
229,Porites compressa,Bleach,2016-05-31,1,Susceptible,0
230,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
237,Porites compressa,Bleach,2016-05-31,1,Susceptible,0
238,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
239,Porites compressa,Bleach,2016-05-31,1,Susceptible,0
240,Porites compressa,Non-bleach,2016-05-31,3,Resistant,0
243,Porites compressa,Bleach,2016-05-31,2,Susceptible,60
244,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
247,Porites compressa,Bleach,2016-05-31,1,Susceptible,40
248,Porites compressa,Non-bleach,2016-05-31,1,Resistant,0
3,Montipora capitata,Bleach,2016-09-20,3,,
4,Montipora capitata,Non-bleach,2016-09-20,1,,
11,Montipora capitata,Bleach,2016-09-20,4,,
12,Montipora capitata,Non-bleach,2016-09-20,1,,
19,Montipora capitata,Bleach,2016-09-20,4,,
20,Montipora capitata,Non-bleach,2016-09-20,1,,
26,Porites compressa,Non-bleach,2016-09-20,1,,
27,Porites compressa,Bleach,2016-09-20,1,,
35,Porites compressa,Bleach,2016-09-20,2,,
36,Porites compressa,Non-bleach,2016-09-20,1,,
