Coral_ID,Species,Bleach,Date,Period,Months,Protein,Sym_density,Chl,CaCO3,internal_volume_percent,TAC_CRE,ug_Chl_a_per_zoox,pg_Chl_a_per_zoox,Citrate_synthase,AFDW,Endolithic,PPO,Melanin_per_tissue,Lipid,Pmax,R,PR
3,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.309715696,0.653160462,2.863925327,2.086737102,57.87360698,11840.74997,4.38e-6,4.38,776.6320376,7.712130389,0,0.134643286,0.000930612,13.79185985,,,
4,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.337190345,2.435492779,10.0411942,2.009632235,57.13437797,9086.188059,4.12e-6,4.12,971.0922404,8.396059172,0,0.065051672,0.000361154,12.60780781,,,
12,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.222495687,1.608009487,4.125549535,1.753432299,50.28573432,11279.56863,2.57e-6,2.57,1672.574233,7.606467825,0,0.26440909,0.000494472,8.904294539,,,
19,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.431019618,2.090036653,8.277618957,2.070308225,56.76246644,8570.741736,3.96e-6,3.96,396.3316553,8.873193053,0,0.429612871,0.000838636,8.67351501,,,
20,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.273893495,2.240498873,9.02524766,2.057932713,57.3867941,12302.86375,4.03e-6,4.03,651.1230523,8.330085915,0,0.119845302,0.000915306,9.313086898,,,
26,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.393701313,3.000404645,16.67243908,1.457388894,36.88020465,32595.63516,5.56e-6,5.56,197.5687969,10.5275088,0,0.105643166,0.001111957,10.57877914,,,
27,Porites compressa,Bleach,2020-08-27,Recovery,10,0.42740044,2.090748503,16.19865786,1.628822832,42.97102914,34347.4444,7.75e-6,7.75,301.5366811,9.744452337,1,0.102168957,0.001442857,8.079994532,,,
41,Porites compressa,Bleach,2020-08-27,Recovery,10,0.582839684,2.207376839,12.87879305,1.420301075,36.05542921,17342.36261,5.83e-6,5.83,314.7413389,11.75933566,1,0.160761217,0.001716667,20.77806582,,,
42,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.442431444,1.26370457,12.37072141,1.439423919,35.34160987,31439.23178,9.79e-6,9.79,221.1316705,12.35131917,0,0.142539087,0.002655682,26.62395466,,,
43,Porites compressa,Bleach,2020-08-27,Recovery,10,0.47325863,3.147204525,15.14568623,1.740940326,46.42562869,36427.92025,4.81e-6,4.81,396.1073959,10.34786064,1,0.144101198,0.001664362,18.98815352,,,
44,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.097638668,0.352457647,2.139086604,,,43103.77483,6.07e-6,6.07,299.8562535,3.490822638,0,0.138783682,0.000864912,2.703822487,,,
45,Porites compressa,Bleach,2020-08-27,Recovery,10,0.536236976,3.670866809,14.4920857,1.331529652,29.30972172,25982.04221,3.95e-6,3.95,154.9047328,10.56435525,1,0.094769738,0.001951596,8.774820578,,,
46,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.370683386,2.398797516,11.21414987,1.908459429,51.56915924,37068.49419,4.67e-6,4.67,279.6179088,5.664249529,1,0.196870627,0.000857299,4.380271057,,,
202,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.231237898,2.340374533,7.162672477,1.861257703,50.88821102,14584.97397,3.06e-6,3.06,1037.869075,9.708675554,0,0.086444738,0.000505,15.50489977,,,
203,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.33761396,0.83908917,5.225181588,2.072292621,58.10696563,10884.68184,6.23e-6,6.23,1964.553316,7.408894054,0,0.161701996,0.000946245,6.480550703,,,
204,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.214052487,1.468680062,7.733265532,2.065622504,56.18683679,13687.48446,5.27e-6,5.27,1695.912449,4.847686856,0,0.102357883,0.000643069,4.861152653,,,
209,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.244985529,1.445107395,5.373704251,1.806275152,55.1337829,13904.3456,3.72e-6,3.72,861.8803094,7.477907718,0,0.098791626,0.001072941,14.12232808,,,
210,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.296489748,1.025577793,7.89819075,2.050764222,57.11926743,10664.04443,7.70e-6,7.7,1428.241075,7.530688583,0,0.071233386,0.000596471,4.527334005,,,
211,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.223465655,0.546291208,2.428405026,3.332181604,80.41152685,9156.602229,4.45e-6,4.45,972.7646118,4.430528254,0,0.062611226,0.000848507,4.478633881,,,
212,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.290918448,2.200605697,4.849260023,1.969698882,58.24301701,11730.40453,2.20e-6,2.2,1020.422533,6.940231467,0,0.079415599,0.000597209,5.440798743,,,
219,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.322467755,1.908079401,3.026601918,1.358136995,39.4884242,11103.72212,1.59e-6,1.59,970.747971,7.131932381,0,0.032589556,0.000569072,12.16427719,,,
220,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.146033918,2.713564943,4.919074017,1.825140833,54.56496293,22532.94202,1.81e-6,1.81,1883.255664,5.598478737,0,0.132830342,0.000382857,5.717595306,,,
221,Montipora capitata,Bleach,2020-08-27,Recovery,10,0.370808289,1.204330909,8.316470141,1.933194852,53.63933871,8367.125529,6.91e-6,6.91,257.338309,7.994997444,0,0.083859077,0.000755233,6.511209709,,,
222,Montipora capitata,Non-bleach,2020-08-27,Recovery,10,0.499247667,0.215896191,6.902838572,1.771556245,50.42998099,7602.826839,3.20e-5,31.97,789.4671525,6.877179053,0,0.071213,0.00110829,5.445148003,,,
229,Porites compressa,Bleach,2020-08-27,Recovery,10,0.248962671,1.219251837,15.04862345,1.755179455,48.30638061,39550.28635,1.23e-5,12.34,958.3968207,8.753647754,0,0.104127536,0.0009645,8.187822614,,,
230,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.2200032,1.822349079,14.05616473,1.796666919,48.28733607,33509.37984,7.71e-6,7.71,711.1414052,10.44637999,1,0.07533897,0.000626087,4.610960759,,,
237,Porites compressa,Bleach,2020-08-27,Recovery,10,0.292505771,8.257985103,13.7229295,1.408926126,36.39892744,66564.68155,1.66e-6,1.66,434.085629,9.581766619,0,0.032676021,0.002211058,8.114701874,,,
238,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.267966665,3.651124265,14.85985118,1.781306532,47.09437471,53021.63292,4.07e-6,4.07,395.6307307,10.49398468,1,0.030136034,0.001326027,6.580244492,,,
239,Porites compressa,Bleach,2020-08-27,Recovery,10,0.455704608,6.55459874,21.83983868,1.437396538,36.97140867,29196.18683,3.33e-6,3.33,130.3316329,10.62227021,0,0.146713345,0.001938579,13.12162791,,,
240,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.321481254,8.613606375,8.460760198,1.633846765,46.11489776,22685.36611,9.82e-7,0.98,95.43265756,8.441573439,1,0.068272193,0.001119421,9.79079239,,,
243,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.452256889,1.23062472,17.93612143,1.536845815,38.79074913,33856.71696,1.46e-5,14.57,173.5401215,6.684206857,1,0.18664638,0.001208475,8.463273321,,,
244,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.287981737,0.536222666,17.9218795,2.046387364,54.55843316,48875.73381,3.34e-5,33.42,1101.850577,6.733141886,1,0.145278818,0.001879891,5.517089613,,,
247,Porites compressa,Bleach,2020-08-27,Recovery,10,0.231673984,1.481902317,13.76213298,1.741740445,48.20122627,43665.80495,9.29e-6,9.29,388.5191817,8.049035151,1,0.134465493,0.001059799,5.821410288,,,
248,Porites compressa,Non-bleach,2020-08-27,Recovery,10,0.230392946,0.825382853,12.57711082,1.75134106,48.02363605,44204.19067,1.52e-5,15.24,287.4529181,9.37696614,1,0.125733083,0.001571271,10.17622048,,,
3,Montipora capitata,Bleach,2020-11-05,Recovery,12,0.209845773,0.660884045,6.300060589,2.466076152,63.67069517,12239.13034,9.53e-6,9.53,1158.649225,3.066620666,1,0.644299209,0.000772532,3.177314193,,,
4,Montipora capitata,Non-bleach,2020-11-05,Recovery,12,0.411337382,1.419180244,8.48562976,2.360894081,61.74265234,7702.477128,5.98e-6,5.98,352.4702443,4.0848838,1,0.630696859,0.000807203,4.784198146,,,
11,Montipora capitata,Bleach,2020-11-05,Recovery,12,0.450306789,1.430007104,5.990722376,2.311105609,60.01275338,10109.42594,4.19e-6,4.19,580.8312679,4.281748212,0,0.838471196,0.000953488,5.85463531,,,
12,Montipora capitata,Non-bleach,2020-11-05,Recovery,12,0.240618316,1.389248914,9.594883157,2.373564879,61.97461965,16874.15693,6.91e-6,6.91,1265.3647,3.513150764,0,0.644562927,0.000522727,2.33803083,,,
19,Montipora capitata,Bleach,2020-11-05,Recovery,12,0.301136514,1.888272642,10.03126145,2.131044428,59.46691407,9141.434153,5.31e-6,5.31,271.8820597,4.306744834,0,0.231945339,0.000417339,5.199440361,,,
20,Montipora capitata,Non-bleach,2020-11-05,Recovery,12,0.188215361,3.018622342,4.130316651,2.246770056,58.48930922,14545.6888,1.37e-6,1.37,749.7070473,3.453428689,0,0.4424978,0.000641667,4.725450888,,,
26,Porites compressa,Non-bleach,2020-11-05,Recovery,12,0.480065248,2.715929084,27.27557121,1.246817719,23.39326917,42174.75157,1.00e-5,10.04,113.3713281,6.593943053,1,0.606044792,0.001321586,7.421673563,,,
27,Porites compressa,Bleach,2020-11-05,Recovery,12,0.305151066,2.100123462,20.55487638,1.589658466,41.23572845,71587.11708,9.79e-6,9.79,119.8928171,4.076110089,1,0.553587019,0.001632911,4.560905655,,,
41,Porites compressa,Bleach,2020-11-05,Recovery,12,0.394528319,0.730553054,14.64024063,1.402855171,34.00065461,36826.61047,2.00e-5,20.04,100.9554235,3.474866016,1,0.267546883,0.001203629,3.969817563,,,
42,Porites compressa,Non-bleach,2020-11-05,Recovery,12,0.354891309,3.288087368,16.88561781,1.339360196,31.58011434,71354.32894,5.14e-6,5.14,150.7090209,6.654429791,0,1.469018774,0.002696891,9.960978755,,,
43,Porites compressa,Bleach,2020-11-05,Recovery,12,0.345520187,3.478475657,15.53797806,1.966769354,51.92136286,66718.8065,4.47e-6,4.47,110.2567135,5.199684077,0,0.851760615,0.002688053,4.47928092,,,
44,Porites compressa,Non-bleach,2020-11-05,Recovery,12,0.464751811,4.048810643,21.65473117,1.616307208,42.34879859,86284.14036,5.35e-6,5.35,194.7835983,5.642108886,1,0.881701266,0.002169118,4.701757405,,,
45,Porites compressa,Bleach,2020-11-05,Recovery,12,0.325590274,2.850593345,15.02396996,1.977716785,51.89691023,91332.88395,5.27e-6,5.27,109.2256014,3.549954138,0,0.586791744,0.002205069,2.80608408,,,
46,Porites compressa,Non-bleach,2020-11-05,Recovery,12,0.426056762,4.894072841,19.87101766,1.577520658,41.15830178,93469.95692,4.06e-6,4.06,172.544155,6.793009872,1,0.738753441,0.002132184,5.611616851,,,
201,Montipora capitata,Bleach,2020-11-05,Recovery,12,0.204249519,1.091004743,6.828532181,2.292548256,60.10026946,10093.03461,6.26e-6,6.26,414.4998918,2.316735714,0,0.962351799,0.000480296,2.048831254,,,
202,Montipora capitata,Non-bleach,2020-11-05,Recovery,12,0.23056471,1.840267494,9.346291835,2.356355631,60.91364025,10798.32252,5.08e-6,5.08,570.9021563,1.760130289,0,0.977630242,0.000525896,1.713380481,,,
203,Montipora capitata,Bleach,2020-11-05,Recovery,12,0.290760264,1.316881661,9.923649471,2.147294745,58.99287972,11028.16098,7.54e-6,7.54,693.0279575,2.662494492,0,0.964905642,0.000457143,2.541024336,,,
204,Montipora capitata,Non-bleach,2020-11-05,Recovery,12,0.329349783,1.402819351,12.1262647,2.335344855,59.49514665,8307.035021,8.64e-6,8.64,825.1855132,2.783186038,0,0.972050074,0.000485795,2.207454207,,,
