ColonyID,Species,Phenotype,Date,Score
26,Porites compressa,Non-bleach,12/14/2015,2
27,Porites compressa,Bleach,12/14/2015,1
35,Porites compressa,Bleach,12/14/2015,1
36,Porites compressa,Non-bleach,12/14/2015,1
41,Porites compressa,Bleach,12/14/2015,1
42,Porites compressa,Non-bleach,12/14/2015,1
43,Porites compressa,Bleach,12/14/2015,1
44,Porites compressa,Non-bleach,12/14/2015,1
45,Porites compressa,Bleach,12/14/2015,3
46,Porites compressa,Non-bleach,12/14/2015,1
201,Montipora capitata,Bleach,12/14/2015,3
202,Montipora capitata,Non-bleach,12/14/2015,1
203,Montipora capitata,Bleach,12/14/2015,4
204,Montipora capitata,Non-bleach,12/14/2015,1
209,Montipora capitata,Bleach,12/14/2015,2
210,Montipora capitata,Non-bleach,12/14/2015,1
211,Montipora capitata,Bleach,12/14/2015,5
212,Montipora capitata,Non-bleach,12/14/2015,1
219,Montipora capitata,Bleach,12/14/2015,2
220,Montipora capitata,Non-bleach,12/14/2015,1
221,Montipora capitata,Bleach,12/14/2015,3
222,Montipora capitata,Non-bleach,12/14/2015,1
229,Porites compressa,Bleach,12/14/2015,1
230,Porites compressa,Non-bleach,12/14/2015,1
237,Porites compressa,Bleach,12/14/2015,2
238,Porites compressa,Non-bleach,12/14/2015,1
239,Porites compressa,Bleach,12/14/2015,2
240,Porites compressa,Non-bleach,12/14/2015,1
243,Porites compressa,Bleach,12/14/2015,3
244,Porites compressa,Non-bleach,12/14/2015,1
247,Porites compressa,Bleach,12/14/2015,2
248,Porites compressa,Non-bleach,12/14/2015,1
3,Montipora capitata,Bleach,2/4/2016,3
4,Montipora capitata,Non-bleach,2/4/2016,1
11,Montipora capitata,Bleach,2/4/2016,2
12,Montipora capitata,Non-bleach,2/4/2016,1
19,Montipora capitata,Bleach,2/4/2016,3
20,Montipora capitata,Non-bleach,2/4/2016,1
26,Porites compressa,Non-bleach,2/4/2016,1
27,Porites compressa,Bleach,2/4/2016,1
35,Porites compressa,Bleach,2/4/2016,1
36,Porites compressa,Non-bleach,2/4/2016,1
41,Porites compressa,Bleach,2/4/2016,1
42,Porites compressa,Non-bleach,2/4/2016,1
43,Porites compressa,Bleach,2/4/2016,1
44,Porites compressa,Non-bleach,2/4/2016,1
45,Porites compressa,Bleach,2/4/2016,3
46,Porites compressa,Non-bleach,2/4/2016,1
201,Montipora capitata,Bleach,2/4/2016,3
202,Montipora capitata,Non-bleach,2/4/2016,1
203,Montipora capitata,Bleach,2/4/2016,3
204,Montipora capitata,Non-bleach,2/4/2016,1
209,Montipora capitata,Bleach,2/4/2016,1
210,Montipora capitata,Non-bleach,2/4/2016,1
211,Montipora capitata,Bleach,2/4/2016,4
212,Montipora capitata,Non-bleach,2/4/2016,1
217,Montipora capitata,Bleach,2/4/2016,1
218,Montipora capitata,Non-bleach,2/4/2016,1
219,Montipora capitata,Bleach,2/4/2016,2
220,Montipora capitata,Non-bleach,2/4/2016,1
221,Montipora capitata,Bleach,2/4/2016,1
222,Montipora capitata,Non-bleach,2/4/2016,1
229,Porites compressa,Bleach,2/4/2016,1
230,Porites compressa,Non-bleach,2/4/2016,2
237,Porites compressa,Bleach,2/4/2016,1
238,Porites compressa,Non-bleach,2/4/2016,1
239,Porites compressa,Bleach,2/4/2016,2
240,Porites compressa,Non-bleach,2/4/2016,1
243,Porites compressa,Bleach,2/4/2016,3
244,Porites compressa,Non-bleach,2/4/2016,1
247,Porites compressa,Bleach,2/4/2016,2
248,Porites compressa,Non-bleach,2/4/2016,1
3,Montipora capitata,Bleach,3/24/2016,4
4,Montipora capitata,Non-bleach,3/24/2016,2
11,Montipora capitata,Bleach,3/24/2016,3
12,Montipora capitata,Non-bleach,3/24/2016,2
19,Montipora capitata,Bleach,3/24/2016,2
20,Montipora capitata,Non-bleach,3/24/2016,1
26,Porites compressa,Non-bleach,3/24/2016,1
27,Porites compressa,Bleach,3/24/2016,1
35,Porites compressa,Bleach,3/24/2016,2
36,Porites compressa,Non-bleach,3/24/2016,1
41,Porites compressa,Bleach,3/24/2016,2
42,Porites compressa,Non-bleach,3/24/2016,1
43,Porites compressa,Bleach,3/24/2016,1
44,Porites compressa,Non-bleach,3/24/2016,1
45,Porites compressa,Bleach,3/24/2016,3
46,Porites compressa,Non-bleach,3/24/2016,1
201,Montipora capitata,Bleach,3/24/2016,2
202,Montipora capitata,Non-bleach,3/24/2016,1
203,Montipora capitata,Bleach,3/24/2016,3
204,Montipora capitata,Non-bleach,3/24/2016,1
211,Montipora capitata,Bleach,3/24/2016,3
212,Montipora capitata,Non-bleach,3/24/2016,1
217,Montipora capitata,Bleach,3/24/2016,1
218,Montipora capitata,Non-bleach,3/24/2016,1
219,Montipora capitata,Bleach,3/24/2016,2
220,Montipora capitata,Non-bleach,3/24/2016,1
221,Montipora capitata,Bleach,3/24/2016,2
222,Montipora capitata,Non-bleach,3/24/2016,1
229,Porites compressa,Bleach,3/24/2016,1
230,Porites compressa,Non-bleach,3/24/2016,2
237,Porites compressa,Bleach,3/24/2016,2
238,Porites compressa,Non-bleach,3/24/2016,2
239,Porites compressa,Bleach,3/24/2016,2
240,Porites compressa,Non-bleach,3/24/2016,2
243,Porites compressa,Bleach,3/24/2016,3
244,Porites compressa,Non-bleach,3/24/2016,1
247,Porites compressa,Bleach,3/24/2016,2
248,Porites compressa,Non-bleach,3/24/2016,2
3,Montipora capitata,Bleach,5/31/2016,4
4,Montipora capitata,Non-bleach,5/31/2016,1
11,Montipora capitata,Bleach,5/31/2016,3
12,Montipora capitata,Non-bleach,5/31/2016,1
19,Montipora capitata,Bleach,5/31/2016,2
20,Montipora capitata,Non-bleach,5/31/2016,1
26,Porites compressa,Non-bleach,5/31/2016,2
27,Porites compressa,Bleach,5/31/2016,1
35,Porites compressa,Bleach,5/31/2016,4
36,Porites compressa,Non-bleach,5/31/2016,2
41,Porites compressa,Bleach,5/31/2016,1
42,Porites compressa,Non-bleach,5/31/2016,1
43,Porites compressa,Bleach,5/31/2016,1
44,Porites compressa,Non-bleach,5/31/2016,1
45,Porites compressa,Bleach,5/31/2016,2
46,Porites compressa,Non-bleach,5/31/2016,1
201,Montipora capitata,Bleach,5/31/2016,4
202,Montipora capitata,Non-bleach,5/31/2016,1
203,Montipora capitata,Bleach,5/31/2016,2
204,Montipora capitata,Non-bleach,5/31/2016,1
209,Montipora capitata,Bleach,5/31/2016,2
210,Montipora capitata,Non-bleach,5/31/2016,2
211,Montipora capitata,Bleach,5/31/2016,3
212,Montipora capitata,Non-bleach,5/31/2016,1
219,Montipora capitata,Bleach,5/31/2016,2
220,Montipora capitata,Non-bleach,5/31/2016,1
221,Montipora capitata,Bleach,5/31/2016,1
222,Montipora capitata,Non-bleach,5/31/2016,1
229,Porites compressa,Bleach,5/31/2016,1
230,Porites compressa,Non-bleach,5/31/2016,1
237,Porites compressa,Bleach,5/31/2016,1
238,Porites compressa,Non-bleach,5/31/2016,1
239,Porites compressa,Bleach,5/31/2016,1
240,Porites compressa,Non-bleach,5/31/2016,2
243,Porites compressa,Bleach,5/31/2016,2
244,Porites compressa,Non-bleach,5/31/2016,1
247,Porites compressa,Bleach,5/31/2016,1
248,Porites compressa,Non-bleach,5/31/2016,1
3,Montipora capitata,Bleach,9/20/2016,3
4,Montipora capitata,Non-bleach,9/20/2016,1
11,Montipora capitata,Bleach,9/20/2016,4
12,Montipora capitata,Non-bleach,9/20/2016,1
19,Montipora capitata,Bleach,9/20/2016,4
20,Montipora capitata,Non-bleach,9/20/2016,1
26,Porites compressa,Non-bleach,9/20/2016,1
27,Porites compressa,Bleach,9/20/2016,1
35,Porites compressa,Bleach,9/20/2016,2
36,Porites compressa,Non-bleach,9/20/2016,1
41,Porites compressa,Bleach,9/20/2016,1
42,Porites compressa,Non-bleach,9/20/2016,1
43,Porites compressa,Bleach,9/20/2016,2
44,Porites compressa,Non-bleach,9/20/2016,1
45,Porites compressa,Bleach,9/20/2016,2
46,Porites compressa,Non-bleach,9/20/2016,1
