Date,Observer,Species,Phenotype,ColonyID,Color score,Notes
2023-09-13,Julia Durian,Montipora capitata,Susceptible,1,3,
2023-09-13,Julia Durian,Montipora capitata,Resistant,2,3,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,3,3,
2023-09-13,Julia Durian,Montipora capitata,Resistant,4,1,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,11,5,
2023-09-13,Julia Durian,Montipora capitata,Resistant,12,4,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,15,2,
2023-09-13,Julia Durian,Montipora capitata,Resistant,16,3,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,19,5,
2023-09-13,Julia Durian,Montipora capitata,Resistant,20,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,26,4,
2023-09-13,Julia Durian,Porites compressa,Susceptible,27,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,28,1,
2023-09-13,Julia Durian,Porites compressa,Susceptible,29,3,
2023-09-13,Julia Durian,Porites compressa,Resistant,41,3,
2023-09-13,Julia Durian,Porites compressa,Susceptible,42,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,43,4,
2023-09-13,Julia Durian,Porites compressa,Susceptible,44,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,45,3,
2023-09-13,Julia Durian,Porites compressa,Susceptible,46,1,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,205,2,
2023-09-13,Julia Durian,Montipora capitata,Resistant,206,4,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,207,5,
2023-09-13,Julia Durian,Montipora capitata,Resistant,208,2,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,209,5,
2023-09-13,Julia Durian,Montipora capitata,Resistant,210,2,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,211,3,
2023-09-13,Julia Durian,Montipora capitata,Resistant,212,4,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,213,5,
2023-09-13,Julia Durian,Montipora capitata,Resistant,214,2,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,219,4,
2023-09-13,Julia Durian,Montipora capitata,Resistant,220,1,
2023-09-13,Julia Durian,Montipora capitata,Susceptible,221,2,
2023-09-13,Julia Durian,Montipora capitata,Resistant,222,,
2023-09-13,Julia Durian,Porites compressa,Susceptible,225,4,
2023-09-13,Julia Durian,Porites compressa,Resistant,226,2,
2023-09-13,Julia Durian,Porites compressa,Susceptible,233,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,234,2,
2023-09-13,Julia Durian,Porites compressa,Susceptible,235,3,
2023-09-13,Julia Durian,Porites compressa,Resistant,236,1,
2023-09-13,Julia Durian,Porites compressa,Susceptible,237,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,238,2,
2023-09-13,Julia Durian,Porites compressa,Susceptible,239,1,
2023-09-13,Julia Durian,Porites compressa,Resistant,240,5,
2023-09-13,Julia Durian,Porites compressa,Susceptible,243,2,
2023-09-13,Julia Durian,Porites compressa,Resistant,244,1,
2023-09-13,Julia Durian,Porites compressa,Susceptible,247,2,
2023-09-13,Julia Durian,Porites compressa,Resistant,248,1,
,,,,,,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,1,3,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,2,2,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,3,4,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,4,3,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,11,,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,12,1,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,15,,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,16,,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,19,4,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,20,1,
2024-01-18,Amelia Morgan,Porites compressa,Resistant,26,1,
2024-01-18,Amelia Morgan,Porites compressa,Susceptible,27,1,
2024-01-18,Amelia Morgan,Porites compressa,Resistant,28,1,
2024-01-18,Amelia Morgan,Porites compressa,Susceptible,29,2,
2024-01-18,Amelia Morgan,Porites compressa,Susceptible,41,1,
2024-01-18,Amelia Morgan,Porites compressa,Resistant,42,1,
2024-01-18,Amelia Morgan,Porites compressa,Susceptible,43,2,
2024-01-18,Amelia Morgan,Porites compressa,Resistant,44,1,
2024-01-18,Amelia Morgan,Porites compressa,Susceptible,45,2,
2024-01-18,Amelia Morgan,Porites compressa,Resistant,46,1,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,201,5,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,202,2,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,203,3,*
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,204,1,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,205,3,*
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,206,2,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,207,5,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,208,2,
2024-01-18,Amelia Morgan,Montipora capitata,Susceptible,209,3,
2024-01-18,Amelia Morgan,Montipora capitata,Resistant,210,4,
