ColonyID,Timepoint,Initial_mass_g,Dry_mass_g,Burnt_mass_g
1,September_2023,0.3854,0.3992,0.3977
2,September_2023,0.3782,0.3911,0.3905
3,September_2023,0.3923,0.4057,0.4054
4,September_2023,0.3885,0.4017,0.4003
19,September_2023,0.3894,0.4025,0.4014
20,September_2023,0.3896,0.4023,0.4017
26,September_2023,0.3844,0.4002,0.3989
27,September_2023,0.3815,0.3942,0.3936
28,September_2023,0.3899,0.4029,0.4018
29,September_2023,0.3825,0.3964,0.3955
41,September_2023,0.3799,0.3917,0.3912
42,September_2023,0.3837,0.3965,0.3959
43,September_2023,0.3836,0.3984,0.3972
44,September_2023,0.3843,0.3982,0.3976
45,September_2023,0.3829,0.3953,0.3942
46,September_2023,0.3834,0.3976,0.3964
201,September_2023,0.3774,0.3915,0.3907
202,September_2023,0.381,0.3959,0.3946
203,September_2023,0.3845,0.3989,0.3965
204,September_2023,0.3756,0.3883,0.3875
205,September_2023,0.3814,0.3943,0.3937
206,September_2023,0.3885,0.4019,0.4015
209,September_2023,0.3791,0.3939,0.3925
210,September_2023,0.3897,0.4047,0.4039
211,September_2023,0.382,0.3962,0.3949
212,September_2023,0.3869,0.4011,0.4002
214,September_2023,0.383,0.3955,0.3946
219,September_2023,0.3827,0.3956,0.395
220,September_2023,0.3802,0.3941,0.3929
221,September_2023,0.3789,0.3917,0.3906
225,September_2023,0.3864,0.4001,0.3996
226,September_2023,0.3846,0.3976,0.3969
233,September_2023,0.392,0.4023,0.402
234,September_2023,0.3842,0.3974,0.3959
235,September_2023,0.3872,0.399,0.3981
236,September_2023,0.3819,0.3939,0.3929
237,September_2023,0.3793,0.3921,0.3906
238,September_2023,0.3838,0.3976,0.3962
239,September_2023,0.3849,0.3969,0.3954
240,September_2023,0.381,0.3934,0.3919
241,September_2023,0.3864,0.3993,0.3982
242,September_2023,0.3837,0.3957,0.3956
243,September_2023,0.3783,0.3922,0.3907
244,September_2023,0.3868,0.3997,0.399
247,September_2023,0.3849,0.3977,0.3962
248,September_2023,0.3813,0.3928,0.3923
1,October_2025,0.4168,0.4279,0.427
2,October_2025,0.4246,0.4334,0.4329
3,October_2025,0.4207,0.4288,0.4286
4,October_2025,0.4263,0.4373,0.4357
12,October_2025,0.4061,0.4158,0.4146
19,October_2025,0.424,0.4337,0.4324
20,October_2025,0.4146,0.4242,0.4227
26,October_2025,0.4205,0.4298,0.4287
27,October_2025,0.4178,0.4271,0.4258
28,October_2025,0.4219,0.4305,0.4298
29,October_2025,0.4152,0.4248,0.4235
41,October_2025,0.4171,0.4268,0.4262
42,October_2025,0.4204,0.4311,0.4295
43,October_2025,0.4221,0.4324,0.431
44,October_2025,0.4208,0.4305,0.4297
201,October_2025,0.4186,0.4288,0.4274
202,October_2025,0.4178,0.4264,0.4252
203,October_2025,0.4166,0.4267,0.4254
204,October_2025,0.4182,0.4266,0.4257
205,October_2025,0.4152,0.4243,0.4231
206,October_2025,0.4135,0.4229,0.4213
209,October_2025,0.4208,0.4298,0.4287
210,October_2025,0.4154,0.4255,0.4237
211,October_2025,0.4204,0.4301,0.4294
213,October_2025,0.4167,0.4267,0.4257
214,October_2025,0.4187,0.4285,0.4273
221,October_2025,0.4167,0.4271,0.426
225,October_2025,0.4173,0.4261,0.4256
226,October_2025,0.4202,0.4307,0.4292
233,October_2025,0.4164,0.4259,0.4247
234,October_2025,0.4191,0.43,0.4284
235,October_2025,0.4151,0.4238,0.423
236,October_2025,0.4196,0.4299,0.4283
237,October_2025,0.4188,0.427,0.426
238,October_2025,0.4177,0.4281,0.427
239,October_2025,0.4202,0.4306,0.4293
240,October_2025,0.4195,0.429,0.4277
241,October_2025,0.4143,0.4238,0.4231
242,October_2025,0.4176,0.4272,0.4267
243,October_2025,0.4202,0.4293,0.4282
244,October_2025,0.4172,0.4273,0.4262
247,October_2025,0.4195,0.4296,0.4289
248,October_2025,0.4169,0.4263,0.425
