Analysis Date,Observer,Species,Phenotype,Date,Colony ID,Replicate,Label,Area,Mean,Std Dev,Mode ,Min ,Max,MinThr,MaxThr,
2024-2-17,Julia,Montipora capitata,Susceptible,2023-09-13,11,4,2023-09-13_Colony#11_2.JPG (red),791922,110.993,54.47,152,0,255,0,255,
2024-2-17,Julia,Montipora capitata,Susceptible,2023-09-13,11,5,2023-09-13_Colony#11_2.JPG (red),127732,105.127,59.229,29,0,239,0,255,
2024-2-17,Julia,Montipora capitata,Susceptible,2023-09-13,11,6,2023-09-13_Colony#11_2.JPG (red),5933,254.866,0.369,255,252,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,1,2023-09-13_Colony#12_5.JPG (red),141776,117.278,55.722,43,9,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,2,2023-09-13_Colony#12_5.JPG (red),289172,121.973,58.235,161,4,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,3,2023-09-13_Colony#12_5.JPG (red),452208,121.827,55.656,159,0,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,4,2023-09-13_Colony#12_5.JPG (red),579452,119.588,55.537,162,0,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,5,2023-09-13_Colony#12_5.JPG (red),692068,119.815,54.004,162,0,255,0,255,
2024-2-17,Julia,Montipora capitata,Resistant,2023-09-13,12,6,2023-09-13_Colony#12_5.JPG (red),4073,254.327,0.791,255,249,255,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,1,2023-09-13_Colony#15_1.JPG (red),89862,146.861,51.963,101,15,253,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,2,2023-09-13_Colony#15_1.JPG (red),165116,140.34,53.88,136,0,255,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,3,2023-09-13_Colony#15_1.JPG (red),188418,84.038,55.962,19,0,237,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,4,2023-09-13_Colony#15_1.JPG (red),225516,102.916,55.832,24,0,237,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,5,2023-09-13_Colony#15_1.JPG (red),215526,115.781,63.643,25,0,255,0,255,
2024-2-18,Julia,Montipora capitata,Susceptible,2023-09-13,15,6,2023-09-13_Colony#15_1.JPG (red),8272,254.973,0.161,255,254,255,0,255,
2024-2-18,Julia,Montipora capitata,Resistant,2023-09-13,16,1,2023-09-13_Colony#16_3.JPG (red),251940,93.255,46.965,25,10,241,0,255,
2024-2-18,Julia,Montipora capitata,Resistant,2023-09-13,16,2,2023-09-13_Colony#16_3.JPG (red),382020,96.317,45.37,32,7,241,0,255,
2024-2-18,Julia,Montipora capitata,Resistant,2023-09-13,16,3,2023-09-13_Colony#16_3.JPG (red),559950,92.496,45.977,31,4,241,0,255,
2024-2-18,Julia,Montipora capitata,Resistant,2023-09-13,16,4,2023-09-13_Colony#16_3.JPG (red),759978,101.8,50.781,31,4,255,0,255,
