,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.993,1.002,1.727,0.567,1.152,1.725,0.684,1.521,0.556,0.76,0.422,1.534,663
B,1.023,0.976,1.707,0.568,1.116,1.749,0.694,1.595,0.563,0.778,0.43,1.513,663
C,1.014,0.97,1.715,0.553,1.171,1.727,0.686,1.556,0.557,0.77,0.41,1.472,663
D,0.591,0.895,0.193,2.235,1.408,0.337,1.838,0.964,1.968,0.903,0.346,1.437,663
E,0.564,0.883,0.194,2.2,1.396,0.342,1.783,0.944,1.948,0.906,0.335,1.44,663
F,0.557,0.88,0.19,2.207,1.389,0.339,1.784,0.938,1.966,0.891,0.346,1.445,663
G,1.025,1.075,1.051,0.892,0.907,0.905,1.684,1.767,1.763,1.936,1.871,1.885,663
H,0.499,0.498,0.507,0.792,0.814,0.812,0.258,0.257,0.257,0.341,0.337,0.343,663
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.332,0.351,0.525,0.2,0.336,0.523,0.237,0.445,0.201,0.281,0.183,0.446,630
B,0.334,0.337,0.513,0.193,0.317,0.522,0.23,0.458,0.195,0.284,0.18,0.433,630
C,0.331,0.332,0.508,0.187,0.328,0.511,0.229,0.44,0.194,0.28,0.167,0.419,630
D,0.202,0.297,0.11,0.621,0.426,0.145,0.526,0.358,0.548,0.269,0.14,0.41,630
E,0.19,0.293,0.108,0.606,0.423,0.146,0.511,0.354,0.541,0.272,0.135,0.409,630
F,0.188,0.293,0.107,0.609,0.421,0.144,0.512,0.351,0.548,0.267,0.137,0.412,630
G,0.287,0.3,0.292,0.254,0.257,0.258,0.458,0.477,0.476,0.541,0.525,0.524,630
H,0.199,0.191,0.196,0.224,0.23,0.228,0.123,0.121,0.124,0.153,0.152,0.156,630
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.086,0.079,0.078,0.08,0.081,0.078,0.077,0.078,0.077,0.072,0.077,0.078,750
B,0.08,0.07,0.072,0.07,0.068,0.07,0.069,0.074,0.072,0.073,0.073,0.072,750
C,0.082,0.068,0.065,0.068,0.067,0.066,0.069,0.067,0.072,0.068,0.066,0.068,750
D,0.073,0.066,0.067,0.071,0.066,0.067,0.067,0.066,0.064,0.066,0.071,0.067,750
E,0.067,0.065,0.065,0.066,0.065,0.066,0.066,0.068,0.062,0.069,0.067,0.065,750
F,0.066,0.065,0.064,0.066,0.066,0.065,0.067,0.066,0.065,0.067,0.068,0.068,750
G,0.066,0.067,0.066,0.065,0.066,0.066,0.067,0.064,0.064,0.07,0.069,0.067,750
H,0.072,0.064,0.068,0.066,0.066,0.064,0.065,0.063,0.067,0.066,0.065,0.068,750
