,1,2,3,4,5,6,7,8,9,10,11,12,,,630,630-blank,663,663-blank,750,750-blank
A,0.351,0.35,0.347,0.379,0.409,0.493,0.315,0.314,0.309,0.576,0.514,0.567,630,,0.3493333333,0.2683333333,0.748,0.6723333333,0.1993333333,0.1316666667
B,0.3,0.29,0.311,0.305,0.299,0.312,0.374,0.398,0.376,0.326,0.331,0.323,630,,0.427,0.346,0.7843333333,0.7086666667,0.2753333333,0.2076666667
C,0.246,0.269,0.247,0.307,0.298,0.315,0.295,0.357,0.334,0.437,0.497,0.449,630,,0.3126666667,0.2316666667,0.597,0.5213333333,0.2013333333,0.1336666667
D,0.426,0.405,0.398,0.401,0.399,0.403,0.425,0.438,0.425,0.485,0.49,0.518,630,,0.5523333333,0.4713333333,1.202666667,1.127,0.3083333333,0.2406666667
E,0.315,0.317,0.311,0.377,0.385,0.377,0.349,0.339,0.325,0.423,0.43,0.419,630,,0.3003333333,0.2193333333,0.7913333333,0.7156666667,0.151,0.08333333333
F,0.4,0.368,0.392,0.274,0.301,0.288,0.26,0.257,0.256,0.545,0.578,0.548,630,,0.3053333333,0.2243333333,0.6986666667,0.623,0.1766666667,0.109
G,0.078,0.08,0.082,0.08,0.081,0.082,0.082,0.081,0.081,0.083,0.085,0.082,630,,0.3826666667,0.3016666667,0.9923333333,0.9166666667,0.177,0.1093333333
H,0.084,0.078,0.081,0.083,0.084,0.083,0.084,0.08,0.085,0.083,0.082,0.087,630,,0.3266666667,0.2456666667,0.7593333333,0.6836666667,0.1756666667,0.108
,,,,,,,,,,,,,,,0.254,0.173,0.5876666667,0.512,0.144,0.07633333333
,1,2,3,4,5,6,7,8,9,10,11,12,,,0.3066666667,0.2256666667,0.7583333333,0.6826666667,0.1556666667,0.088
A,0.775,0.736,0.733,0.757,0.757,0.839,0.616,0.588,0.587,1.264,1.149,1.195,663,,0.3286666667,0.2476666667,0.7083333333,0.6326666667,0.1803333333,0.1126666667
B,0.8,0.778,0.796,0.71,0.685,0.701,0.988,1.008,0.981,0.774,0.758,0.746,663,,0.461,0.38,1.24,1.164333333,0.2126666667,0.145
C,0.585,0.599,0.579,0.764,0.746,0.765,0.676,0.738,0.711,1.223,1.283,1.214,663,,0.4096666667,0.3286666667,1.353666667,1.278,0.1336666667,0.066
D,1.375,1.357,1.329,1.194,1.196,1.204,1.522,1.548,1.528,1.613,1.631,1.631,663,,0.401,0.32,1.198,1.122333333,0.1606666667,0.093
E,0.906,0.924,0.911,1.149,1.17,1.137,1.04,1.039,1.014,1.33,1.371,1.326,663,,0.4293333333,0.3483333333,1.532666667,1.457,0.1223333333,0.05466666667
F,1.06,1.042,1.058,0.754,0.798,0.778,0.647,0.656,0.651,1.793,1.838,1.792,663,,0.4976666667,0.4166666667,1.625,1.549333333,0.1856666667,0.118
G,0.072,0.074,0.076,0.075,0.076,0.077,0.077,0.076,0.075,0.078,0.08,0.078,663,,0.3143333333,0.2333333333,0.9136666667,0.838,0.1296666667,0.062
H,0.08,0.072,0.075,0.077,0.077,0.078,0.078,0.077,0.08,0.077,0.077,0.083,663,,0.3796666667,0.2986666667,1.152,1.076333333,0.1623333333,0.09466666667
,,,,,,,,,,,,,,,0.3376666667,0.2566666667,1.031,0.9553333333,0.122,0.05433333333
,1,2,3,4,5,6,7,8,9,10,11,12,,,0.424,0.343,1.342333333,1.266666667,0.118,0.05033333333
A,0.195,0.203,0.2,0.231,0.262,0.333,0.199,0.205,0.2,0.321,0.278,0.326,750,,0.3866666667,0.3056666667,1.053333333,0.9776666667,0.1686666667,0.101
B,0.147,0.143,0.163,0.173,0.173,0.184,0.169,0.19,0.172,0.172,0.182,0.173,750,,0.2876666667,0.2066666667,0.7766666667,0.701,0.126,0.05833333333
C,0.135,0.158,0.139,0.154,0.147,0.166,0.149,0.207,0.185,0.19,0.243,0.205,750,,0.2576666667,0.1766666667,0.6513333333,0.5756666667,0.1263333333,0.05866666667
D,0.148,0.128,0.125,0.161,0.16,0.161,0.119,0.128,0.12,0.175,0.177,0.205,750,,0.557,0.476,1.807666667,1.732,0.1186666667,0.051
E,0.131,0.131,0.127,0.16,0.164,0.163,0.132,0.123,0.111,0.121,0.116,0.117,750,,,,,,,
F,0.181,0.15,0.175,0.115,0.137,0.126,0.13,0.124,0.125,0.11,0.133,0.113,750,,,,,,,
G,0.063,0.064,0.065,0.065,0.067,0.067,0.067,0.066,0.066,0.069,0.067,0.067,750,,,,,,,
H,0.069,0.066,0.068,0.068,0.069,0.067,0.067,0.065,0.069,0.067,0.066,0.069,750,,,,,,,
