,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.777,0.55,0.786,0.389,0.682,0.496,1.581,0.495,0.697,0.363,1.191,0.525,663
B,0.854,0.537,0.782,0.377,0.637,0.496,1.703,0.511,0.777,0.385,1.209,0.506,663
C,0.845,0.544,0.78,0.379,0.659,0.471,1.69,0.484,0.746,0.368,1.182,0.51,663
D,0.728,0.586,0.89,0.944,0.449,0.23,0.763,0.231,0.247,0.296,0.871,0.537,663
E,0.694,0.568,0.93,0.974,0.44,0.234,0.752,0.237,0.254,0.313,0.86,0.527,663
F,0.711,0.576,0.941,0.981,0.454,0.238,0.735,0.234,0.259,0.298,0.881,0.544,663
G,1.868,1.816,1.886,1.009,1.05,1.04,0.618,0.63,0.638,0.398,0.419,0.416,663
H,1.15,1.156,1.168,0.55,0.569,0.565,0.33,0.33,0.331,1.366,1.275,1.312,663
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.291,0.219,0.29,0.171,0.268,0.201,0.442,0.191,0.228,0.155,0.361,0.2,630
B,0.306,0.207,0.282,0.161,0.247,0.194,0.467,0.188,0.24,0.157,0.361,0.189,630
C,0.299,0.207,0.276,0.158,0.252,0.181,0.463,0.177,0.231,0.151,0.346,0.185,630
D,0.217,0.218,0.276,0.276,0.179,0.12,0.235,0.115,0.118,0.127,0.248,0.182,630
E,0.208,0.213,0.286,0.281,0.177,0.12,0.232,0.119,0.117,0.138,0.247,0.178,630
F,0.211,0.216,0.285,0.283,0.181,0.12,0.228,0.117,0.122,0.128,0.25,0.183,630
G,0.55,0.537,0.556,0.291,0.301,0.3,0.192,0.193,0.195,0.16,0.168,0.165,630
H,0.373,0.37,0.374,0.173,0.178,0.176,0.143,0.139,0.144,0.388,0.366,0.378,630
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.078,0.08,0.077,0.078,0.078,0.076,0.074,0.075,0.073,0.072,0.077,0.078,750
B,0.072,0.069,0.07,0.068,0.068,0.069,0.069,0.07,0.069,0.071,0.073,0.071,750
C,0.07,0.069,0.065,0.066,0.067,0.065,0.068,0.066,0.066,0.067,0.064,0.067,750
D,0.067,0.065,0.067,0.068,0.065,0.066,0.066,0.064,0.063,0.065,0.065,0.066,750
E,0.066,0.063,0.069,0.065,0.065,0.064,0.065,0.066,0.062,0.071,0.066,0.065,750
F,0.065,0.064,0.064,0.065,0.065,0.063,0.065,0.065,0.066,0.066,0.066,0.067,750
G,0.066,0.066,0.065,0.063,0.065,0.065,0.065,0.063,0.064,0.066,0.065,0.066,750
H,0.069,0.066,0.067,0.065,0.065,0.064,0.065,0.064,0.067,0.065,0.064,0.067,750
