,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.537,1.101,1.286,1.638,0.841,0.578,0.348,0.878,2.003,2.119,0.665,0.603,663
B,0.541,1.095,1.298,1.667,0.881,0.58,0.345,0.887,2.013,2.156,0.666,0.602,663
C,0.548,1.094,1.297,1.655,0.868,0.57,0.347,0.883,2.015,2.112,0.656,0.6,663
D,0.594,0.486,0.814,1.62,0.57,0.379,1.696,1.512,1.941,1.36,1.171,1.647,663
E,0.624,0.504,0.839,1.667,0.588,0.352,1.698,1.543,1.999,1.438,1.179,1.693,663
F,0.626,0.505,0.822,1.666,0.593,0.353,1.731,1.562,1.969,1.404,1.182,1.682,663
G,0.63,0.631,0.628,0.332,0.338,0.35,0.816,0.848,0.85,0.079,0.08,0.106,663
H,0.994,1.005,1.008,0.799,0.833,0.845,1.405,1.443,1.417,0.077,0.078,0.083,663
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.195,0.341,0.42,0.473,0.233,0.203,0.166,0.303,0.574,0.571,0.253,0.235,630
B,0.19,0.332,0.419,0.475,0.231,0.196,0.158,0.299,0.571,0.58,0.249,0.227,630
C,0.187,0.328,0.411,0.468,0.229,0.188,0.161,0.293,0.569,0.565,0.239,0.223,630
D,0.218,0.171,0.266,0.485,0.201,0.156,0.504,0.442,0.515,0.393,0.389,0.475,630
E,0.223,0.175,0.27,0.494,0.206,0.148,0.503,0.45,0.529,0.416,0.392,0.486,630
F,0.224,0.176,0.266,0.494,0.207,0.147,0.512,0.455,0.524,0.406,0.392,0.486,630
G,0.211,0.214,0.21,0.141,0.144,0.147,0.277,0.285,0.284,0.083,0.085,0.105,630
H,0.312,0.311,0.313,0.273,0.285,0.285,0.42,0.43,0.426,0.083,0.083,0.087,630
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.077,0.079,0.077,0.078,0.077,0.077,0.074,0.076,0.074,0.073,0.076,0.079,750
B,0.071,0.07,0.072,0.07,0.067,0.069,0.068,0.071,0.071,0.072,0.073,0.072,750
C,0.069,0.068,0.065,0.066,0.067,0.064,0.07,0.066,0.067,0.067,0.065,0.068,750
D,0.069,0.064,0.068,0.068,0.066,0.066,0.066,0.065,0.064,0.065,0.066,0.066,750
E,0.066,0.063,0.066,0.065,0.066,0.065,0.065,0.066,0.062,0.068,0.066,0.065,750
F,0.065,0.064,0.066,0.065,0.066,0.063,0.065,0.066,0.064,0.066,0.067,0.069,750
G,0.065,0.065,0.064,0.063,0.065,0.065,0.065,0.064,0.064,0.068,0.067,0.085,750
H,0.068,0.064,0.067,0.067,0.068,0.065,0.065,0.066,0.067,0.067,0.067,0.069,750
