sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
C42.2/C1/C42a-C1b-C3-C1j-C1au-C1az,1585933,-0.4584491995865306,-0.11477429911003448,-0.058614369132649266,-0.07194401455605048,0.07528319041346111,0.0034231614561574535,-0.013141718301747369,-0.043723287975112005,-0.011052569580515934,-0.06694460082441432,0.03590177165884005,0.004681192035871657,-0.002824362485067781,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C3-C1j-C1au-C115k,1585934,-0.4623863476185235,-0.1426058925514965,-0.07870058425898507,0.025319505537207403,-0.005222659411040836,-0.011735881655096083,0.008530326656187184,0.02682297368269808,0.006851876691451377,0.01664201294382037,0.013098872887694804,-0.0009546209942151134,0.001037554259055391,0.0,0.0,0.0,0.0,0.0
C15/C42.2/C42a-C1-C1b-C1au,1587213,-0.024471837433508743,-0.25742043895354105,-0.01861754514536527,-0.01712517092996577,0.07163169400870116,-0.14105804227313112,0.006321926641437407,-0.014818538025307299,-0.007823504167835083,-0.010507046830442447,-0.0032278779858496325,0.0008812118098848905,-0.0005222337903377787,0.0,0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C1j-C1ci-C1au-C3,1588633,-0.45262774176788995,-0.1472148097358205,-0.07110191627075964,0.08267042985589233,-0.028812311286238807,0.07659465605003042,-0.025200494658241188,-0.07808570134535994,-0.02062165825695587,0.05540728484418085,0.026143221766981473,-0.0009331850154292063,0.0007073395558976307,0.0,0.0,0.0,0.0,0.0
C15-C15cc-C15ci-C15cl-C15n-C15ie,1586587,0.5262867549216419,-0.09287074370957996,-0.0025374127097934473,-0.02576805542517144,-0.006032879294516032,0.03134335152977882,0.10041684799022586,-0.02572423487627628,0.017979841368737867,-0.00238704021958391,0.0015036542671516744,-0.018015646324276338,-0.01063136318138675,0.0,0.0,0.0,0.0,0.0
C93a/C3/C3u,1589029,-0.032745812902234786,0.7037836485956964,-0.01842143192138694,-0.05561131378303181,-0.20728701964953114,-0.04049861651443149,-0.005200533116611749,-0.0356684889819519,-0.011723901082580234,-0.0017068686021897794,0.0004694657225513186,0.0010829233743023558,-0.0006964785049093945,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15n-C15cf-C15ce-C15ck-C15hd,1585960,0.5278513672700089,-0.09371181966596837,-0.002610602552830756,-0.026860900556084297,-0.006397256902631206,0.03161266864712297,0.01000405907603929,0.025607084299155973,-0.07341517919691536,0.0018491661244304837,-0.001466685949241937,0.03874889355701404,0.023116426845886315,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15ip-C15cf-C15l-C15ce,1588394,0.5252191650858586,-0.09226193433749931,-0.00247284793630977,-0.0246210461927523,-0.005518745816366571,0.017707806957451482,-0.0593903068123186,0.04234552060604626,-0.08456843019899395,-0.00019184315102456595,0.0015702613496626264,-0.03939765215406968,-0.0032856454329651297,0.0,0.0,0.0,0.0,0.0
C1/C42a/C42.2/C1b/C1j-C1au-C3-C115l,1586603,-0.46009965673801884,-0.12704928770974722,-0.07437049229773393,0.021950943164080302,0.022207212190838734,0.018536802490051046,-0.01358146615614923,-0.05325607898975543,-0.015386586144272449,-0.009038575036321848,-0.06858059391819557,-0.001643301893924696,0.0005828901899410978,0.0,0.0,0.0,0.0,0.0
C42a/C42aw/C1-C42.2-C1b-C1j-C1au-C3,1586098,-0.4344240688206625,-0.1472492706243039,-0.08463948564996399,0.13728417567783915,-0.16910570021793425,0.05037827664227543,0.010285218487328366,0.07092539662039578,0.023919809330748682,-0.04641402873953908,-0.0025237732324346384,-0.0007361548818751477,0.0005249592849954927,0.0,0.0,0.0,0.0,0.0
C42a/C42.2/C1-C1au-C1b-C3-C115k,1586361,-0.4578313173500831,-0.1275673725319015,-0.06839582926299831,-0.018746036281036032,-0.02759406416974785,-0.0897507396512941,0.026128780839360405,0.05666827595421654,0.010800208200410484,0.05055817336168669,0.0019021531021537793,0.0007404345961577013,-0.0008184201986401016,0.0,0.0,0.0,0.0,0.0
C1/C93a,1587514,-0.18823160262763947,0.5357397650636775,-0.03663278180175717,0.16273391699754144,0.21834076148517126,0.0538777324332398,0.00749477192153536,0.04092709068896468,0.01263206678467535,0.005053737262641655,-0.0018811454549039865,-0.000748725093261765,0.0004334211981891361,0.0,0.0,0.0,0.0,0.0
C1/C3/C42.2,1586365,-0.3750280429111653,0.20819637552778988,0.030341815686720217,-0.34551058578461036,0.06283551664508265,0.026803863201599887,0.0018395970248791292,0.02618145594775912,0.009572225699117875,0.0036362493386446694,-0.0035590052667219007,-0.001965335251399545,0.0013194129798972797,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15cj-C15n-C15ie-C15cf,1586753,0.5305575622734803,-0.0951707609489099,-0.0027387376894295362,-0.0288083638992389,-0.007070473827972964,0.03549833833606272,-0.008632404037316485,0.010165193090077148,0.01005855246831414,0.008906437394975509,-0.004573734432366687,0.02518380519389158,-0.03978476417000758,0.0,0.0,0.0,0.0,0.0
C15/C93a,1587534,0.48296518124415444,0.22521742618712864,-0.050637661119024804,0.163190384315494,0.036868346011340015,-0.09011141102479854,0.0001674617918302432,-0.02323463060231283,-0.008716719289257081,-0.010364269347463734,0.005579055900269406,0.0011615698782868002,-0.0006754788032237106,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15cj-C15ch-C15cm,1585391,0.5217859220732555,-0.09036669189373968,-0.0022913029222308614,-0.02164893413751211,-0.004338470388445737,-0.002022099621166033,-0.10823101872347189,-0.0010709182938499846,0.09653459478356684,0.004016116136916139,-0.000316200019864455,0.000954435825229105,0.009863375444642391,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15cc-C15n-C15cl-C15cj,1585393,0.5284822182694807,-0.09405034877823276,-0.0026397144413609595,-0.027305249378954052,-0.006552226177647225,0.03336513389213921,0.06212958506900628,-0.0214648168397274,0.04600798032997872,0.002322342772088491,-0.00016879620640128937,-0.009280334128078813,0.02181158869152047,0.0,0.0,0.0,0.0,0.0
C42dh/C1-C42.2-C1b-C42dz,1587322,-0.2968525433816235,-0.05062354482351789,0.5450808994258608,0.07080031537635251,-0.013234913612523255,-0.003965000895989721,5.9366308027033554e-05,-0.002596294959663992,-0.0010486077396795568,-0.000837247428419811,0.0001293558106648602,0.00024048946588033556,-0.00015822188348818553,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.6340487983448112,0.2061922926927785,0.06237479589082986,0.040485346755902256,0.02568807705980249,0.010234271587620369,0.0058400392348323905,0.005195600858057057,0.004928628026734513,0.002420802404292887,0.0012938461500730644,0.0007704992742263865,0.0005270017200389911,0.0,0.0,0.0,0.0,0.0
