sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
C42.2/C1/C42a-C1b-C3-C1j-C1au-C1az,1585933,-0.4452675654117376,-0.10859194364499603,0.016974423244799742,-0.032948709834579266,-0.0008043466990747719,0.024719853587246578,0.010969831764115003,-0.030325841049118972,0.07454507585106078,0.03812141947238361,-0.01895805782308356,0.045134131267686464,-0.023812704971536272,0.006055367938173244,-0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C3-C1j-C1au-C115k,1585934,-0.4467609449890161,-0.126399948643382,0.0664658638237178,-0.024358797421196975,-0.003298609348571416,0.0038052901129002155,-0.004230936830248733,0.008489678292084895,-0.03310554985198415,-0.009425730694640262,0.016802232626088928,-0.019047387024512773,-0.013144398785251626,0.01950819624447005,-0.0,0.0,0.0,0.0
C15/C42.2/C42a-C1-C1b-C1au,1587213,-0.12405999393866986,-0.2452798849644352,0.07534532799153058,0.09645750425820758,0.006242852579596083,0.04550126754600244,0.03268570851749823,-0.1351902265777438,0.004989793408749132,0.008221043778961695,-0.00854720841040712,0.010034326828921117,0.0022428247999264957,-0.003922181876938613,-0.0,0.0,0.0,0.0
C42a/C1/C42.2/C1b/C1j-C1ci-C1au-C3,1588633,-0.43798298611061587,-0.13201354993564574,0.09713719651594412,-0.019080219430303226,-0.006880905236625804,0.005469276884721894,-0.013815476637213013,0.0806453312575116,0.04732052927505724,0.01776634713385599,0.032536896087703555,-0.049951340361399685,-0.03441619518991203,-0.010540292983067051,-0.0,0.0,0.0,0.0
C15-C15cc-C15ci-C15cl-C15n-C15ie,1586587,0.5230621625428324,-0.11906905866837977,-0.03829125888699942,-0.038067898361467525,-0.18146820451103357,0.012416420696420363,-0.1166385963811163,-0.02444598171394907,0.024353937688025254,-0.043205372023002515,0.01677742138349148,0.008758685961001083,0.00013750263278251612,-0.003027581352030763,-0.0,0.0,0.0,0.0
C93a/C3/C3u,1589029,-0.003608192134025446,0.6653910322927227,0.047743559558564394,-0.21716450258712275,0.01835536946984503,-0.16615832560855515,-0.0285771766819375,-0.009285002759963717,0.0045714254051039335,0.006491548624602818,0.002886047572246416,-0.0019836017613588295,3.712264585072932e-05,0.0004977945744107593,-0.0,0.0,0.0,0.0
C15-C15ci-C15n-C15cf-C15ce-C15ck-C15hd,1585960,0.5236987031340914,-0.12126714892234253,-0.0394926908171779,-0.03713937852401018,0.12216088441594934,0.047977842047163016,-0.13607346399302336,0.018607825982423623,-0.03996154571616641,0.08277395374520513,-0.04149949971006806,-0.01592408847585182,-0.00067165531759852,-0.0011044532526201668,-0.0,0.0,0.0,0.0
C15-C15ci-C15ip-C15cf-C15l-C15ce,1588394,0.5118131741094956,-0.10927429932885095,-0.016139679073933915,-0.013278729269795269,0.2497237152137917,0.02916314561847123,-0.020669024698490943,0.003671097716523101,0.03841452700858008,-0.08082726464847739,0.009067544456214832,-0.010467689637269321,0.0005763351345937983,0.002102396536247071,-0.0,0.0,0.0,0.0
C1/C42a/C42.2/C1b/C1j-C1au-C3-C115l,1586603,-0.44290002543926293,-0.1197955768542847,0.07677611171366859,-0.03209812241659354,-0.004291223371601728,0.00873756969061404,-0.005514180661502366,0.031538161435380505,0.03957927643173889,0.020255160546312594,0.011683375709175502,-0.012711705538531964,0.07056000771796059,0.00042384605571367984,-0.0,0.0,0.0,0.0
C42a/C42aw/C1-C42.2-C1b-C1j-C1au-C3,1586098,-0.4276007918228618,-0.1286074807255524,0.1477451954404246,-0.06696055454335754,-0.004996301585313013,-0.01467354546443052,-0.019271848853148633,0.08402122168192463,-0.04514878737621201,-0.048775845596474944,-0.054206611791720455,0.052611182110785096,-0.0011969784567894912,-0.005823446706919348,-0.0,0.0,0.0,0.0
C42a/C42.2/C1-C1au-C1b-C3-C115k,1586361,-0.44233940913897174,-0.10521132202501596,0.025744296657429794,-0.038245854798275615,0.0033104124262466946,-0.010491528205597189,0.006935415081173651,-0.08817281513032298,-0.08687341360772632,-0.014728762934489246,0.027370372557317738,-0.027366754365632222,-0.0012378805701034159,-0.004732214667798694,-0.0,0.0,0.0,0.0
C1/C93a,1587514,-0.11788476976143611,0.5469706613133413,-0.0042011200715377905,0.22847846726881496,-0.03309096714000803,0.18877559693882107,0.003689081844576812,0.06940109010096675,-0.017374171614849394,-0.00852688612010492,0.0012920574687287972,-0.0029974953601797937,0.0010365132354892333,0.0009949909564428013,-0.0,0.0,0.0,0.0
C1/C3/C42.2,1586365,-0.3316268280480422,0.2196301077489515,-0.31474060548922483,-0.16647237204559026,0.006562588322371619,0.11499695530355662,0.056268034212999966,-0.053618494834411036,0.007609606892849549,-0.005426886175749125,-0.008201262320129618,0.004928744816882848,0.00022431530617802127,-0.003277019727552946,-0.0,0.0,0.0,0.0
C15-C15ci-C15cj-C15n-C15ie-C15cf,1586753,0.5415315894310192,-0.12803401495814812,-0.03822952794842761,-0.03795959747380508,-0.013588512524574138,0.009099825134084343,0.013081307701516482,0.049950920621244094,-0.029852352007793927,0.031706060634962084,0.076703164464001,0.05628032122193784,0.00031000064419998237,0.00045803299380948743,-0.0,0.0,0.0,0.0
C15/C93a,1587534,0.4251807582208307,0.3189079492643715,0.21690892066823736,0.17126099019708116,0.005341715120833604,-0.04568293300445392,0.005764153347717442,-0.08084334533131034,0.01333004893356252,0.009409900092767346,-0.0018825825346538228,0.007158441371358763,-0.0018142505077231618,-0.0010247509761176976,-0.0,0.0,0.0,0.0
