Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
1,6,1,0,533,212.421,184.513,556.047,582.645,184.457,212.421,-1.008871590315869,-0.041732685665987465,-0.9671389046498815
1,6,2,150,170,283.831,300.659,471.198,479.645,283.831,300.659,1.4050265573043943,0.35090320333479835,1.054123353969596
1,6,3,275,180,302.144,321.217,480.695,489.645,301.967,321.217,2.3174478732276436,0.46242180109472414,1.8550260721329195
1,6,4,530,220,323.479,354.535,490.695,501.645,323.479,354.535,2.9482773309884376,0.547823591086577,2.4004537399018604
1,6,5,730,180,357.877,383.999,502.695,511.645,357.754,383.999,2.914397425041559,0.5758706214681443,2.338526803573415
1,6,6,945,180,386.928,411.323,512.695,521.645,386.615,411.323,2.774446402653953,0.5658108965110179,2.2086355061429352
1,6,7,1190,201,413.535,438.331,522.695,532.695,413.535,438.331,2.5859350144239794,0.5531831177695788,2.0327518966544007
201,6,1,0,532,192.565,175.217,556.616,583.164,175.21,192.565,-0.37316189595021115,-0.041732685665987465,-0.3314292102842237
201,6,2,150,168,253.001,259.817,471.809,480.164,253.001,259.817,0.33740832831135875,0.35090320333479835,-0.013494875023439601
201,6,3,275,180,259.988,265.594,481.213,490.163,259.664,265.594,0.7149249086539208,0.46242180109472414,0.25250310755919664
201,6,4,530,220,266.703,278.034,491.213,502.163,266.352,278.034,1.0928707974685243,0.547823591086577,0.5450472063819474
201,6,5,730,180,279.458,290.792,503.213,512.164,279.17,290.792,1.310099177206857,0.5758706214681443,0.7342285557387128
201,6,6,945,180,292.149,304.032,513.214,522.163,292.149,304.032,1.3368451309151639,0.5658108965110179,0.771034234404146
201,6,7,1190,202,305.588,316.424,523.214,533.263,305.414,316.599,1.0931111293870888,0.5531831177695788,0.5399280116175099
28,6,1,0,531,145.356,125.522,556.615,583.116,125.522,145.356,-0.5818149685532417,-0.041732685665987465,-0.5400822828872542
28,6,2,150,168,190.436,198.14,471.805,480.148,190.436,198.153,0.5907794626990318,0.35090320333479835,0.23987625936423346
28,6,3,275,181,198.654,206.924,481.148,490.148,198.654,206.966,1.0112537362424412,0.46242180109472414,0.5488319351477171
28,6,4,530,221,207.963,221.876,491.149,502.149,207.951,221.876,1.308473366764204,0.547823591086577,0.7606497756776269
28,6,5,730,181,222.963,235.551,503.149,512.149,222.963,235.551,1.403478490459484,0.5758706214681443,0.8276078689913396
28,6,6,945,181,236.768,249.339,513.149,522.149,236.768,249.409,1.4258359185751077,0.5658108965110179,0.8600250220640898
28,6,7,1190,204,250.794,264.9,523.148,533.298,250.794,264.983,1.416483847678925,0.5531831177695788,0.8633007299093461
29,6,1,0,530,193.678,162.278,556.595,583.052,162.278,193.678,-0.8716589988958462,-0.041732685665987465,-0.8299263132298588
29,6,2,150,164,249.932,254.706,471.924,480.069,249.903,254.71,0.590209700318222,0.35090320333479835,0.2393064969834236
