"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Species","Phenotype","Run","Chamber","Chamber_Volume_mL","Surface_Area_cm2","Notes"
"1","1",1.23945689982278,0.00619350616115187,-0.374206502382016,200.122009661854,0.865250397440768,2023-09-15,"TCB","Montipora capitata","Susceptible",6,1,233,36.34458077,NA
"2","201",0.862600513336612,0.00213122529105799,-0.290408895767941,404.743936249179,0.57219161756867,2023-09-15,"TCB","Montipora capitata","Susceptible",6,2,240,17.54826342,NA
"3","28",0.755111975492449,0.00304213261704582,-0.29261280502304,248.217967639336,0.462499170469409,2023-09-15,"TCB","Porites compressa","Susceptible",6,3,237,25.82005955,NA
"4","29",1.75423539188765,0.00435909623292261,-0.516905638567276,402.430985266756,1.23732975332037,2023-09-15,"TCB","Porites compressa","Resistant",6,4,236,22.2816215,NA
"5","2",1.19557960821459,0.00589943142332017,-0.34472710015262,202.660141702558,0.850852508061967,2023-09-15,"TCB","Montipora capitata","Resistant",6,5,229,46.87715904,NA
"6","12",NA,NA,NA,NA,NA,2023-09-15,"TCB","Montipora capitata","Resistant",6,6,239,17.91342415,NA
"7","225",1.1353152688812,0.00413114047672249,-0.391417564755153,274.818848518539,0.743897704126049,2023-09-15,"TCB","Porites compressa","Susceptible",6,7,232,38.56473475,NA
"8","4",0.757229186441923,0.00242334794237981,-0.266649321730012,312.472333501684,0.490579864711911,2023-09-15,"TCB","Montipora capitata","Resistant",6,8,239,21.38646321,NA
"9","226",1.4260398955325,0.00571429276450116,-0.497965390283957,249.556673818233,0.928074505248546,2023-09-15,"TCB","Porites compressa","Resistant",6,9,232,43.99584863,NA
"10","202",0.568152269771458,0.00232432402285404,-0.28424344664961,244.437636140689,0.283908823121848,2023-09-15,"TCB","Montipora capitata","Resistant",6,10,237,18.32203385,NA
"11","20",1.82952187671247,0.00618771847575813,-0.442554364980373,295.669863436751,1.38696751173209,2023-09-16,"TCB","Montipora capitata","Resistant",7,1,237,23.44744167,NA
"12","43",1.97994622497597,0.00354783509250102,-0.278611131781957,558.071661549586,1.70133509319402,2023-09-16,"TCB","Porites compressa","Susceptible",7,2,236,26.11672915,NA
"13","207",0.540866493195667,0.00392983798383861,-0.215535172717971,137.630735775869,0.325331320477696,2023-09-16,"TCB","Montipora capitata","Susceptible",7,3,238,19.28311848,NA
"14","42",1.46958934596891,0.00523365294418458,-0.341244732627616,280.796102004023,1.12834461334129,2023-09-16,"TCB","Porites compressa","Resistant",7,4,234,25.26160325,NA
"15","205",1.31185572984827,0.00445099834967427,-0.336803408890883,294.732917603592,0.975052320957388,2023-09-16,"TCB","Montipora capitata","Susceptible",7,5,239,20.10097168,NA
"16","41",1.06266042398039,0.00279097476974361,-0.253972167521471,380.748846424724,0.808688256458918,2023-09-16,"TCB","Porites compressa","Susceptible",7,6,235,37.29585063,NA
"17","44",1.16120155887645,0.00267314248313556,-0.219261727777938,434.395684555645,0.94193983109851,2023-09-16,"TCB","Porites compressa","Resistant",7,7,238,18.08446534,NA
"18","3",0.998592638080726,0.00338286209577594,-0.22176075050612,295.19164831686,0.776831887574606,2023-09-16,"TCB","Montipora capitata","Susceptible",7,8,240,18.10783262,NA
"19","19",1.12392750116,0.00422112997319859,-0.292092503149586,266.26223506412,0.831834998010419,2023-09-16,"TCB","Montipora capitata","Susceptible",7,9,237,28.8298643,NA
"20","237",1.85946102036382,0.0035179925110882,-0.440711904769318,528.557412928842,1.4187491155945,2023-09-17,"TCB","Porites compressa","Susceptible",9,1,238,18.02522674,NA
"21","240",1.70402718182627,0.00421764884415365,-0.371279663510447,404.023010163194,1.33274751831583,2023-09-17,"TCB","Porites compressa","Resistant",10,1,239,19.14610369,NA
"22","203",1.58598293060267,0.00457739616437387,-0.320168425940553,346.481465368119,1.26581450466211,2023-09-17,"TCB","Montipora capitata","Susceptible",9,2,236,27.14426152,NA
"23","26",1.54999058015951,0.0046819724202357,-0.468797806052058,331.055042840573,1.08119277410745,2023-09-17,"TCB","Porites compressa","Susceptible",10,2,239,17.8285627,NA
"24","241",1.2956515299225,0.00235862782957263,-0.221046025223245,549.324278157637,1.07460550469926,2023-09-17,"TCB","Porites compressa","Susceptible",9,3,236,26.56099352,NA
