Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
247,1,1,0,310,86.28737820512819,71.03537820512818,81.1,96.55,70.91837820512822,86.7723782051282,-1.1251672369256558
247,1,2,220,287,-15.997095070422517,-13.43209507042252,2.745,17.05,-16.24409507042253,-13.381095070422532,0.20887930060943566
247,1,3,445,200,-13.864990000000006,-4.445989999999995,19.1,29.05,-13.94699,-4.445989999999995,0.6372078310039476
247,1,4,707,220,-3.3620500000000106,8.606950000000012,30.1,41.05,-3.3620500000000106,8.68195,1.1836752241252253
247,1,5,1013,200,10.640545000000003,26.355545000000006,42.1,52.05,10.640545000000003,26.355545000000006,1.578544284684343
247,1,6,1284,200,28.767020000000002,46.52402000000001,53.1,63.05,28.537020000000012,46.692020000000014,1.9046378908447872
247,1,7,1570,320,49.48786249999998,83.5218625,64.1,80.05,49.48786249999998,83.5218625,2.2018750450152855
243,2,1,0,300,79.18420666666665,62.83420666666669,197.1,212.05,62.64020666666667,80.1052066666667,-1.3673766125233908
243,2,2,220,318,-15.817066455696192,-18.694066455696202,120.196,136.05,-18.744066455696213,-15.817066455696192,-0.14673344789527373
243,2,3,445,200,-17.700424999999996,-14.123424999999997,137.1,147.05,-17.728425000000016,-14.123424999999997,0.37556342300233725
243,2,4,707,200,-12.74353499999998,-2.515535,148.1,158.05,-12.74353499999998,-2.515535,1.080754557980358
243,2,5,1013,200,-0.013039999999989504,15.359960000000001,159.1,169.05,-0.06103999999999132,15.359960000000001,1.6036602254428325
243,2,6,1284,200,18.573295,37.788295000000005,170.1,180.05,18.573295,37.989295,1.9840827195593043
243,2,7,1570,300,41.864870000000025,74.53087000000002,181.1,196.05,41.848870000000005,74.53087000000002,2.23905190981806
225,3,1,0,301,53.279465116279056,44.94346511627907,303.083,318.083,44.94346511627907,53.96746511627907,-0.7193687467272024
225,3,2,220,328,-17.396492211837995,-16.15749221183799,224.728,241.084,-18.575492211837997,-16.15749221183799,0.1801258764231527
225,3,3,445,201,-15.303940298507456,-9.529940298507455,242.083,252.084,-15.369940298507458,-9.529940298507455,0.5750498717385417
225,3,4,707,221,-8.294095022624418,3.579904977375577,253.084,264.084,-8.294095022624418,3.579904977375577,1.1940885962463683
