Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,2,1,0,300,1.00720666666669,-0.983793333333324,197.117,212.067,-1.013793333333325,1.1282066666666708,-0.1320528074805937
blank,2,2,220,316,0.8599335443038001,-0.5960664556962172,120.321,136.067,-0.708066455696212,0.8799335443037819,-0.08147163495568953
blank,2,3,445,200,0.3495749999999873,-0.368425000000002,137.116,147.066,-0.4894250000000113,0.4655750000000012,-0.08802086592231989
blank,2,4,707,200,0.48746500000001447,-0.5575350000000014,148.117,158.066,-0.6275349999999946,0.6204650000000242,-0.10665349818672741
blank,2,5,1013,200,0.5839599999999905,-0.5650400000000104,159.117,169.066,-0.6910399999999868,0.6679599999999937,-0.11056609241032368
blank,2,6,1284,200,0.6372949999999946,-0.7187049999999999,170.116,180.067,-0.7187049999999999,0.6862950000000012,-0.1296490381997851
blank,2,7,1570,300,0.8318700000000092,-1.02512999999999,181.117,196.067,-1.1111299999999744,1.0378700000000265,-0.13915693281795477
