Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,4,1,0,300,-0.47229666666666503,-0.28429666666664843,412.138,427.088,-0.529296666666653,0.4737033333333329,-0.017642270154922427
blank,4,2,220,309,0.808572815533978,-0.5144271844660295,333.692,349.088,-0.5834271844660179,0.8125728155339687,-0.07082470403323413
blank,4,3,445,200,0.4291650000000118,-0.3948350000000005,350.138,360.088,-0.6118350000000135,0.5421650000000113,-0.07297991608594324
blank,4,4,707,200,0.5316400000000101,-0.5163599999999917,361.138,371.088,-0.5753599999999892,0.6886400000000208,-0.1092100069768229
blank,4,5,1013,220,0.34719999999998663,-0.5518000000000143,372.138,383.088,-0.6188000000000216,0.7361999999999966,-0.09069484493676769
blank,4,6,1284,200,0.3915800000000047,-0.5734199999999987,384.138,394.088,-0.6324199999999962,0.6465800000000002,-0.0946875479334998
blank,4,7,1570,320,0.5794999999999959,-0.8675000000000068,395.138,411.088,-0.92349999999999,1.0415000000000134,-0.08398879385760262
