"","Colony_ID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Date","Project","Timepoint","Run.y","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Chamber_Volume_L","Slope_norm"
"1","247",1,1,0,310,86.2873782051282,71.0353782051282,81.1,96.55,70.9183782051282,86.7723782051282,-1.12516723692566,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,-1.34845584227402
"2","247",1,2,220,287,-15.9970950704225,-13.4320950704225,2.745,17.05,-16.2440950704225,-13.3810950704225,0.208879300609436,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,0.250331243208351
"3","247",1,3,445,200,-13.86499,-4.44598999999999,19.1,29.05,-13.94699,-4.44598999999999,0.637207831003948,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,0.763661253422014
"4","247",1,4,707,220,-3.36205000000001,8.60695000000001,30.1,41.05,-3.36205000000001,8.68195,1.18367522412523,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,1.41857469622726
"5","247",1,5,1013,200,10.640545,26.355545,42.1,52.05,10.640545,26.355545,1.57854428468434,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,1.89180522958252
"6","247",1,6,1284,200,28.76702,46.52402,53.1,63.05,28.53702,46.69202,1.90463789084479,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,2.2826118705195
"7","247",1,7,1570,320,49.4878625,83.5218625,64.1,80.05,49.4878625,83.5218625,2.20187504501529,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944,0.239475,2.63883551792792
"8","243",2,1,0,300,79.1842066666667,62.8342066666667,197.1,212.05,62.6402066666667,80.1052066666667,-1.36737661252339,2025-10-02,"CAREER - Phys","October_2025",2,1,"Porites compressa","Susceptible",240.826,NA,NA,NA,NA,318,3.7939,4.1396,0.3457,8.12364068678452,0.240826,-2.43215956577149
"9","243",2,2,220,318,-15.8170664556962,-18.6940664556962,120.196,136.05,-18.7440664556962,-15.8170664556962,-0.146733447895274,2025-10-02,"CAREER - Phys","October_2025",2,1,"Porites compressa","Susceptible",240.826,NA,NA,NA,NA,318,3.7939,4.1396,0.3457,8.12364068678452,0.240826,-0.260995511879152
"10","243",2,3,445,200,-17.700425,-14.123425,137.1,147.05,-17.728425,-14.123425,0.375563423002337,2025-10-02,"CAREER - Phys","October_2025",2,1,"Porites compressa","Susceptible",240.826,NA,NA,NA,NA,318,3.7939,4.1396,0.3457,8.12364068678452,0.240826,0.668016524082092
