"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Timepoint","Run","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2"
"1","247",3.73621003748182,0.00472648816812011,-1.13499946771571,790.483315431179,2.60121056976611,2025-10-02,"CAREER - Phys","October_2025",1,1,"Porites compressa","Susceptible",239.475,"remove start of 20% light, wrong temp probe",NA,NA,"Get blank chamber vols for Oct 2025",320,4.867,5.3772,0.5102,11.9892435012944
"2","243",6.47623728383191,0.00707244530771863,-2.19839450180436,915.699874944803,4.27784278202755,2025-10-02,"CAREER - Phys","October_2025",2,1,"Porites compressa","Susceptible",240.826,NA,NA,NA,NA,318,3.7939,4.1396,0.3457,8.12364068678452
"3","225",3.15810582220936,0.00655272676994058,-1.14480526425506,481.952923277159,2.0133005579543,2025-10-02,"CAREER - Phys","October_2025",3,1,"Porites compressa","Susceptible",233.248,NA,NA,NA,NA,306,3.4926,3.8635,0.3709,8.71581813922008
"4","204",2.12733303321956,0.00419847006553474,-0.749100297974919,506.692437962782,1.37823273524464,2025-10-02,"CAREER - Phys","October_2025",4,1,"Montipora capitata","Resistant",248.013,NA,NA,NA,NA,297,2.0119,2.3979,0.386,9.0706546285763
"5","238",3.03925709474324,0.00482017031632709,-1.33407912554109,630.528984515036,1.70517796920214,2025-10-02,"CAREER - Phys","October_2025",1,10,"Porites compressa","Resistant",241.271,NA,NA,NA,NA,313,3.7753,4.209,0.4337,10.1915619492579
"6","203",2.07580009325934,0.00404410740223676,-1.06706216410281,513.290050632986,1.00873792915653,2025-10-02,"CAREER - Phys","October_2025",2,10,"Montipora capitata","Susceptible",235.627,NA,NA,NA,NA,296,3.119,3.6,0.481,11.3030696278373
"7","241",2.87726272799622,0.00387763425692792,-1.40837327021361,742.014985775309,1.46888945778261,2025-10-02,"CAREER - Phys","October_2025",4,10,"Porites compressa","Susceptible",239.355,NA,NA,NA,NA,316,3.0255,3.3616,0.3361,7.89804927633289
"8","205",2.6063797400105,0.00711764934187497,-1.170315384591,366.185465849869,1.4360643554195,2025-10-02,"CAREER - Phys","October_2025",1,2,"Montipora capitata","Susceptible",245.266,NA,NA,NA,NA,298,3.0924,3.9459,0.8535,20.056486335466
"9","209",1.05062804196836,0.00190267923018396,-0.561571011804731,552.183481745783,0.489057030163633,2025-10-02,"CAREER - Phys","October_2025",2,2,"Montipora capitata","Susceptible",239.844,NA,NA,NA,NA,300,2.6935,3.2544,0.5609,13.1806481377421
"10","3",0.803070146060513,0.00197811306762233,-0.418890196791229,405.977878213906,0.384179949269284,2025-10-02,"CAREER - Phys","October_2025",3,2,"Montipora capitata","Susceptible",239.954,NA,NA,NA,NA,281,1.4843,2.1265,0.6422,15.0911253950044
"11","235",5.85213557903259,0.00851229645368813,-2.01692807017513,687.49198419858,3.83520750885747,2025-10-02,"CAREER - Phys","October_2025",4,2,"Porites compressa","Susceptible",237.818,NA,NA,NA,NA,310,3.2737,3.6328,0.3591,8.43852869720661
"12","237",4.75754245214875,0.00665257865765483,-1.61031207831175,715.142608148564,3.14723037383699,2025-10-02,"CAREER - Phys","October_2025",5,2,"Porites compressa","Susceptible",235.449,NA,NA,NA,NA,312,2.491,2.7665,0.2755,6.47400349785692
"13","236",2.97488874444198,0.00343925519861414,-1.07909784124063,864.980518351975,1.89579090320135,2025-10-02,"CAREER - Phys","October_2025",2,3,"Porites compressa","Resistant",228.604,NA,NA,NA,NA,311,7.2938,8.1209,0.827100000000001,19.436109956724
"14","201",1.2065290353606,0.0025811014405531,-0.567983119725794,467.447352670516,0.638545915634809,2025-10-02,"CAREER - Phys","October_2025",5,3,"Montipora capitata","Susceptible",240.06,NA,NA,NA,NA,294,3.8172,4.5268,0.7096,16.6749650892169
"15","214",2.3527854063931,0.00616115812746857,-1.24687677025902,381.873887622453,1.10590863613408,2025-10-02,"CAREER - Phys","October_2025",1,4,"Montipora capitata","Resistant",242.347,NA,NA,NA,NA,304,3.5887,3.9145,0.3258,7.65600849220249
