sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
256528	HB60	HB60_S182_L001_R1_001.fastq.gz	d9d6845d53ee2a851ca6c107e571c6d8f8553241cca789f5ce4b63150036a55a	HB60_S182_L001_R2_001.fastq.gz	1429609bef58ffa6274c29415c8ddde3d5321ad1eb15f11a38b42c8f54e70efd	1340	20251021T032609_martyma1	123584	107015	2221	106828	2203	0	0	187	18	96106	23	0	0	1648	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1
256512	HB103	HB103_S255_L001_R1_001.fastq.gz	9fa957cb69e720f271cd9d2e0c75a82bcb6c39ae651851633d8e411c1c65af07	HB103_S255_L001_R2_001.fastq.gz	010ddbd01a46faf68f225f06d3ab6fcf03ffd3ea4d6e2f5ca332d0530b73f463	1340	20251021T032609_martyma1	141014	118156	2489	117590	2465	0	0	566	24	105279	24	0	0	2478	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	6.1
256457	DL107	DL107_S246_L001_R1_001.fastq.gz	595223fb7a7da025127c03004b517e0c82c5cde15b39c6cbd08759aef77ef778	DL107_S246_L001_R2_001.fastq.gz	1739860b5a43c138d7f5cfdc61586fe57678b32b4fbb2dba779f089f2fe8b5c5	1340	20251021T032609_martyma1	158704	138422	2537	138167	2521	0	0	255	16	124981	26	0	0	1316	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6
256504	HB06	HB06_S124_L001_R1_001.fastq.gz	776b0e7386ff500fa0e2ef2ce1ca5509024153a1a78e67f650a71eed3fd05bad	HB06_S124_L001_R2_001.fastq.gz	5065b87fdade8a778c5aabdc2265b8727d28639e30916ea545a73c3e69f7ca90	1340	20251021T032609_martyma1	109606	93836	1952	93507	1930	0	0	329	22	84504	24	0	0	1355	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256464	DL55	DL55_S157_L001_R1_001.fastq.gz	307b1016f5a550e5359b1524c237e530180ce8a2d568cf1176b6e7633158d0f3	DL55_S157_L001_R2_001.fastq.gz	f00647dd4ee8c0c1fc9b250bf3b3214d439f5c801eea31b2c9bec55dcd39f076	1340	20251021T032609_martyma1	192366	165466	2941	165088	2920	0	0	378	21	150477	25	0	0	3424	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	2.6
256456	DL106	DL106_S253_L001_R1_001.fastq.gz	c640e67892a2e448a60f5d5c37412acfdfc428ffdc13b03e0b14703949ba287c	DL106_S253_L001_R2_001.fastq.gz	41db4b9adcd98cd32529894c1b6f455a62f0bc950859b3cba1b1996858e26ba6	1340	20251021T032609_martyma1	160914	138413	2504	138052	2481	0	0	361	23	125145	26	0	0	1387	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6
256505	HB07	HB07_S125_L001_R1_001.fastq.gz	a27b1d5e89252e6cbd21b8d7a474749f558364811cc08946091a04eb563b215c	HB07_S125_L001_R2_001.fastq.gz	7229b63f89e31705716f139af1b1656f40a380f4825da17ac101fc93cd179098	1340	20251021T032609_martyma1	162938	140547	3083	140404	3067	0	0	143	16	126615	24	0	0	2121	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256502	HB03	HB03_S130_L001_R1_001.fastq.gz	5ce73b1e5b081acb6b92925b7b0b7b9b13e2b7c72077425d6638acbeb4f69d46	HB03_S130_L001_R2_001.fastq.gz	ca2262aca5c64acd34a08fef1290830e1ba28ff6c6ef3e29015e486e2306631d	1340	20251021T032609_martyma1	126465	108600	2286	108342	2266	0	0	258	20	97196	26	0	0	2206	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1
256519	HB51	HB51_S173_L001_R1_001.fastq.gz	21b93eb3d4dc22ba97d35738e0ad3bd698925726b95c4d8e3a1497af540f6ab8	HB51_S173_L001_R2_001.fastq.gz	504d5a7cde82e39a2adde3b26992a3329def9a5d5fc2d29514d2d31250f9a03d	1340	20251021T032609_martyma1	232119	204076	3549	203897	3534	0	0	179	15	182309	24	0	0	3606	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1
256595	SL08	SL08_S154_L001_R1_001.fastq.gz	b89beb3ebcdb5551334a027d811ab054d4fcd6bf77710a11f50089d36aaebae2	SL08_S154_L001_R2_001.fastq.gz	36d25db36fc544b18220c34be1d2220e9dce325622fa02b81ffcee1178ff132d	1340	20251021T032609_martyma1	119386	101123	2118	100813	2097	0	0	310	21	92156	24	0	0	586	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	1.3
