sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1gr	A2r	A1gd	A2q	A1bf	A1oa	A1fi	737032_A	B14a	C1	C42.2	C1b	C42a	C15	C1au	C1j	C3	C115k	C1hr	C1kz	C115x	C1fi	C3cg	C3.12	C41p	C42do	21705_C	C42ao	C3eq	C45e	C1ci	C15ci	C115l	C1ef	C45c	21933_C	90687_C	33774_C	C1h	C42aw	C1ro	43268_C	C15ch	C15cf	C15n	C15cj	C15ie	C15ce	C42dh	21719_C	C42bt	C15cl	C15l	C15ip	452754_C	19656_C	52544_C	C115d	C1az	C78b	C15cc	48996_C	C15cm	C15ck	C93a	C3dc	C15il	C15qa	C15ry	C15jl	70133_C	C15in	43280_C	C15i	C15io	14093_C	C23a	281_C	C15qg	C1fh	48819_C	C15hd	C93l	C15qd	70891_C	C15my	70886_C	70898_C	19017_C	43281_C	C15qf	453581_C	C15qc	270451_C	C15kk	C15qe	C93b	C15bp	3448131_C	C15dn	C116bt	354638_C	70940_C	70896_C	70894_C	411_C	46177_C	C15sd	C15sj	57694_C	43315_C	C1lu	C15ui	107772_C	21844_C	452760_C	26204_C	C1w	91839_C	453336_C	C1mb	43279_C	C1kf	C3u	C42av	C116bu	70895_C	22188_C	52535_C	28316_C	C116	C1t	C15aj	22184_C	452856_C	C42at	C15bo	70887_C	63457_C	23865_C	43306_C	C3mk	463723_C	90526_C	70533_C	454642_C	33742_C	18555_C	C15eo	650299_C	C1li	C3cx	C1kg	604_C	483821_C	70888_C	14618_C	61484_C	139_C	C42dz	755970_C	277715_C	14297_C	C15bc	206_C	91076_C	452851_C	93837_C	C116ak	1180449_C	28411_C	650183_C	8440_C	43299_C	650261_C	8728_C	C3.2	6177213_C	38366_C	6177214_C	102_C	54834_C	8196_C	58198_C	70960_C	C15yq	90777_C	92728_C	16044_C	70892_C	96008_C	452755_C	C15qi	C3zg	C3gk	C15gr	70900_C	773_C	650239_C	1098762_C	C42cz	5689_C	1180313_C	D1h	D6	69355_D	D1	D1ke	6177215_D	13914_D	476435_D	1204868_D	6177216_D	G3a	G3ac	G3ai	G3bi	G3fb	73495_G	481260_G	G3bg	G3dq	6177211_G	481262_G	484567_G	483646_G	484565_G	589688_G	481261_G	482926_G	481662_G	70451_G	482720_G	682711_G	G3x	671887_G	518643_G	589692_G	2177526_G	682709_G	589767_G	2177880_G	1236401_G	G3cm	6177212_G	482925_G	6177210_G	589699_G	589653_G	G3ax
256528	HB60	HB60_S182_L001_R1_001.fastq.gz	d9d6845d53ee2a851ca6c107e571c6d8f8553241cca789f5ce4b63150036a55a	HB60_S182_L001_R2_001.fastq.gz	1429609bef58ffa6274c29415c8ddde3d5321ad1eb15f11a38b42c8f54e70efd	1340	20251021T032609_martyma1	1.2859134705429422	1.1135100826171103	0.023109899485984225	1.1115643144028469	0.02292260628888935	0.0	0.0	0.0019457682142634174	0.0001872931970948744	1.0	0.00023931908517678396	0	0	0.01714773271179739	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1	0	0	0	0	0	0	0	0	0	0	0.2757788275445862	0.20267204961188687	0.11076311572638545	0.07923542754874825	0	0.06750879237508585	0.06767527521694795	0.03686554429484111	0.022194243855742618	0.008688323309678897	0.015638981957422013	0.010311531017834474	0.008396978336420202	0.008584271533515077	0.011476910910869248	0.006211891036980001	0.009062909703868645	0.006139054793665328	0.009218987368114374	0	0.017865689967327743	0.008459409402118494	0	0.006243106569829147	0	0	0.004859217946850352	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00614945997128171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256512	HB103	HB103_S255_L001_R1_001.fastq.gz	9fa957cb69e720f271cd9d2e0c75a82bcb6c39ae651851633d8e411c1c65af07	HB103_S255_L001_R2_001.fastq.gz	010ddbd01a46faf68f225f06d3ab6fcf03ffd3ea4d6e2f5ca332d0530b73f463	1340	20251021T032609_martyma1	1.3394314155719564	1.1223130918796722	0.023641941887745894	1.1169369009964	0.023413976196582413	0.0	0.0	0.005376190883272068	0.0002279656911634799	1.0	0.0002279656911634799	0	0	0.0235374576126293	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	6.1	0	0	0	0	0	0	0	0	0	0	0.2635758318373085	0.20552056915434228	0.09549862745656779	0.08730136114514765	0	0.07067886283114391	0.07162871987765841	0.03956154598732891	0.02614956449054417	0.010068484693053695	0.014618299945858148	0.012177167336315884	0.008795676250724267	0.0080642863249081	0.011303298853522544	0.006791477882578672	0.006686993607462077	0.0057561337018778675	0	0	0.017942799608658896	0.007342394969557082	0	0.006563512191415192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005461678017458373	0	0	0	0	0	0	0	0	0	0.0061930679432745375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063355465002517125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005984099393041347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256457	DL107	DL107_S246_L001_R1_001.fastq.gz	595223fb7a7da025127c03004b517e0c82c5cde15b39c6cbd08759aef77ef778	DL107_S246_L001_R2_001.fastq.gz	1739860b5a43c138d7f5cfdc61586fe57678b32b4fbb2dba779f089f2fe8b5c5	1340	20251021T032609_martyma1	1.269825013402037	1.1075443467407047	0.02029908546099007	1.1055040366135653	0.02017106600203231	0.0	0.0	0.002040310127139325	0.00012801945895776157	1.0	0.00020803162080636258	0	0	0.01052960049927589	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6	0	0	0	0	0	0	0	0	0	0	0.2716492906921852	0.20057448732207295	0.08743729046815116	0.10988070186668374	0	0.08168441603123675	0.05215992830910298	0.03266896568278378	0.020803162080636258	0.00980148982645362	0.009449436314319777	0.009417431449580337	0.009681471583680719	0.006432977812627519	0.013362031028716364	0.006288955921300038	0.007577151727062513	0	0.011577759819492562	0.007153087269264928	0.010097534825293445	0	0	0.007361118890071291	0	0.007153087269264928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005368816060041126	0.006144934029972556	0	0	0	0	0	0	0	0.005568846464662628	0	0	0	0	0	0	0.005544842816108049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005160784439234764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256504	HB06	HB06_S124_L001_R1_001.fastq.gz	776b0e7386ff500fa0e2ef2ce1ca5509024153a1a78e67f650a71eed3fd05bad	HB06_S124_L001_R2_001.fastq.gz	5065b87fdade8a778c5aabdc2265b8727d28639e30916ea545a73c3e69f7ca90	1340	20251021T032609_martyma1	1.2970510271703115	1.1104326422417874	0.023099498248603616	1.106539335416075	0.02283915554293288	0.0	0.0	0.003893306825712392	0.0002603427056707375	1.0	0.00028401022436807724	0	0	0.016034743917447695	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1	0	0	0	0	0	0	0	0	0	0	0.26584540376786897	0.20228628230616302	0.09200747893590835	0.08314399318375462	0	0.06961800624822494	0.08188961469279561	0.03814020638076304	0.02250781028117012	0.008863485752153745	0.013561488213575688	0.010875224841427625	0.008413802896904288	0.008046956357095522	0.009478841238284578	0.010248035595948122	0.008969989586291773	0.007952286282306162	0.007751112373378775	0	0.016070245195493705	0.01028353687399413	0	0.008780649436713054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008082457635141533	0	0	0	0	0	0	0	0	0	0.007123923127899271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.916879674334943e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256464	DL55	DL55_S157_L001_R1_001.fastq.gz	307b1016f5a550e5359b1524c237e530180ce8a2d568cf1176b6e7633158d0f3	DL55_S157_L001_R2_001.fastq.gz	f00647dd4ee8c0c1fc9b250bf3b3214d439f5c801eea31b2c9bec55dcd39f076	1340	20251021T032609_martyma1	1.2783747682370064	1.0996099071618919	0.019544515108621253	1.0970978953594237	0.01940495889737302	0.0	0.0	0.002512011802468151	0.00013955621124823062	1.0	0.00016613834672408407	0	0	0.022754307967330557	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	2.6	0	0	0	0	0	0	0	0	0	0	0.29510822251905605	0.17156110236115818	0.11339274440612186	0.07932773779381566	0	0.06920658971138446	0.0649733846368548	0.03815865547558763	0.02167773148055849	0.012752779494540694	0.009529695568093462	0	0.01120437010307223	0.010327159632369066	0.009895199930886448	0.015916053616167256	0.008439828013583471	0.0047714933179156946	0.008944888587624687	0	0.010107857014693276	0.010971776417658513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00584806980468776	0.0061338277610531846	0	0	0	0	0	0	0.004937631664639779	0	0	0	0	0	0	0	0.0046784558437502075	0	0	0	0	0	0	0	0	0	0.00517687088392246	0	0	0	0	0.006957873960804641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256456	DL106	DL106_S253_L001_R1_001.fastq.gz	c640e67892a2e448a60f5d5c37412acfdfc428ffdc13b03e0b14703949ba287c	DL106_S253_L001_R2_001.fastq.gz	41db4b9adcd98cd32529894c1b6f455a62f0bc950859b3cba1b1996858e26ba6	1340	20251021T032609_martyma1	1.2858204482799953	1.1060210156218786	0.02000878980382756	1.1031363618202885	0.01982500299652403	0.0	0.0	0.0028846538015901554	0.00018378680730352792	1.0	0.0002077589995605098	0	0	0.011083143553477965	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240901	2.6	0	0	0	0	0	0	0	0	0	0	0.2706860042350873	0.195557153701706	0.08380678413040872	0.11835870390347197	0	0.08098605617483719	0.047880458667945186	0.03314555116065364	0.02204642614567102	0.00929321986495665	0.009572895441288106	0.009868552479124215	0.00997243197890447	0.006440528986375804	0.014599065084501978	0.006592352870670023	0.006983898677534061	0	0.01160254105237924	0.006025010987254785	0.010499820208558072	0	0	0.007327500099884135	0	0.008054656598345918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005825242718446602	0.0056334651803907464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005657437372647729	0	0	0	0	0	0	0	0	0	0	0.008326341443925047	0	0	0	0.005257900835031364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256505	HB07	HB07_S125_L001_R1_001.fastq.gz	a27b1d5e89252e6cbd21b8d7a474749f558364811cc08946091a04eb563b215c	HB07_S125_L001_R2_001.fastq.gz	7229b63f89e31705716f139af1b1656f40a380f4825da17ac101fc93cd179098	1340	20251021T032609_martyma1	1.2868775421553529	1.1100343561189432	0.024349405678632075	1.1089049480709237	0.024223038344587923	0.0	0.0	0.001129408048019587	0.00012636733404414958	1.0	0.00018955100106622438	0	0	0.01675156971922758	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1	0	0	0	0	0	0	0	0	0	0	0.28370256288749357	0.20195869367768432	0.09614184733246456	0.067377482920665	0	0.0660190340796904	0.07783437981281839	0.037420526793823794	0.021087548868617464	0.009667101054377443	0.013157998657347075	0.010717529518619437	0.007147652331872211	0.007479366583738103	0.011096631520751885	0.009817162263554871	0.005402203530387395	0.007345101291316195	0.009572325553844331	0	0.01687003909489397	0.008972080717134621	0	0.00740038699996051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009406468427911385	0	0	0	0	0	0	0	0	0	0.006618489120562334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007787386960470718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256502	HB03	HB03_S130_L001_R1_001.fastq.gz	5ce73b1e5b081acb6b92925b7b0b7b9b13e2b7c72077425d6638acbeb4f69d46	HB03_S130_L001_R2_001.fastq.gz	ca2262aca5c64acd34a08fef1290830e1ba28ff6c6ef3e29015e486e2306631d	1340	20251021T032609_martyma1	1.3011337915140542	1.117329931272892	0.02351948639861723	1.1146755010494258	0.023313716613852422	0.0	0.0	0.0026544302234659863	0.00020576978476480513	1.0	0.0002675007201942467	0	0	0.02269640725955801	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	6.1	0	0	0	0	0	0	0	0	0	0	0.2801144080003292	0.20294045022428905	0.09556977653401375	0.07822338367834067	0	0.05902506275978436	0.07271904193588213	0.033766821679904524	0.025566895757027037	0.008868677723363102	0.018076875591588132	0.01122474175892012	0.007778097864109634	0.009403679163751595	0.008467426643071731	0.008508580600024693	0.009105312975842628	0.0068932877896209725	0	0.006605210090950245	0.018488415161117742	0.007541462611630108	0	0.005072225194452447	0	0	0.005257418000740771	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005679246059508622	0	0	0	0	0	0	0	0.004794435985019959	0.005442610807029096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004866455409687642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256519	HB51	HB51_S173_L001_R1_001.fastq.gz	21b93eb3d4dc22ba97d35738e0ad3bd698925726b95c4d8e3a1497af540f6ab8	HB51_S173_L001_R2_001.fastq.gz	504d5a7cde82e39a2adde3b26992a3329def9a5d5fc2d29514d2d31250f9a03d	1340	20251021T032609_martyma1	1.273217449495088	1.1193961899851352	0.019466948971252104	1.118414340487853	0.01938467108041841	0.0	0.0	0.000981849497282087	8.227789083369445e-05	1.0	0.0001316446253339111	0	0	0.019779604956420144	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20240501	6.1	0	0	0	0	0	0	0	0	0	0	0.26259811638481917	0.20452638103439763	0.09426852212452484	0.0827934989495856	0	0.07222353257381699	0.06927249888924847	0.039027146218782394	0.022582538437488	0.010015961910821736	0.015391450778623106	0.010756462928324986	0.008326522552369877	0.010306677125100791	0.011798649545551782	0.006845520517363378	0.011096544877104257	0.006878431673696855	0.009006686449928419	0	0.01835894004135835	0.008677574886593641	0	0.007042987455364244	0	0	0.005057347689911085	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007843825592812204	0	0	0	0	0	0	0	0	0	0.005304181362412169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256595	SL08	SL08_S154_L001_R1_001.fastq.gz	b89beb3ebcdb5551334a027d811ab054d4fcd6bf77710a11f50089d36aaebae2	SL08_S154_L001_R2_001.fastq.gz	36d25db36fc544b18220c34be1d2220e9dce325622fa02b81ffcee1178ff132d	1340	20251021T032609_martyma1	1.295477234254959	1.0973024002777898	0.022982768349320715	1.0939385389990885	0.02275489387560224	0.0	0.0	0.0033638612787013325	0.00022787447371847738	1.0	0.00026042796996397414	0	0	0.006358782933287035	0	0	0	0	0	0	coral_field	cnidaria	anthozoa	scleractinia	pocilloporidae	pocillopora	damicornis	23.57000000	151.55000000	20220901	1.3	0	0	0	0	0	0	0	0	0	0	0.2786687790268675	0.17326055818394895	0.10768696558010331	0.07263770128911845	0	0.07230131516124831	0.07879031207951734	0.03976952124658188	0.02339511263509701	0.01279352402448023	0.007259429662745779	0.010992230565562741	0.012750119362819567	0.008160076392204523	0.01131776552801771	0.009755197708233864	0.006011545640001737	0	0.007801987933504059	0.009093276617908763	0.013509700941881158	0.010710100264768437	0	0.011882026129606319	0	0.007834541429749556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006358782933287035	0	0	0	0	0	0	0	0	0	0.007259429662745779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
