Date,Run ,Well,A630,A663,A750
20240405,Run 2,A2,0.219,0.55,0.08
20240405,Run 2,B2,0.207,0.537,0.069
20240405,Run 2,C2,0.207,0.544,0.069
20240405,Run 2,D2,0.218,0.586,0.065
20240405,Run 2,E2,0.213,0.568,0.063
20240405,Run 2,F2,0.216,0.576,0.064
20240405,Run 2,G2,0.537,1.816,0.066
20240405,Run 2,H2,0.37,1.156,0.066
20240405,Run 2,A3,0.29,0.786,0.077
20240405,Run 2,B3,0.282,0.782,0.07
20240405,Run 2,C3,0.276,0.78,0.065
20240405,Run 2,D3,0.276,0.89,0.067
20240405,Run 2,E3,0.286,0.93,0.069
20240405,Run 2,F3,0.285,0.941,0.064
20240405,Run 2,G3,0.556,1.886,0.065
20240405,Run 2,H3,0.374,1.168,0.067
20240405,Run 2,A4,0.171,0.389,0.078
20240405,Run 2,B4,0.161,0.377,0.068
20240405,Run 2,C4,0.158,0.379,0.066
20240405,Run 2,D4,0.276,0.944,0.068
20240405,Run 2,E4,0.281,0.974,0.065
20240405,Run 2,F4,0.283,0.981,0.065
20240405,Run 2,G4,0.291,1.009,0.063
20240405,Run 2,H4,0.173,0.55,0.065
20240405,Run 2,A5,0.268,0.682,0.078
20240405,Run 2,B5,0.247,0.637,0.068
20240405,Run 2,C5,0.252,0.659,0.067
20240405,Run 2,D5,0.179,0.449,0.065
20240405,Run 2,E5,0.177,0.44,0.065
20240405,Run 2,F5,0.181,0.454,0.065
20240405,Run 2,G5,0.301,1.05,0.065
20240405,Run 2,H5,0.178,0.569,0.065
20240405,Run 2,A6,0.201,0.496,0.076
20240405,Run 2,B6,0.194,0.496,0.069
20240405,Run 2,C6,0.181,0.471,0.065
20240405,Run 2,D6,0.12,0.23,0.066
20240405,Run 2,E6,0.12,0.234,0.064
20240405,Run 2,F6,0.12,0.238,0.063
20240405,Run 2,G6,0.3,1.04,0.065
20240405,Run 2,H6,0.176,0.565,0.064
20240405,Run 2,A7,0.442,1.581,0.074
20240405,Run 2,B7,0.467,1.703,0.069
20240405,Run 2,C7,0.463,1.69,0.068
20240405,Run 2,D7,0.235,0.763,0.066
20240405,Run 2,E7,0.232,0.752,0.065
20240405,Run 2,F7,0.228,0.735,0.065
20240405,Run 2,G7,0.192,0.618,0.065
20240405,Run 2,H7,0.143,0.33,0.065
20240405,Run 2,A8,0.191,0.495,0.075
20240405,Run 2,B8,0.188,0.511,0.07
20240405,Run 2,C8,0.177,0.484,0.066
20240405,Run 2,D8,0.115,0.231,0.064
20240405,Run 2,E8,0.119,0.237,0.066
20240405,Run 2,F8,0.117,0.234,0.065
20240405,Run 2,G8,0.193,0.63,0.063
20240405,Run 2,H8,0.139,0.33,0.064
20240405,Run 2,A9,0.228,0.697,0.073
20240405,Run 2,B9,0.24,0.777,0.069
20240405,Run 2,C9,0.231,0.746,0.066
20240405,Run 2,D9,0.118,0.247,0.063
20240405,Run 2,E9,0.117,0.254,0.062
20240405,Run 2,F9,0.122,0.259,0.066
20240405,Run 2,G9,0.195,0.638,0.064
20240405,Run 2,H9,0.144,0.331,0.067
20240405,Run 2,A10,0.155,0.363,0.072
20240405,Run 2,B10,0.157,0.385,0.071
20240405,Run 2,C10,0.151,0.368,0.067
20240405,Run 2,D10,0.127,0.296,0.065
20240405,Run 2,E10,0.138,0.313,0.071
20240405,Run 2,F10,0.128,0.298,0.066
20240405,Run 2,G10,0.16,0.398,0.066
20240405,Run 2,H10,0.388,1.366,0.065
20240405,Run 2,A11,0.361,1.191,0.077
20240405,Run 2,B11,0.361,1.209,0.073
20240405,Run 2,C11,0.346,1.182,0.064
20240405,Run 2,D11,0.248,0.871,0.065
20240405,Run 2,E11,0.247,0.86,0.066
20240405,Run 2,F11,0.25,0.881,0.066
20240405,Run 2,G11,0.168,0.419,0.065
20240405,Run 2,H11,0.366,1.275,0.064
20240405,Run 2,A12,0.2,0.525,0.078
20240405,Run 2,B12,0.189,0.506,0.071
20240405,Run 2,C12,0.185,0.51,0.067
20240405,Run 2,D12,0.182,0.537,0.066
20240405,Run 2,E12,0.178,0.527,0.065
20240405,Run 2,F12,0.183,0.544,0.067
20240405,Run 2,G12,0.165,0.416,0.066
20240405,Run 2,H12,0.378,1.312,0.067
20240405,Run 3,A1,0.195,0.537,0.077
20240405,Run 3,B1,0.19,0.541,0.071
20240405,Run 3,C1,0.187,0.548,0.069
20240405,Run 3,D1,0.218,0.594,0.069
20240405,Run 3,E1,0.223,0.624,0.066
20240405,Run 3,F1,0.224,0.626,0.065
20240405,Run 3,G1,0.211,0.63,0.065
20240405,Run 3,H1,0.312,0.994,0.068
20240405,Run 3,A2,0.341,1.101,0.079
20240405,Run 3,B2,0.332,1.095,0.07
20240405,Run 3,C2,0.328,1.094,0.068
20240405,Run 3,D2,0.171,0.486,0.064
20240405,Run 3,E2,0.175,0.504,0.063
20240405,Run 3,F2,0.176,0.505,0.064
20240405,Run 3,G2,0.214,0.631,0.065
20240405,Run 3,H2,0.311,1.005,0.064
20240405,Run 3,A3,0.42,1.286,0.077
20240405,Run 3,B3,0.419,1.298,0.072
20240405,Run 3,C3,0.411,1.297,0.065
20240405,Run 3,D3,0.266,0.814,0.068
20240405,Run 3,E3,0.27,0.839,0.066
20240405,Run 3,F3,0.266,0.822,0.066
20240405,Run 3,G3,0.21,0.628,0.064
20240405,Run 3,H3,0.313,1.008,0.067
20240405,Run 3,A4,0.473,1.638,0.078
20240405,Run 3,B4,0.475,1.667,0.07
20240405,Run 3,C4,0.468,1.655,0.066
20240405,Run 3,D4,0.485,1.62,0.068
20240405,Run 3,E4,0.494,1.667,0.065
20240405,Run 3,F4,0.494,1.666,0.065
20240405,Run 3,G4,0.141,0.332,0.063
20240405,Run 3,H4,0.273,0.799,0.067
20240405,Run 3,A5,0.233,0.841,0.077
20240405,Run 3,B5,0.231,0.881,0.067
20240405,Run 3,C5,0.229,0.868,0.067
20240405,Run 3,D5,0.201,0.57,0.066
20240405,Run 3,E5,0.206,0.588,0.066
20240405,Run 3,F5,0.207,0.593,0.066
20240405,Run 3,G5,0.144,0.338,0.065
20240405,Run 3,H5,0.285,0.833,0.068
20240405,Run 3,A6,0.203,0.578,0.077
20240405,Run 3,B6,0.196,0.58,0.069
20240405,Run 3,C6,0.188,0.57,0.064
20240405,Run 3,D6,0.156,0.379,0.066
20240405,Run 3,E6,0.148,0.352,0.065
20240405,Run 3,F6,0.147,0.353,0.063
20240405,Run 3,G6,0.147,0.35,0.065
20240405,Run 3,H6,0.285,0.845,0.065
20240405,Run 3,A7,0.166,0.348,0.074
