Date,Run ,Well,ColonyID,Timepoint
20230810,Run 2,F12,248,April_2023
20230810,Run 2,G12,NA,NA
20230810,Run 2,H12,NA,NA
20240405,Run 1,A1,209,January_2024
20240405,Run 1,B1,209,January_2024
20240405,Run 1,C1,209,January_2024
20240405,Run 1,D1,235,September_2023
20240405,Run 1,E1,235,September_2023
20240405,Run 1,F1,235,September_2023
20240405,Run 1,G1,240,September_2023
20240405,Run 1,H1,3,January_2024
20240405,Run 1,A2,2,January_2024
20240405,Run 1,B2,2,January_2024
20240405,Run 1,C2,2,January_2024
20240405,Run 1,D2,19,January_2024
20240405,Run 1,E2,19,January_2024
20240405,Run 1,F2,19,January_2024
20240405,Run 1,G2,240,September_2023
20240405,Run 1,H2,3,January_2024
20240405,Run 1,A3,243,January_2024
20240405,Run 1,B3,243,January_2024
20240405,Run 1,C3,243,January_2024
20240405,Run 1,D3,219,September_2023
20240405,Run 1,E3,219,September_2023
20240405,Run 1,F3,219,September_2023
20240405,Run 1,G3,240,September_2023
20240405,Run 1,H3,3,January_2024
20240405,Run 1,A4,27,September_2023
20240405,Run 1,B4,27,September_2023
20240405,Run 1,C4,27,September_2023
20240405,Run 1,D4,239,January_2024
20240405,Run 1,E4,239,January_2024
20240405,Run 1,F4,239,January_2024
20240405,Run 1,G4,41,September_2023
20240405,Run 1,H4,247,September_2023
20240405,Run 1,A5,237,September_2023
20240405,Run 1,B5,237,September_2023
20240405,Run 1,C5,237,September_2023
20240405,Run 1,D5,28,January_2024
20240405,Run 1,E5,28,January_2024
20240405,Run 1,F5,28,January_2024
20240405,Run 1,G5,41,September_2023
20240405,Run 1,H5,247,September_2023
20240405,Run 1,A6,241,January_2024
20240405,Run 1,B6,241,January_2024
20240405,Run 1,C6,241,January_2024
20240405,Run 1,D6,3,September_2023
20240405,Run 1,E6,3,September_2023
20240405,Run 1,F6,3,September_2023
20240405,Run 1,G6,41,September_2023
20240405,Run 1,H6,247,September_2023
20240405,Run 1,A7,46,September_2023
20240405,Run 1,B7,46,September_2023
20240405,Run 1,C7,46,September_2023
20240405,Run 1,D7,247,January_2024
20240405,Run 1,E7,247,January_2024
20240405,Run 1,F7,247,January_2024
20240405,Run 1,G7,26,January_2024
20240405,Run 1,H7,211,September_2023
20240405,Run 1,A8,242,January_2024
20240405,Run 1,B8,242,January_2024
20240405,Run 1,C8,242,January_2024
20240405,Run 1,D8,202,January_2024
20240405,Run 1,E8,202,January_2024
20240405,Run 1,F8,202,January_2024
20240405,Run 1,G8,26,January_2024
20240405,Run 1,H8,211,September_2023
20240405,Run 1,A9,233,September_2023
20240405,Run 1,B9,233,September_2023
20240405,Run 1,C9,233,September_2023
20240405,Run 1,D9,226,January_2024
20240405,Run 1,E9,226,January_2024
20240405,Run 1,F9,226,January_2024
20240405,Run 1,G9,26,January_2024
20240405,Run 1,H9,211,September_2023
20240405,Run 1,A10,201,January_2024
20240405,Run 1,B10,201,January_2024
20240405,Run 1,C10,201,January_2024
20240405,Run 1,D10,29,September_2023
20240405,Run 1,E10,29,September_2023
20240405,Run 1,F10,29,September_2023
20240405,Run 1,G10,27,January_2024
20240405,Run 1,H10,204,September_2023
20240405,Run 1,A11,203,September_2023
20240405,Run 1,B11,203,September_2023
20240405,Run 1,C11,203,September_2023
20240405,Run 1,D11,205,September_2023
20240405,Run 1,E11,205,September_2023
20240405,Run 1,F11,205,September_2023
20240405,Run 1,G11,27,January_2024
20240405,Run 1,H11,204,September_2023
20240405,Run 1,A12,42,January_2024
20240405,Run 1,B12,42,January_2024
20240405,Run 1,C12,42,January_2024
20240405,Run 1,D12,45,January_2024
20240405,Run 1,E12,45,January_2024
20240405,Run 1,F12,45,January_2024
20240405,Run 1,G12,27,January_2024
20240405,Run 1,H12,204,September_2023
20240405,Run 2,A1,210,January_2024
20240405,Run 2,B1,210,January_2024
20240405,Run 2,C1,210,January_2024
20240405,Run 2,D1,239,September_2023
20240405,Run 2,E1,239,September_2023
20240405,Run 2,F1,239,September_2023
20240405,Run 2,G1,29,January_2024
20240405,Run 2,H1,20,January_2024
20240405,Run 2,A2,219,January_2024
20240405,Run 2,B2,219,January_2024
20240405,Run 2,C2,219,January_2024
20240405,Run 2,D2,220,January_2024
20240405,Run 2,E2,220,January_2024
20240405,Run 2,F2,220,January_2024
20240405,Run 2,G2,29,January_2024
20240405,Run 2,H2,20,January_2024
20240405,Run 2,A3,203,January_2024
20240405,Run 2,B3,203,January_2024
20240405,Run 2,C3,203,January_2024
20240405,Run 2,D3,28,September_2023
20240405,Run 2,E3,28,September_2023
20240405,Run 2,F3,28,September_2023
20240405,Run 2,G3,29,January_2024
20240405,Run 2,H3,20,January_2024
20240405,Run 2,A4,1,September_2023
20240405,Run 2,B4,1,September_2023
20240405,Run 2,C4,1,September_2023
20240405,Run 2,D4,238,September_2023
20240405,Run 2,E4,238,September_2023
20240405,Run 2,F4,238,September_2023
20240405,Run 2,G4,43,September_2023
20240405,Run 2,H4,42,September_2023
20240405,Run 2,A5,211,September_2023
20240405,Run 2,B5,211,September_2023
20240405,Run 2,C5,211,September_2023
20240405,Run 2,D5,2,September_2023
20240405,Run 2,E5,2,September_2023
20240405,Run 2,F5,2,September_2023
20240405,Run 2,G5,43,September_2023
20240405,Run 2,H5,42,September_2023
20240405,Run 2,A6,4,January_2024
20240405,Run 2,B6,4,January_2024
20240405,Run 2,C6,4,January_2024
20240405,Run 2,D6,4,September_2023
20240405,Run 2,E6,4,September_2023
20240405,Run 2,F6,4,September_2023
20240405,Run 2,G6,43,September_2023
20240405,Run 2,H6,42,September_2023
20240405,Run 2,A7,244,January_2024
20240405,Run 2,B7,244,January_2024
20240405,Run 2,C7,244,January_2024
20240405,Run 2,D7,243,September_2023
20240405,Run 2,E7,243,September_2023
20240405,Run 2,F7,243,September_2023
20240405,Run 2,G7,26,September_2023
20240405,Run 2,H7,206,September_2023
20240405,Run 2,A8,209,September_2023
20240405,Run 2,B8,209,September_2023
20240405,Run 2,C8,209,September_2023
20240405,Run 2,D8,212,September_2023
20240405,Run 2,E8,212,September_2023
20240405,Run 2,F8,212,September_2023
20240405,Run 2,G8,26,September_2023
20240405,Run 2,H8,206,September_2023
20240405,Run 2,A9,45,September_2023
20240405,Run 2,B9,45,September_2023
20240405,Run 2,C9,45,September_2023
20240405,Run 2,D9,214,September_2023
20240405,Run 2,E9,214,September_2023
20240405,Run 2,F9,214,September_2023
20240405,Run 2,G9,26,September_2023
20240405,Run 2,H9,206,September_2023
20240405,Run 2,A10,221,September_2023
20240405,Run 2,B10,221,September_2023
20240405,Run 2,C10,221,September_2023
20240405,Run 2,D10,220,September_2023
20240405,Run 2,E10,220,September_2023
20240405,Run 2,F10,220,September_2023
20240405,Run 2,G10,202,September_2023
20240405,Run 2,H10,240,January_2024
20240405,Run 2,A11,41,January_2024
20240405,Run 2,B11,41,January_2024
20240405,Run 2,C11,41,January_2024
20240405,Run 2,D11,244,September_2023
20240405,Run 2,E11,244,September_2023
20240405,Run 2,F11,244,September_2023
20240405,Run 2,G11,202,September_2023
20240405,Run 2,H11,240,January_2024
20240405,Run 2,A12,212,January_2024
20240405,Run 2,B12,212,January_2024
20240405,Run 2,C12,212,January_2024
20240405,Run 2,D12,242,September_2023
20240405,Run 2,E12,242,September_2023
20240405,Run 2,F12,242,September_2023
20240405,Run 2,G12,202,September_2023
20240405,Run 2,H12,240,January_2024
20240405,Run 3,A1,44,September_2023
20240405,Run 3,B1,44,September_2023
20240405,Run 3,C1,44,September_2023
20240405,Run 3,D1,204,January_2024
20240405,Run 3,E1,204,January_2024
20240405,Run 3,F1,204,January_2024
20240405,Run 3,G1,236,September_2023
20240405,Run 3,H1,226,September_2023
20240405,Run 3,A2,234,September_2023
20240405,Run 3,B2,234,September_2023
20240405,Run 3,C2,234,September_2023
20240405,Run 3,D2,241,September_2023
20240405,Run 3,E2,241,September_2023
20240405,Run 3,F2,241,September_2023
20240405,Run 3,G2,236,September_2023
20240405,Run 3,H2,226,September_2023
20240405,Run 3,A3,238,January_2024
20240405,Run 3,B3,238,January_2024
20240405,Run 3,C3,238,January_2024
20240405,Run 3,D3,12,January_2024
20240405,Run 3,E3,12,January_2024
20240405,Run 3,F3,12,January_2024
20240405,Run 3,G3,236,September_2023
20240405,Run 3,H3,226,September_2023
20240405,Run 3,A4,225,January_2024
20240405,Run 3,B4,225,January_2024
20240405,Run 3,C4,225,January_2024
20240405,Run 3,D4,233,January_2024
20240405,Run 3,E4,233,January_2024
20240405,Run 3,F4,233,January_2024
20240405,Run 3,G4,214,January_2024
20240405,Run 3,H4,213,January_2024
20240405,Run 3,A5,248,September_2023
20240405,Run 3,B5,248,September_2023
20240405,Run 3,C5,248,September_2023
20240405,Run 3,D5,210,September_2023
20240405,Run 3,E5,210,September_2023
20240405,Run 3,F5,210,September_2023
20240405,Run 3,G5,214,January_2024
20240405,Run 3,H5,213,January_2024
20240405,Run 3,A6,225,September_2023
20240405,Run 3,B6,225,September_2023
20240405,Run 3,C6,225,September_2023
20240405,Run 3,D6,201,September_2023
20240405,Run 3,E6,201,September_2023
20240405,Run 3,F6,201,September_2023
20240405,Run 3,G6,214,January_2024
20240405,Run 3,H6,213,January_2024
20240405,Run 3,A7,19,September_2023
20240405,Run 3,B7,19,September_2023
20240405,Run 3,C7,19,September_2023
20240405,Run 3,D7,234,January_2024
20240405,Run 3,E7,234,January_2024
20240405,Run 3,F7,234,January_2024
20240405,Run 3,G7,221,January_2024
20240405,Run 3,H7,43,January_2024
20240405,Run 3,A8,206,January_2024
20240405,Run 3,B8,206,January_2024
20240405,Run 3,C8,206,January_2024
20240405,Run 3,D8,236,January_2024
20240405,Run 3,E8,236,January_2024
20240405,Run 3,F8,236,January_2024
20240405,Run 3,G8,221,January_2024
20240405,Run 3,H8,43,January_2024
20240405,Run 3,A9,248,January_2024
20240405,Run 3,B9,248,January_2024
20240405,Run 3,C9,248,January_2024
20240405,Run 3,D9,235,January_2024
20240405,Run 3,E9,235,January_2024
20240405,Run 3,F9,235,January_2024
20240405,Run 3,G9,221,January_2024
20240405,Run 3,H9,43,January_2024
20240405,Run 3,A10,237,January_2024
20240405,Run 3,B10,237,January_2024
20240405,Run 3,C10,237,January_2024
20240405,Run 3,D10,44,January_2024
20240405,Run 3,E10,44,January_2024
20240405,Run 3,F10,44,January_2024
20240405,Run 3,G10,Blank,NA
20240405,Run 3,H10,Blank,NA
20240405,Run 3,A11,205,January_2024
20240405,Run 3,B11,205,January_2024
20240405,Run 3,C11,205,January_2024
20240405,Run 3,D11,1,January_2024
20240405,Run 3,E11,1,January_2024
20240405,Run 3,F11,1,January_2024
20240405,Run 3,G11,Blank,NA
20240405,Run 3,H11,Blank,NA
20240405,Run 3,A12,20,September_2023
20240405,Run 3,B12,20,September_2023
20240405,Run 3,C12,20,September_2023
20240405,Run 3,D12,46,January_2024
20240405,Run 3,E12,46,January_2024
20240405,Run 3,F12,46,January_2024
20240405,Run 3,G12,Blank,NA
20240405,Run 3,H12,Blank,NA
