Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
20,1,1,0,280,129.38580714285717,119.32580714285717,72.196,86.146,119.32580714285717,130.81080714285713,-1.0395749147297475
20,1,2,177,244,33.51648163265307,42.01848163265305,0,12.146,33.45948163265305,228.27748163265304,0.7173835080574686
20,1,3,420,220,41.576568181818175,53.4745681818182,12.196,23.145,41.53156818181819,53.4745681818182,1.2433111045994287
20,1,4,698,200,55.08416500000001,69.867165,24.195,34.145,55.03216499999999,69.867165,1.550124383056222
20,1,5,1130,180,71.5160611111111,85.7710611111111,35.195,44.146,71.5160611111111,85.7710611111111,1.6035588857796832
20,1,6,1219,180,87.3505888888889,99.98558888888888,45.196,54.145,87.3275888888889,100.07958888888888,1.5679194259060607
20,1,7,1367,320,102.33728749999997,127.05328749999998,55.195,71.146,102.33728749999997,127.0572875,1.55679876339456
