Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
blank,2,1,0,216,0.10279629629630449,-0.27520370370370983,190.167,200.916,-0.541203703703701,0.3867962962962963,-0.01649436806731893
blank,2,2,177,245,0.12199183673467928,0.31499183673469133,109.153,121.349,-0.37000816326531094,0.3509918367346927,0.013756277458565409
blank,2,3,420,181,-0.07261325966848631,0.028386740331512783,122.349,131.349,-0.32161325966848153,0.4123867403314989,-0.010563977572858135
blank,2,4,698,181,0.17074033149171441,0.1647403314917142,132.349,141.349,-0.4322596685082942,0.48074033149168827,-0.02131735264527991
blank,2,5,1130,201,0.0052437810945207275,-0.18975621890547245,142.349,152.349,-0.462756218905497,0.41024378109452186,-0.02088396301426897
blank,2,6,1219,181,-0.08322651933701763,0.03577348066298214,153.349,162.349,-0.3482265193370324,0.42077348066297304,-0.021202546649793288
blank,2,7,1367,397,0.956904282115886,0.21890428211588642,163.349,183.149,-0.7000957178841247,1.0019042821158735,-0.029452610631927407
