Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
225,1,1,0,280,86.45980714285716,78.97880714285716,72.393,86.343,78.97880714285716,87.81680714285716,-0.7983406679028324
225,1,2,177,248,37.74048163265306,38.53248163265306,0,12.343,37.402481632653064,38.686481632653056,0.09496577842366749
225,1,3,420,220,38.076568181818175,41.72656818181818,12.393,23.342,38.04956818181819,41.832568181818175,0.45683377993402746
225,1,4,698,200,42.497164999999995,50.174165000000016,24.392,34.343,42.47216499999999,50.174165000000016,0.8347414611743962
225,1,5,1130,180,51.1940611111111,59.75606111111111,35.393,44.343,51.10806111111111,59.75606111111111,0.9734663292513107
225,1,6,1219,180,60.5655888888889,69.1075888888889,45.393,54.343,60.5655888888889,69.1245888888889,0.9558567793014158
225,1,7,1367,320,70.7012875,85.2712875,55.393,71.342,70.58328749999998,85.28628749999999,0.917614631587664
