Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
239,3,1,0,300,142.6150531561462,127.7180531561462,998.316,1013.267,127.7180531561462,147.9300531561462,-1.8819778259721136
239,3,2,177,260,1.1524482758620707,5.66244827586209,927.32,940.267,0.8904482758620702,5.770448275862094,0.44320884272681516
239,3,3,420,180,7.155099447513834,16.953099447513836,941.316,950.266,7.155099447513834,16.993099447513828,1.3587284604284198
239,3,4,698,180,19.52082872928176,36.59982872928177,951.316,960.266,19.436828729281757,36.59982872928177,2.1326127657570173
239,3,5,1130,180,39.95324309392265,61.35824309392265,961.316,970.266,39.95324309392265,61.35824309392265,2.5329253270164833
239,3,6,1219,200,65.36179601990051,91.76179601990049,971.316,981.266,65.22079601990052,91.76179601990049,2.66205133565874
239,3,7,1367,300,96.22778405315614,138.40978405315616,982.316,997.266,96.22778405315614,138.40978405315616,2.855220305186541
