"","Colony_ID","Run.x","Interval","Light_Value","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Date","Project","Run.y","Chamber","Species","Phenotype","Chamber_Volume_mL","Surface_Area_cm2","Notes","...11","...12","...13","Chamber_Volume_L","Slope_norm"
"1","247",1,1,0,300,49.9083322259137,40.7313322259136,80.444,95.394,40.4403322259136,49.9723322259136,-0.632037438790057,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,-0.455066955928841
"2","247",1,2,205,300,-13.6503554817276,-10.5233554817276,0.444,15.394,-13.6503554817276,-10.5053554817276,0.21475444943589,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.154623203593841
"3","247",1,3,344,200,-10.0435472636816,-5.13054726368159,16.444,26.394,-10.0435472636816,-4.93754726368161,0.542588095175407,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.390663428526293
"4","247",1,4,666,200,-4.30039303482587,4.02960696517414,27.444,37.394,-4.30039303482587,4.23860696517414,0.860708052195332,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.619709797580639
"5","247",1,5,923,200,5.44562189054724,15.7216218905473,38.444,48.394,5.22662189054725,15.7216218905473,1.05127704160247,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.756919469953775
"6","247",1,6,1145,200,17.0273930348258,28.4973930348258,49.444,59.394,16.9443930348259,28.4973930348258,1.16076254917388,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.835749035405195
"7","247",1,7,1495,300,30.2082126245847,49.4422126245847,60.444,75.394,30.1752126245847,49.4422126245847,1.30918496940431,2026-01-21,"CAREER - Phys",1,1,"Porites compressa","Susceptible",240,20,"Coral fell off string at some point during the run, data may look weird",NA,NA,NA,0.24,0.942613177971106
"8","12",2,1,0,300,126.051696666667,120.408696666667,192.427,207.377,120.408696666667,127.713696666667,-0.608774580286278,2026-01-21,"CAREER - Phys",2,1,"Montipora capitata","Resistant",240,20,NA,NA,NA,NA,0.24,-0.43831769780612
"9","12",2,2,205,299,50.8162046979866,58.4872046979866,115.475,130.378,50.8162046979866,58.6742046979866,0.496742305125616,2026-01-21,"CAREER - Phys",2,1,"Montipora capitata","Resistant",240,20,NA,NA,NA,NA,0.24,0.357654459690444
"10","12",2,3,344,200,59.59722,66.17722,131.428,141.377,59.59722,66.19222,0.658596893952538,2026-01-21,"CAREER - Phys",2,1,"Montipora capitata","Resistant",240,20,NA,NA,NA,NA,0.24,0.474189763645827
"11","12",2,4,666,200,67.36065,76.80465,142.428,152.377,67.34265,76.82565,0.976749785921494,2026-01-21,"CAREER - Phys",2,1,"Montipora capitata","Resistant",240,20,NA,NA,NA,NA,0.24,0.703259845863476
"12","12",2,5,923,220,78.5335636363636,89.9455636363636,153.427,164.377,78.4685636363636,90.0985636363637,1.09109053300951,2026-01-21,"CAREER - Phys",2,1,"Montipora capitata","Resistant",240,20,NA,NA,NA,NA,0.24,0.785585183766847
