Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
244,5,1,0,301,0.3644033333333141,-6.760596666666686,506.346,521.346,-6.98559666666668,1.1614033333333111,-0.5756921400337935
244,5,2,205,261,-51.77871153846152,-49.888711538461536,432.346,445.346,-52.01271153846153,-49.874711538461526,0.16428068425863887
244,5,3,344,201,-49.14110499999998,-45.28210499999997,446.346,456.346,-49.25910499999998,-45.15710499999997,0.42914242605967345
244,5,4,666,201,-44.200424999999996,-37.67942500000001,457.346,467.346,-44.26242500000001,-37.482425000000006,0.6972943722943763
244,5,5,923,201,-36.317665000000005,-28.005665000000022,468.346,478.346,-36.37966500000002,-28.005665000000022,0.834071249846653
244,5,6,1145,201,-26.57941500000001,-17.249415,479.346,489.346,-26.65841500000002,-17.249415,0.9102972824093177
244,5,7,1495,301,-16.002970000000005,-1.3169699999999978,490.346,505.346,-16.03797,-1.3049699999999973,0.9939367868231704
