Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
2023-09-22_coral19,2023-09-22_coral19,Mesh,25.818388699715573,5.042109909339125,5.262024846720623,1.7704391801804915,3.4915856665401312,5.881418773247384,24.425186908485195
2023-09-22_coral29,2023-09-22_coral29,Mesh,27.14326638249597,6.3339361272452095,4.989966360514036,1.7464058115367997,3.2435605489772366,9.017203994460393,25.96165628331119
2023-09-22_coral41,2023-09-22_coral41,Mesh,44.26274304821742,8.197235994565741,6.423001104774061,1.7573944736573393,4.665606631116721,13.16672411776561,57.160726141189414
2023-09-22_coral201,2023-09-22_coral201,Mesh,26.498028908338682,5.074071002951494,5.677138789122144,1.7917410708535808,3.885397718268563,6.600201475359515,29.782923429951033
2023-09-22_coral203,2023-09-22_coral203,Mesh,28.556583679215745,11.097461032863523,9.327044061672263,1.7501535694587789,7.576890492213484,7.22271617579923,232.89099771501637
2023-09-22_coral212,2023-09-22_coral212,Mesh,40.76978990188358,7.240647133793284,5.959154326020924,1.724677823663903,4.234476502357021,10.024462691710703,44.73168265072943
2023-09-22_coral233,2023-09-22_coral233,Mesh,25.885952603856623,5.232508595047457,4.749802677202175,1.7541715024479876,2.9956311747541875,7.484001813923241,22.498188941585138
2023-09-22_coral240,2023-09-22_coral240,Mesh,32.41491007185504,5.961370481550512,6.424318970194601,1.7709353782937338,4.653383591900867,9.777598635589985,37.64603477738717
2023-09-22_coral243,2023-09-22_coral243,Mesh,29.010192200319892,5.666550612409509,5.71942503594019,1.8378431713505505,3.8815818645896396,9.019603920120721,33.881177637701896
20230923_coral12,20230923_coral12,Mesh,29.03810725455097,3.8267759133446417,6.376687278641768,1.7838146128077381,4.59287266583403,7.524321088604118,22.823339059904608
20230923_coral26,20230923_coral26,Mesh,27.998894702336106,5.0787100248060515,6.295311260186604,1.7524867754808937,4.54282448470571,8.342910522571223,36.215343620055144
20230923_coral42,20230923_coral42,Mesh,25.825630963789106,4.428757177454396,4.976750029457545,1.770255539030413,3.2064944904271315,8.366347262065776,19.45245655781367
20230923_coral45,20230923_coral45,Mesh,24.007135400668933,8.527297514018429,5.053951314854855,1.7737594212487717,3.2801918936060828,6.745969959058598,45.135263926710586
20230923_coral206,20230923_coral206,Mesh,60.86567350061068,12.343483576183194,6.082764048699803,1.1247530735206304,4.958010975179173,16.515218183320993,84.99498289338031
20230923_coral209,20230923_coral209,Mesh,29.750188205151925,11.072854793056253,5.257912279243297,1.7746634678890305,3.483248811354267,6.776864661692638,67.78167376799068
20230923_coral221,20230923_coral221,Mesh,29.18820216915433,4.901734049334077,7.716338811120896,1.7507088306418264,5.965629980479069,7.8260075815523695,39.40092188829764
20230923_coral225,20230923_coral225,Mesh,29.628639533402293,13.889539537482824,10.756244400129006,1.7517368252026544,9.004507574926352,8.130630288721266,304.9499106896948
20230923_coral226,20230923_coral226,Mesh,25.171028046226144,6.686460781646596,5.193757405893972,1.732190422881491,3.4615669830124816,7.071568105849418,36.373882875815745
