Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
20250511_1,3D model (60740 faces),Mesh,21.447603447877512,7.975399930978753,6.808921386061867,2.2959099316649634,4.513011454396904,4.91109964801322,67.0223398376243
20250511_2,3D model (46044 faces),Mesh,19.847854022844754,4.213887452307158,4.857041803718346,2.2890505082678536,2.5679912954504918,0.0,14.598668597498525
20250511_12,3D model (28332 faces),Mesh,12.072970330687424,2.1353862955038845,5.157306257946667,2.3641945357342378,2.7931117222124295,2.3315609908762593,8.495644539287422
20250511_19,3D model (47764 faces),Mesh,20.546931934914905,9.546873033776745,4.958572312690751,-9.095576619453393,14.054148932144145,4.195502719052797,181.45118164097752
20250511_20,3D model (28668 faces),Mesh,11.285156504626354,1.272611300947863,5.468601326765249,2.380546372504261,3.088054954260988,2.2860557539409068,5.3621740384792345
20250511_201_redo,3D model (25082 faces),Mesh,11.257764964526478,2.708829705278351,4.022285907130854,2.3565020747291086,1.6657838324017455,2.204024934282655,8.044975864505357
20250511_202,3D model (56852 faces),Mesh,20.639387706389915,3.725360543518053,5.960071404542694,2.3298903520457435,3.6301810524969502,4.5742869309236704,18.772840687781525
20250511_203,3D model (13208 faces),Mesh,6.689773557906504,1.1886780132448127,3.8153302524850248,2.1944022452971614,1.6209280071878633,1.2117183880295048,2.4408636223630866
20250511_204,3D model (50448 faces),Mesh,21.839595920175068,9.583039722070476,7.19075327432139,2.303663489565043,4.8870897847563475,4.547698236765733,80.45566872665135
20250511_205,3D model (73412 faces),Mesh,26.745534696216303,5.51291161287114,5.540253761111422,2.1707860278557534,3.3694677332556684,6.021722966906635,26.120987324668423
20250511_206,3D model (57856 faces),Mesh,19.714251381900407,14.55975816037386,-3.225449475947367,-6.036308825767966,2.810859349820599,3.497585592754416,74.90482100389065
20250511_209,3D model (90062 faces),Mesh,29.05540256538405,7.288913166405254,5.465696617293153,2.368658634070969,3.097037983222184,5.889475776252476,31.693454376850845
20250511_210,3D model (43918 faces),Mesh,16.89215683711422,3.3242304350639023,4.965737629286229,2.3176307939006433,2.648106835385586,3.9108210009050004,12.049596191273414
20250511_211,3D model (35576 faces),Mesh,12.927475148014139,1.7804904449356205,5.27765118823699,2.2271666762632645,3.050484511973725,2.2656025933181265,7.267725378053488
20250511_213,3D model (64568 faces),Mesh,24.973263328669876,6.7140391371442565,4.663056647091213,2.19962929875504,2.4634273483361726,5.164632459728012,23.368306143015435
20250511_214,3D model (44154 faces),Mesh,16.846298208063722,9.796947296666843,4.919889068969896,2.006047747739992,2.913841321229904,2.9287068595669097,66.19552770535033
20250511_219,3D model (31532 faces),Mesh,12.975862756638811,3.5122856965393314,4.0768392909715265,2.3165129110751637,1.7603263798963624,2.611609541260524,9.505355689284995
20250511_220,3D model (60028 faces),Mesh,24.467942036075478,5.637726823423465,4.918115308302458,2.396986134158458,2.521129174144,5.747548649945295,21.570513549094134
20250511_221,3D model (42980 faces),Mesh,16.577481785730253,4.22516652486913,4.672453847157209,2.2900937951950557,2.382360051962154,3.332415115582989,12.029022069638842
20250511_225,3D model (25094 faces),Mesh,13.849666344448552,2.353652897997369,4.585861309681341,2.182210388805647,2.4036509208756938,3.433445253456115,7.114332449001616
20250511_226,3D model (13864 faces),Mesh,6.344232824076362,1.1884386655917512,3.911003898584785,2.2540172308358954,1.6569866677488894,1.2455009125965661,2.5423698635643626
20250511_233,3D model (35002 faces),Mesh,18.03866498185768,3.272453169701141,5.110584904416971,2.300629996035508,2.8099549083814623,4.9062006522923465,12.468270218145404
20250511_234,3D model (18224 faces),Mesh,10.390380648959985,9.49294195003436,3.9138714100068555,-9.109208315457224,13.023079725464079,2.633906047075291,439.15988054700017
20250511_235,3D model (30720 faces),Mesh,16.641986776365513,3.377543586337637,5.112857781169733,2.265099295410178,2.847758485759555,4.007683406470446,12.176194966050291
20250511_236,3D model (33334 faces),Mesh,19.75105952768417,4.157835219870017,4.731655783780414,2.2771847048361327,2.454471078944281,6.524922085900084,15.725444406277044
20250511_237,3D model (31164 faces),Mesh,18.199904535151113,2.9366629614493105,5.189331740349928,2.2247078792591966,2.9646238610907316,5.312314976714117,12.389935202434154
20250511_238,3D model (26072 faces),Mesh,12.59052663398204,4.441465403116193,4.543367002744924,2.233826350960999,2.3095406517839256,3.1015150267445195,19.037472903513986
20250511_239,3D model (20038 faces),Mesh,10.31630341006879,2.3331926676248194,3.90819995747545,2.3086257674158226,1.5995741900596272,2.400982984146954,4.831951105394785
20250511_240,3D model (24848 faces),Mesh,15.17823681894709,2.5725655237635263,4.918910089479739,2.1756613896945884,2.74324869978515,4.042873594327718,9.602269010871574
20250511_241,3D model (28972 faces),Mesh,17.163978216519403,2.6617421029844124,5.575850612447847,2.3441054118836124,3.2317452005642346,4.49382306014551,11.29079311797281
20250511_242,3D model (25674 faces),Mesh,11.982766952795629,2.5297505275662373,4.054068251929293,2.169328965453471,1.8847392864758228,2.895118809594254,7.065149245477275
20250511_243,3D model (32528 faces),Mesh,17.53422151215204,3.735499601735901,4.404596619558272,2.244605524247991,2.1599910953102803,5.302270550803635,11.06336188840192
20250511_244,3D model (22924 faces),Mesh,11.800946309662526,1.8179642173921144,4.766007053409849,2.3043067144179306,2.4617003389919176,2.7789697804921905,5.975631875745093
20250511_247,3D model (35490 faces),Mesh,20.326014150404184,3.225499002264472,5.73758134319289,2.248625710806621,3.488955632386268,5.115749820953303,16.242479339398507
