Chunk,Model,Model type,Surface Area (m^2),Surface Area (cm^2),Area (m^2),Area (cm^2),Max height (m),Min height (m),Height range (m),Max height (cm),Min height (cm),Height range (cm),Volume (m^3),Volume (cm^3)
2024-05-11_coral1,3D model (66694 faces),Mesh,0.0023887326697190512,23.887326697190513,0.0005008960576831639,5.008960576831639,-1.8618426600029685,-1.899843991949771,0.03800133194680244,-186.18426600029684,-189.9843991949771,3.800133194680244,5.721683446385382e-06,5.7216834463853825
2024-05-11_coral2,3D model (31366 faces),Mesh,0.0017017454782843084,17.017454782843085,0.0004585709898645888,4.585709898645888,0.051256612752740405,0.031115460263535955,0.02014115248920445,5.125661275274041,3.1115460263535955,2.014115248920445,3.2561773482504882e-06,3.256177348250488
2024-05-11_coral3,3D model (21026 faces),Mesh,0.0010303134776241236,10.303134776241235,0.0001988098239795335,1.9880982397953348,0.06056552523816172,0.03588862743128718,0.024676897806874543,6.056552523816173,3.588862743128718,2.4676897806874543,1.4716007098953834e-06,1.4716007098953834
2024-05-11_coral4,3D model (13548 faces),Mesh,0.0015124690123709044,15.124690123709044,0.00030275977109348355,3.0275977109348355,0.059120938695910286,0.03259796657563063,0.026522972120279653,5.912093869591029,3.2597966575630632,2.6522972120279653,3.828676259518236e-06,3.828676259518236
2024-05-11_coral12,3D model (9538 faces),Mesh,0.0011388226112321743,11.388226112321743,0.00019188999557829756,1.9188999557829756,0.09536670168958122,0.03638722450287435,0.058979477186706875,9.536670168958123,3.638722450287435,5.897947718670688,2.321049055723329e-06,2.321049055723329
2024-05-11_coral20,3D model (10854 faces),Mesh,0.0013604263954811605,13.604263954811605,0.0002502701287785598,2.5027012877855976,0.06372077293050704,0.03764506565694997,0.02607570727355707,6.372077293050705,3.7645065656949974,2.607570727355707,3.093032340175582e-06,3.0930323401755824
2024-05-11_coral26,3D model (9278 faces),Mesh,0.00154683642717753,15.468364271775298,0.00034330776384520085,3.4330776384520085,0.05287024428672959,0.029788299340128884,0.023081944946600704,5.287024428672959,2.9788299340128885,2.3081944946600705,3.927672323315824e-06,3.927672323315824
2024-05-11_coral27,3D model (5790 faces),Mesh,0.0012126391972715977,12.126391972715977,0.00023697778323484396,2.3697778323484395,0.0520128845008358,0.030858600298813765,0.021154284202022033,5.20128845008358,3.0858600298813768,2.1154284202022033,2.8030159923145106e-06,2.803015992314511
2024-05-11_coral28,3D model (11752 faces),Mesh,0.002074603858566417,20.74603858566417,0.0004016568529248143,4.016568529248143,0.06535942827094099,0.029633633579435492,0.0357257946915055,6.5359428270940985,2.963363357943549,3.5725794691505497,5.34354783660059e-06,5.34354783660059
2024-05-11_coral29,3D model (10098 faces),Mesh,0.0018416870994662036,18.416870994662034,0.00036537870766948234,3.6537870766948233,0.05870296059764335,0.030896123429635325,0.027806837168008025,5.870296059764335,3.0896123429635325,2.7806837168008025,5.1350138650250414e-06,5.135013865025042
2024-05-11_coral41,3D model (7910 faces),Mesh,0.001368831189543594,13.68831189543594,0.00024561028464937346,2.4561028464937347,0.057341294138676724,0.03381505315389427,0.023526240984782454,5.734129413867672,3.3815053153894272,2.3526240984782456,3.4251425988958667e-06,3.425142598895867
2024-05-11_coral42,3D model (7432 faces),Mesh,0.0012672115618279059,12.67211561827906,0.00022764223175035403,2.27642231750354,0.05550616974965328,0.031720674043660246,0.02378549570599303,5.550616974965328,3.1720674043660244,2.3785495705993034,3.0595322032797196e-06,3.0595322032797196
2024-05-11_coral43,3D model (11916 faces),Mesh,0.0025706657526016366,25.706657526016365,0.000656374170355336,6.56374170355336,0.06457265190387068,0.03186987438952943,0.03270277751434125,6.457265190387068,3.1869874389529427,3.2702777514341252,7.51753822307213e-06,7.51753822307213
2024-05-11_coral44,3D model (9814 faces),Mesh,0.0016332613501970979,16.33261350197098,0.0003310909691923501,3.310909691923501,0.05653325462079439,0.029279081278506258,0.027254173342288135,5.653325462079439,2.9279081278506256,2.7254173342288137,4.569358535411798e-06,4.569358535411798
2024-05-11_coral201,3D model (12228 faces),Mesh,0.0014803563165561502,14.803563165561501,0.00023544589146426518,2.354458914642652,0.060634390295967566,0.031880545514719916,0.02875384478124765,6.063439029596757,3.188054551471992,2.875384478124765,3.3534948842012417e-06,3.3534948842012415
2024-05-11_coral202,3D model (16276 faces),Mesh,0.0020997753161824425,20.997753161824427,0.00048722636677164057,4.872263667716406,0.060499809806228745,0.03402877085240356,0.026471038953825188,6.049980980622874,3.402877085240356,2.647103895382519,5.966436444484768e-06,5.966436444484768
2024-05-11_coral203,3D model (17122 faces),Mesh,0.002067721028295238,20.67721028295238,0.0002884864713051819,2.8848647130518192,0.07549068971691925,0.03199067718447685,0.04350001253244239,7.549068971691924,3.1990677184476852,4.35000125324424,4.916898291230039e-06,4.916898291230039
2024-05-11_coral204,3D model (12030 faces),Mesh,0.0015395205201964206,15.395205201964206,0.000333826883618222,3.33826883618222,0.0588986231674587,0.029552247806798937,0.02934637536065976,5.8898623167458695,2.9552247806798935,2.934637536065976,2.9046898854519865e-06,2.9046898854519863
2024-05-11_coral205,3D model (15556 faces),Mesh,0.0017066536794665152,17.06653679466515,0.0003030362018375951,3.030362018375951,0.06988535953685154,0.03636197984140016,0.03352337969545138,6.988535953685155,3.636197984140016,3.3523379695451383,3.9157301598553486e-06,3.9157301598553484
2024-05-11_coral206,3D model (11964 faces),Mesh,0.0017373119675027416,17.373119675027414,0.00035854269854563247,3.5854269854563245,0.05816575474872698,0.030822816427606814,0.02734293832112017,5.816575474872698,3.082281642760681,2.7342938321120167,4.4791484925299014e-06,4.479148492529902
2024-05-11_coral209,3D model (12730 faces),Mesh,0.0014404802918333505,14.404802918333505,0.00034922410876284815,3.4922410876284813,0.05331879231718517,0.03172973344886382,0.021589058868321354,5.331879231718517,3.1729733448863815,2.1589058868321356,2.6021938732867985e-06,2.6021938732867986
2024-05-11_coral210,3D model (21440 faces),Mesh,0.002343746972031846,23.43746972031846,0.00035099978461848027,3.509997846184803,0.07174307696925564,0.03357324695506897,0.03816983001418667,7.174307696925563,3.3573246955068967,3.8169830014186665,5.730823269310004e-06,5.730823269310004
2024-05-11_coral211,3D model (24396 faces),Mesh,0.003093802277114022,30.93802277114022,0.0004961605257262209,4.9616052572622085,0.07864205610348368,0.03248571058458771,0.04615634551889597,7.864205610348368,3.2485710584587713,4.615634551889597,7.6183646307448795e-06,7.618364630744879
2024-05-11_coral213,3D model (11618 faces),Mesh,0.0014513569195902143,14.513569195902143,0.00028769820814813346,2.8769820814813345,0.05671251257064314,0.03237640422360827,0.024336108347034868,5.671251257064314,3.237640422360827,2.4336108347034866,3.1307854165494535e-06,3.1307854165494535
2024-05-11_coral214,3D model (12888 faces),Mesh,0.0016899215585912477,16.899215585912476,0.00035989699791271916,3.5989699791271916,0.058448316865250705,0.03498279191046799,0.023465524954782713,5.844831686525071,3.498279191046799,2.3465524954782713,3.722735559758618e-06,3.722735559758618
2024-05-11_coral219,3D model (11628 faces),Mesh,0.0014125519108717677,14.125519108717677,0.00030593296095187913,3.0593296095187914,0.05512153878781817,0.030922203962778727,0.024199334825039442,5.512153878781817,3.092220396277873,2.4199334825039442,2.652649854194133e-06,2.652649854194133
2024-05-11_coral220,3D model (10772 faces),Mesh,0.0013210244603077499,13.210244603077498,0.0002802956786784013,2.802956786784013,0.055495058990041965,0.032427526302110946,0.02306753268793102,5.549505899004196,3.2427526302110947,2.306753268793102,2.6866869670403072e-06,2.6866869670403073
2024-05-11_coral221,3D model (13042 faces),Mesh,0.0015346156445306609,15.346156445306608,0.000254448787503434,2.54448787503434,0.05883139934487047,0.031625297035534294,0.027206102309336178,5.883139934487048,3.1625297035534294,2.7206102309336178,3.6141040250610553e-06,3.614104025061055
2024-05-11_coral225,3D model (6068 faces),Mesh,0.0011153426275452133,11.153426275452134,0.00022847790902650244,2.2847790902650242,0.052177891063552084,0.03282559909194699,0.019352291971605096,5.217789106355209,3.282559909194699,1.9352291971605096,2.4410950812113958e-06,2.4410950812113956
2024-05-11_coral226,3D model (5662 faces),Mesh,0.001029816918038703,10.29816918038703,0.00021359600056536555,2.1359600056536556,0.05031481335858007,0.03274760981311031,0.017567203545469756,5.031481335858007,3.274760981311031,1.7567203545469756,2.5307010874268944e-06,2.5307010874268943
2024-05-11_coral233,3D model (9738 faces),Mesh,0.0017540157358448916,17.540157358448916,0.0003358796581104755,3.358796581104755,0.057187993471017606,0.031258736192615266,0.02592925727840234,5.71879934710176,3.125873619261527,2.592925727840234,5.0021205055941115e-06,5.002120505594111
2024-05-11_coral234,3D model (5611 faces),Mesh,0.0012936737604892473,12.936737604892473,0.0003813389617790625,3.813389617790625,0.0463136570411104,0.030807947405493197,0.015505709635617204,4.63136570411104,3.0807947405493197,1.5505709635617204,0.0,0.0
2024-05-11_coral235,3D model (9388 faces),Mesh,0.0014997193301832742,14.997193301832743,0.000268612013241809,2.68612013241809,0.051771505714665045,0.02564619573098942,0.026125309983675626,5.1771505714665045,2.564619573098942,2.6125309983675624,3.8308715065485265e-06,3.8308715065485264
2024-05-11_coral236,3D model (5998 faces),Mesh,0.0009368837674197504,9.368837674197504,0.0001903626651588743,1.9036266515887428,0.05117678068511017,0.031429769419152265,0.019747011265957903,5.117678068511017,3.1429769419152267,1.9747011265957903,1.9440530632712532e-06,1.9440530632712532
2024-05-11_coral237,3D model (6846 faces),Mesh,0.0013754458407977683,13.754458407977683,0.00020006587281085433,2.0006587281085433,0.06283624997131043,0.03548973018824031,0.027346519783070122,6.283624997131043,3.548973018824031,2.7346519783070122,3.4318955116676687e-06,3.4318955116676686
2024-05-11_coral238,3D model (7862 faces),Mesh,0.0015686772238802992,15.686772238802991,0.00034028291349624275,3.4028291349624276,0.05686720476659138,0.034504809157098,0.02236239560949338,5.686720476659138,3.4504809157097998,2.236239560949338,4.617103118755516e-06,4.617103118755516
2024-05-11_coral239,3D model (8298 faces),Mesh,0.0012593445766555281,12.593445766555282,0.0002877529358143748,2.877529358143748,0.05114358209605335,0.03181840981086048,0.01932517228519287,5.114358209605335,3.181840981086048,1.932517228519287,3.297894174877233e-06,3.297894174877233
2024-05-11_coral240,3D model (9690 faces),Mesh,0.0017969371201437578,17.96937120143758,0.00031950236827617084,3.1950236827617085,0.05764596890646562,0.032134271409978765,0.02551169749648685,5.764596890646562,3.2134271409978767,2.551169749648685,4.832056987500141e-06,4.832056987500142
