Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
S1,S1,Mesh,39.9073697697129,6.089319786644938,8.05022271483801,1.9469145251795268,6.103308189658484,11.106233638730703,50.45270489263209
S2,S2,Mesh,29.27853689817469,4.191549727115816,5.4933987341544395,1.8269354398143602,3.6664632943400792,6.317254297904299,22.57317298888966
S3,S3,Mesh,18.31354508478641,3.3032443299689507,4.814679330390787,1.9887283489036318,2.825950981487155,4.276540684649145,12.362966043057208
S4,S4,Mesh,13.910019135307541,3.264896699592776,4.253095027368392,1.7001328327442444,2.552962194624148,2.660422351926006,10.734420722012844
S5,S5,Mesh,12.362752396269817,3.12756238905356,3.9551735363874156,1.9534846143609828,2.001688922026433,2.0289052614191676,7.9854193558044875
20230912_Tank1_01A,20230912_Tank1_01A,Mesh,36.34458076992902,8.479061890828271,6.899834595859852,1.7651592585382265,5.134675337321626,9.164131078601915,67.99110245192793
20230912_Tank1_02A,20230912_Tank1_02A,Mesh,46.877159043125936,8.265175189324813,8.088867983640297,1.7815531559884634,6.307314827651833,13.43034993268849,68.03954973298116
20230912_Tank1_03A,20230912_Tank1_03A,Mesh,18.107832615258914,3.604143942755726,5.486446423847591,1.821452703494908,3.664993720352683,3.5765067318583816,17.161332764875525
20230912_Tank1_04A,20230912_Tank1_04A,Mesh,21.38646320593301,3.8818967173417382,5.398656552036764,1.8016186576604685,3.5970378943762955,4.310828964792502,18.108473259651458
20230912_Tank1_11A,20230912_Tank1_11A,Mesh,15.850338444970639,3.5625702399642325,4.581259180554175,1.8519523957376771,2.7293067848164987,3.189396354631783,13.789875706378329
20230912_Tank1_12A,20230912_Tank1_12A,Mesh,17.913424152507417,3.81667840699628,4.911449262005102,1.827963874635885,3.083485387369217,3.8571842135730505,15.449927989251968
20230912_Tank1_15A,20230912_Tank1_15A,Mesh,23.149953065786892,3.7733844959478136,5.349572029607986,1.8391006144551636,3.5104714151528214,5.197509027458778,17.899382895698785
20230912_Tank1_16A,20230912_Tank1_16A,Mesh,21.460191707577614,3.6565448594667522,5.940694030696084,1.789054432739587,4.151639597956497,4.263182596737903,20.074482439644573
20230912_Tank1_19A,20230912_Tank1_19A,Mesh,28.82986430203668,6.3763220667383775,6.175263369435724,1.829865358172339,4.345398011263385,5.947097429227692,45.18731869257048
20230912_Tank1_20A,20230912_Tank1_20A,Mesh,23.447441669764963,5.394545287655527,4.9884906342682385,1.8189298727844445,3.1695607614837944,6.4492667968513055,22.04552255001868
20230912_Tank1_26A,20230912_Tank1_26A,Mesh,17.828562701293595,3.8662022533063953,4.398929543377411,1.8523030997862566,2.5466264435911548,5.309971861897687,13.549753607434036
20230912_Tank1_27A,20230912_Tank1_27A,Mesh,29.001495372767806,4.161425870326266,6.24286141997385,1.8178644536967992,4.4249969662770505,8.38674340667783,26.383600001246684
20230912_Tank1_28A,20230912_Tank1_28A,Mesh,25.820059549429303,5.309778485108555,5.259770163988875,1.8532593261361086,3.4065108378527666,6.383870228970069,29.723441465359112
20230912_Tank1_29A,20230912_Tank1_29A,Mesh,22.281621502301817,4.7287886618323896,4.866544613579403,1.8037285684035071,3.0628160451758952,7.230710908631562,19.045414195283517
20230912_Tank1_41A,20230912_Tank1_41A,Mesh,37.295850631950756,6.71916193409272,5.856178922000538,1.825205976857669,4.030972945142869,10.600402604977221,37.99479531739585
20230912_Tank1_42A,20230912_Tank1_42A,Mesh,25.261603251795893,4.674483925454238,5.372246725906221,1.8235046099855434,3.548742115920678,8.285961397473496,21.240022679277573
20230912_Tank1_43A,20230912_Tank1_43A,Mesh,26.116729153528077,4.7906630668186025,6.552681870692884,1.8438381988868768,4.708843671806006,6.854228058324355,35.21222788642236
20230912_Tank1_44A,20230912_Tank1_44A,Mesh,18.084465340553734,3.253251684687982,4.6884232508854495,1.799950066742971,2.888473184142479,4.794501912856213,11.932766400608584
20230912_Tank1_45A,20230912_Tank1_45A,Mesh,25.859183531310826,3.8299165446274848,5.409483512156712,1.781959810446005,3.6275237017107074,8.379779728953688,19.06693591062479
20230912_Tank1_46A,20230912_Tank1_46A,Mesh,27.00664340661564,4.743791367029431,5.491254291129177,1.8314481738964772,3.6598061172327,7.401087517576714,21.943201551133658
20230912_Tank1_201A,20230912_Tank1_201A,Mesh,17.54826341543294,3.2703303582835392,5.362075912588771,1.8194781207448218,3.542597791843949,3.650305775784016,14.924515697111254
