Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3)
,,,,,,,,,
20241001_S1_redo,3D model (81012 faces),Mesh,37.27704087,6.073154089,8.241142765,2.030986519,6.210156245,11.37019434,52.14494921
,,,,,,,,,
20241001_S2_redo,3D model (48750 faces),Mesh,25.96289758,3.913095969,5.650343188,1.815041312,3.835301876,6.564296407,21.55536575
,,,,,,,,,
20241001_S3,3D model (44038 faces),Mesh,15.46807344,3.396701737,4.916242918,1.887715884,3.028527034,4.584683925,13.43126403
,,,,,,,,,
20241002_1,3D model (30786 faces),Mesh,15.70630826,3.100271878,5.226777869,2.291515664,2.935262205,2.980097045,13.55742132
,,,,,,,,,
20241002_2,3D model (36212 faces),Mesh,22.72692876,5.900191079,4.732197644,1.917403314,2.814794331,4.628453,22.18442065
,,,,,,,,,
20241002_3,3D model (33924 faces),Mesh,15.54114824,1.975598995,5.846849255,2.324790723,3.522058532,3.190217385,9.191492699
,,,,,,,,,
20241002_4,3D model (41544 faces),Mesh,22.49835562,4.925622698,6.306669774,2.7670951,3.539574674,6.164201614,23.34426155
,,,,,,,,,
20241002_12,3D model (40416 faces),Mesh,20.71953384,3.770734871,5.52787751,2.382273589,3.145603921,4.794613018,18.26320475
,,,,,,,,,
20241002_19,3D model (33224 faces),Mesh,17.83537582,4.177937502,5.144524746,2.087351606,3.057173141,3.494523627,19.88381779
,,,,,,,,,
20241002_20,3D model (38556 faces),Mesh,18.4008163,2.430084982,6.169459565,2.654211816,3.515247749,4.542203081,11.10815371
,,,,,,,,,
20241002_26,3D model (33376 faces),Mesh,16.48570331,3.27708771,4.667335672,2.244021651,2.423314021,5.130631499,11.46390548
,,,,,,,,,
20241002_27,3D model (28178 faces),Mesh,14.92532344,2.834058932,5.175492168,2.566818767,2.608673401,4.205381211,9.540783349
,,,,,,,,,
20241002_28,3D model (31674 faces),Mesh,15.69024154,2.906956567,5.069715716,2.351071401,2.718644316,3.35816981,11.85196865
,,,,,,,,,
20241002_29,3D model (23624 faces),Mesh,11.56906683,2.360668363,4.136576707,2.203270332,1.933306375,3.130386269,6.355023382
,,,,,,,,,
20241002_41,3D model (23712 faces),Mesh,12.04215007,2.518613618,4.894498583,2.527830038,2.366668546,2.986337112,8.141930704
,,,,,,,,,
20241002_42,3D model (42368 faces),Mesh,22.58229084,4.44766929,5.553596479,2.370211971,3.183384508,7.155329927,20.08519889
,,,,,,,,,
20241002_43,3D model (34816 faces),Mesh,18.67272616,3.118004249,5.484433434,2.387010842,3.097422592,5.203255089,14.26809147
,,,,,,,,,
20241002_44,3D model (24262 faces),Mesh,14.00518542,2.333122143,4.770974318,2.267846024,2.503128293,3.965872667,7.697765182
,,,,,,,,,
20241002_201,3D model (31588 faces),Mesh,14.49304936,2.418783739,5.150530055,2.316096198,2.834433857,2.823936887,10.34340577
,,,,,,,,,
20241002_202,3D model (44662 faces),Mesh,19.52862146,4.037885694,4.976050148,2.394968303,2.581081845,4.643202861,15.33724524
,,,,,,,,,
20241002_203,3D model (24478 faces),Mesh,12.64374774,2.386566215,4.500937507,2.181630251,2.319307256,2.602925178,8.466060698
,,,,,,,,,
20241002_204,3D model (40416 faces),Mesh,18.1310987,2.340319893,5.854419278,2.339725389,3.514693889,4.364190377,11.16946256
,,,,,,,,,
20241002_205,3D model (48888 faces),Mesh,21.09619635,3.050544114,6.11832624,2.400409461,3.717916778,4.894463921,16.95531485
,,,,,,,,,
20241002_206,3D model (73304 faces),Mesh,35.72815658,7.318417692,6.086840518,2.411980394,3.674860124,9.343076918,40.44345893
,,,,,,,,,
20241002_209,3D model (48222 faces),Mesh,21.80519223,3.156291991,6.94744399,2.552785661,4.39465833,4.697335902,20.59319886
,,,,,,,,,
20241002_210,3D model (70184 faces),Mesh,32.95859532,7.730980488,6.47861184,2.369511794,4.109100047,6.816100584,46.70872244
,,,,,,,,,
20241002_211,3D model (78086 faces),Mesh,30.60379201,4.376620513,7.707786644,2.199675485,5.508111159,7.441817312,36.56907159
,,,,,,,,,
20241002_213,3D model (28906 faces),Mesh,12.40056307,3.091663749,4.467616676,2.439461947,2.028154729,2.063429756,11.957892
,,,,,,,,,
20241002_214,3D model (42336 faces),Mesh,15.08071422,3.36492202,4.370926702,2.113490244,2.257436459,3.51637196,11.47425679
,,,,,,,,,
20241002_219,3D model (61144 faces),Mesh,28.12657827,8.32059896,4.586503688,2.286862127,2.299641561,5.705833995,26.96656092
,,,,,,,,,
20241002_220,3D model (29998 faces),Mesh,19.59918146,3.690912229,5.989044826,2.649008366,3.34003646,4.064215417,19.247622
,,,,,,,,,
20241002_221,3D model (85546 faces),Mesh,32.11543505,4.79783833,6.94902542,2.318077652,4.630947768,7.774365888,32.97794268
,,,,,,,,,
20241002_225,3D model (27904 faces),Mesh,15.21781843,2.960384271,4.452715485,1.956838261,2.495877224,3.718260421,11.03234506
,,,,,,,,,
20241002_226,3D model (59364 faces),Mesh,27.21767863,5.901439471,5.227382566,2.282801217,2.944581348,7.481020808,27.67800288
,,,,,,,,,
20241002_233,3D model (35286 faces),Mesh,17.24946632,4.427929812,4.430651105,2.268291689,2.162359416,4.796385136,12.3864883
,,,,,,,,,
20241002_234,3D model (27936 faces),Mesh,14.39613008,3.223758169,4.50254087,2.285516585,2.217024286,4.402030112,9.336929181
,,,,,,,,,
20241002_235,3D model (28892 faces),Mesh,21.26253706,5.10499878,4.960740139,2.50324872,2.457491419,5.95316231,16.6331312
,,,,,,,,,
20241002_236,3D model (29240 faces),Mesh,15.27020073,3.882299301,4.518633371,2.365219174,2.153414198,4.571073794,11.80977369
,,,,,,,,,
20241002_237,3D model (25058 faces),Mesh,15.17385271,3.847776994,4.512025337,2.415821713,2.096203624,4.528556538,11.72085397
,,,,,,,,,
20241002_238,3D model (35904 faces),Mesh,16.96565616,3.468703616,4.749573452,2.241196542,2.50837691,4.595013192,12.30780123
,,,,,,,,,
20241002_239,3D model (47664 faces),Mesh,24.0200572,6.155429707,4.671957174,2.386205018,2.285752157,7.838902738,18.00281063
,,,,,,,,,
