"","Date.x","Project.x","Colony_ID","Light","Time_start","Time_end","Chamber","Zub","Run","Sample_Volume_mL","Starting_alk_value","Alk_avg","Temperature_C","Notes.x","start","end","elapsed_mins","elapsed_hours","Delta_TA_raw","Delta_TA_corr","Net_Calcification","Date.y","Project.y","Species","Phenotype","Surface_Area_cm2","Notes.y","Net_Calcification_cm2"
"19","2023-09-16","TCB ","19","Light","14:51","16:01",9,10,7,237,2183.9,2127.1,28.04,NA,14H 51M 0S,16H 1M 0S,70,1.16666666666667,56.8000000000002,62.1000000000002,6.48419811428573,2023-09-16,"TCB","Montipora capitata","Susceptible",28.8298643,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.224912543701627
"20","2023-09-17","TCB ","46","Light","7:45","8:56",1,2,8,235,2189.75,2067.6,27.27,NA,7H 45M 0S,8H 56M 0S,71,1.18333333333333,122.15,127.45,13.0095933802817,2023-09-17,"TCB","Porites compressa","Resistant",27.00664341,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.48171826401294
"21","2023-09-17","TCB ","214","Light","7:46","8:56",2,3,8,238,2189.75,2149.15,27.27,NA,7H 46M 0S,8H 56M 0S,70,1.16666666666667,40.5999999999999,45.8999999999999,4.81289039999999,2023-09-17,"TCB","Montipora capitata","Resistant",23.67001062,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.203332836527472
"22","2023-09-17","TCB ","243","Light","7:46","8:56",3,4,8,236,2189.75,2097.3,27.27,NA,7H 46M 0S,8H 56M 0S,70,1.16666666666667,92.4499999999998,97.7499999999998,10.1635422857143,2023-09-17,"TCB","Porites compressa","Susceptible",26.76841462,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.379684132586641
"23","2023-09-17","TCB ","219","Light","7:46","8:56",4,5,8,235,2189.75,2078.7,27.27,NA,7H 46M 0S,8H 56M 0S,70,1.16666666666667,111.05,116.35,12.0462141428572,2023-09-17,"TCB","Montipora capitata","Susceptible",34.05491212,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.353729121379308
"24","2023-09-17","TCB ","222","Light","7:46","8:57",5,6,8,240,2189.75,2153.85,27.27,NA,7H 46M 0S,8H 57M 0S,71,1.18333333333333,35.9000000000001,41.2000000000001,4.29501295774649,2023-09-17,"TCB","Montipora capitata","Resistant",17.96180056,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.239119287813008
"25","2023-09-17","TCB ","45","Light","7:46","8:57",6,7,8,236,2189.75,2068,27.27,NA,7H 46M 0S,8H 57M 0S,71,1.18333333333333,121.75,127.05,13.0239491830986,2023-09-17,"TCB","Porites compressa","Susceptible",25.85918353,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.503648893940875
"26","2023-09-17","TCB ","213","Light","7:47","8:57",7,8,8,236,2189.75,2124.3,27.27,NA,7H 47M 0S,8H 57M 0S,70,1.16666666666667,65.4499999999998,70.7499999999998,7.35622114285712,2023-09-17,"TCB","Montipora capitata","Susceptible",28.02956805,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.262445041241266
"27","2023-09-17","TCB ","244","Light","7:47","8:57",8,9,8,239,2189.75,2126.3,27.27,NA,7H 47M 0S,8H 57M 0S,70,1.16666666666667,63.4499999999998,68.7499999999998,7.23913928571427,2023-09-17,"TCB","Porites compressa","Resistant",17.20620743,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.42072835139093
"28","2023-09-17","TCB ","220","Light","7:47","8:58",9,10,8,237,2189.75,2138.75,27.27,NA,7H 47M 0S,8H 58M 0S,71,1.18333333333333,51,56.3,5.7957916056338,2023-09-17,"TCB","Montipora capitata","Resistant",21.78168664,"All SAs from group A from file group1_T0_20230912_mesh_measure",0.266085528702372
