Measure temperature,Species,Phenotype,Measure temperature2,Target Temperature,Colony.ID,Time (minutes),Total duration (hours),Sample Volume (mL),Best avg alkalinity,Difference,Change in alkalinity_mean divided by 2,mol CaCO3h-1,umol CaCO3h-1,Frag volume (cm3),Total volume via displacement (cm3),Surface area coral (cm2),Surface area plug (cm2),Actual surface area (cm2),umol CaCO3h-1 cm-2,umol CaCO3h-1 cm-2 - blank
19.5,Montipora capitata,Susceptible,19.5,18,1,68,1.133333333,383.755,2193.3,-3.35,-1.675,-583.048001,-0.583048001,7.184801821,376.5701982,30.47991051,3.117221628,27.36268889,-0.02130814,
23.2,Montipora capitata,Susceptible,23.2,22,1,69,1.15,383.602,2192.55,12.4,6.2,2126.022354,2.126022354,7.184801821,376.4171982,30.47991051,3.117221628,27.36268889,0.077697859,
26.4,Montipora capitata,Susceptible,26.4,25,1,66,1.1,380.347,2150.95,12.15,6.075,2159.368227,2.159368227,7.184801821,373.1621982,30.47991051,3.117221628,27.36268889,0.078916522,
29.4,Montipora capitata,Susceptible,29.4,28,1,67,1.133333333,384.456,2170.45,26.65,13.325,4646.750059,4.646750059,7.184801821,377.2711982,30.47991051,3.117221628,27.36268889,0.169820666,
32.5,Montipora capitata,Susceptible,32.5,31,1,68,1.133333333,382.62,2163.25,24.6,12.3,4268.823819,4.268823819,7.184801821,375.4351982,30.47991051,3.117221628,27.36268889,0.15600893,
35.5,Montipora capitata,Susceptible,35.5,34,1,67,1.116666667,390.877,2167.7,26.65,13.325,4794.870657,4.794870657,7.184801821,383.6921982,30.47991051,3.117221628,27.36268889,0.175233899,
39.4,Montipora capitata,Susceptible,39.4,38,1,67,1.116666667,385.336,2205.25,-18.95,-9.475,-3361.153648,-3.361153648,7.184801821,378.1511982,30.47991051,3.117221628,27.36268889,-0.122837111,
19.5,Montipora capitata,Resistant,19.5,18,2,70,1.166666667,387.06,2177.3,22.2,11.1,3785.712213,3.785712213,9.4070409,377.6529591,39.72481155,3.117221628,36.60758992,0.103413315,
23.2,Montipora capitata,Resistant,23.2,22,2,69,1.15,377.333,2184,25.95,12.975,4376.505003,4.376505003,9.4070409,367.9259591,39.72481155,3.117221628,36.60758992,0.119551847,
26.4,Montipora capitata,Resistant,26.4,25,2,73,1.216666667,383,2131.15,51.1,25.55,8268.204,8.268204,9.4070409,373.5929591,39.72481155,3.117221628,36.60758992,0.225860375,
29.4,Montipora capitata,Resistant,29.4,28,2,67,1.116666667,385.616,2142.65,75.6,37.8,13418.88428,13.41888428,9.4070409,376.2089591,39.72481155,3.117221628,36.60758992,0.366560167,
32.5,Montipora capitata,Resistant,32.5,31,2,68,1.133333333,392.588,2167.8,35.6,17.8,6338.587288,6.338587288,9.4070409,383.1809591,39.72481155,3.117221628,36.60758992,0.173149538,
35.5,Montipora capitata,Resistant,35.5,34,2,70,1.166666667,381.876,2168.45,16.7,8.35,2809.669036,2.809669036,9.4070409,372.4689591,39.72481155,3.117221628,36.60758992,0.076750997,
39.4,Montipora capitata,Resistant,39.4,38,2,68,1.133333333,385.505,2201.85,-24.05,-12.025,-4204.850434,-4.204850434,9.4070409,376.0979591,39.72481155,3.117221628,36.60758992,-0.114862804,
19.5,Montipora capitata,Susceptible,19.5,18,3,69,1.15,387.514,2182.35,11.6,5.8,2009.142151,2.009142151,5.591989547,381.9220105,24.76646419,3.117221628,21.64924256,0.09280427,
23.2,Montipora capitata,Susceptible,23.2,22,3,70,1.166666667,382.47,2177.85,30.8,15.4,5189.964912,5.189964912,5.591989547,376.8780105,24.76646419,3.117221628,21.64924256,0.23972963,
26.4,Montipora capitata,Susceptible,26.4,25,3,69,1.15,385.644,2184.4,18.2,9.1,3137.063036,3.137063036,5.591989547,380.0520105,24.76646419,3.117221628,21.64924256,0.144904055,
29.4,Montipora capitata,Susceptible,29.4,28,3,69,1.15,375.471,2177.1,20.25,10.125,3398.339047,3.398339047,5.591989547,369.8790105,24.76646419,3.117221628,21.64924256,0.156972653,
32.5,Montipora capitata,Susceptible,32.5,31,3,69,1.15,384.801,2174.35,7.25,3.625,1246.922545,1.246922545,5.591989547,379.2090105,24.76646419,3.117221628,21.64924256,0.05759659,
35.5,Montipora capitata,Susceptible,35.5,34,3,70,1.166666667,380,2186.55,7,3.5,1171.92,1.17192,5.591989547,374.4080105,24.76646419,3.117221628,21.64924256,0.054132148,
39.4,Montipora capitata,Susceptible,39.4,38,3,67,1.116666667,374.692,2206.8,-27.35,-13.675,-4717.059105,-4.717059105,5.591989547,369.1000105,24.76646419,3.117221628,21.64924256,-0.217885642,
19.5,Montipora capitata,Resistant,19.5,18,4,68,1.133333333,382.69,2161.85,28.1,14.05,4877.068894,4.877068894,8.954781811,373.7352182,37.43827607,3.117221628,34.32105444,0.142101371,
23.2,Montipora capitata,Resistant,23.2,22,4,68,1.133333333,379.777,2172.5,32.45,16.225,5589.189279,5.589189279,8.954781811,370.8222182,37.43827607,3.117221628,34.32105444,0.162850162,
26.4,Montipora capitata,Resistant,26.4,25,4,66,1.1,382.973,2142.15,20.95,10.475,3749.06196,3.74906196,8.954781811,374.0182182,37.43827607,3.117221628,34.32105444,0.109235046,
29.4,Montipora capitata,Resistant,29.4,28,4,67,1.116666667,384.573,2141.8,55.3,27.65,9789.116298,9.789116298,8.954781811,375.6182182,37.43827607,3.117221628,34.32105444,0.285221898,
32.5,Montipora capitata,Resistant,32.5,31,4,68,1.133333333,381.126,2143.8,44.05,22.025,7614.124018,7.614124018,8.954781811,372.1712182,37.43827607,3.117221628,34.32105444,0.221849944,
35.5,Montipora capitata,Resistant,35.5,34,4,67,1.116666667,384.587,2167.1,27.25,13.625,4823.926402,4.823926402,8.954781811,375.6322182,37.43827607,3.117221628,34.32105444,0.140552978,
39.4,Montipora capitata,Resistant,39.4,38,4,67,1.116666667,378.471,2218.1,-31.8,-15.9,-5539.866438,-5.539866438,8.954781811,369.5162182,37.43827607,3.117221628,34.32105444,-0.161413061,
19.5,Montipora capitata,Resistant,19.5,18,12,71,1.183333333,379.353,2164.35,2.95,1.475,486.095454,0.486095454,7.524321089,371.8286789,29.03810725,3.117221628,25.92088563,0.018753042,
23.2,Montipora capitata,Resistant,23.2,22,12,74,1.233333333,384.98,2187.25,15.9,7.95,2551.043958,2.551043958,7.524321089,377.4556789,29.03810725,3.117221628,25.92088563,0.098416543,
26.4,Montipora capitata,Resistant,26.4,25,12,69,1.15,382.755,2157.2,34.55,17.275,5910.635842,5.910635842,7.524321089,375.2306789,29.03810725,3.117221628,25.92088563,0.228025999,
