"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Species","Phenotype","Run","Chamber","Chamber_Volume_mL","Surface_Area_cm2","Notes"
"1","2",1.52839381561942,0.00439492383034753,-0.589931069219032,347.763436778053,0.938462746400387,2024-05-09,"CAREER - Phys","Montipora capitata","Resistant",1,1,233.879,17.01745478,"Chamber vol for May 2024 from https://docs.google.com/spreadsheets/d/13gIjPfTB01INNaudqHc24-o7gXok3zQx2ttnW5mRKAw/edit?gid=0#gid=0 and cross-referencing round and zub # to Run and light zub # from https://docs.google.com/spreadsheets/d/13g-BwexGEIjBTK7elHVnbd9stiIZstRwJwRray-T18Y/edit?gid=0#gid=0. SA for May 2024 from NSF_Career_May_Phys_mesh_measure"
"2","241",2.66061562451843,0.0070641542535075,-1.16180036150875,376.636116517045,1.49881526300968,2024-05-09,"CAREER - Phys","Porites compressa","Susceptible",2,1,236.392,17.98665129,NA
"3","240",2.78761126876545,0.00773045004990846,-1.17888076597362,360.601420456557,1.60873050279184,2024-05-09,"CAREER - Phys","Porites compressa","Resistant",3,1,235.448,17.9693712,NA
"4","233",2.23152566813447,0.0049774496675854,-0.886595157367733,448.3271187385,1.34493051076674,2024-05-09,"CAREER - Phys","Porites compressa","Susceptible",4,1,234.926,17.54015736,NA
"5","226",2.89515580054594,0.00550779039485352,-1.13315160273303,525.647418110024,1.76200419781291,2024-05-09,"CAREER - Phys","Porites compressa","Resistant",1,2,242.62,10.29816918,NA
"6","221",1.34244790693675,0.00268511630423153,-0.582647928601664,499.958942121487,0.759799978335087,2024-05-09,"CAREER - Phys","Montipora capitata","Susceptible",2,2,239.478,15.34615645,NA
"7","19",2.11084287324722,0.0056076925024038,-0.786560171041997,376.419154998671,1.32428270220522,2024-05-09,"CAREER - Phys","Montipora capitata","Susceptible",3,2,237.994,17.02567425,"No SA values recorded for this frag; avged the Mcap SAs from other frags to get SA for 213"
"8","201",1.79094367177035,0.00655255025208888,-0.725454638911036,273.32009719413,1.06548903285932,2024-05-09,"CAREER - Phys","Montipora capitata","Susceptible",4,2,241.852,14.80356317,NA
"9","210",1.14933507952617,0.00298712578829222,-0.46018547435996,384.762866040288,0.689149605166207,2024-05-09,"CAREER - Phys","Montipora capitata","Resistant",1,3,229.367,23.43746972,NA
"10","242",1.62449571911729,0.00205738424838232,-0.611266161857517,789.592765860143,1.01322955725977,2024-05-09,"CAREER - Phys","Porites compressa","Resistant",2,3,235.781,18.86977768,NA
"11","239",2.18888825711073,0.00441902566171648,-0.848254825143205,495.332778008919,1.34063343196752,2024-05-09,"CAREER - Phys","Porites compressa","Susceptible",3,3,239.916,12.59344577,NA
"12","28",0.971334565794665,0.00261103914464488,-0.504752525676425,372.010725226708,0.466582040118241,2024-05-09,"CAREER - Phys","Porites compressa","Susceptible",4,3,242.077,20.74603859,NA
