Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
2,1,1,0,301,62.22298333333333,57.59398333333334,65.555,80.555,57.401983333333334,64.48098333333331,-0.6733205384435351
2,1,2,118,321,57.39409062500002,51.78709062500002,81.554,97.555,51.563090625,57.39409062500002,-0.2676182847501991
2,1,3,201,292,2.6063840830449863,6.931384083044975,0,14.555,2.1563840830449976,6.931384083044975,0.39902203632969074
2,1,4,373,181,7.882077777777795,14.544077777777801,15.555,24.555,7.882077777777795,14.555077777777797,0.7212218873854177
2,1,5,734,181,15.865016666666662,24.82901666666666,25.554,34.555,15.865016666666662,24.94601666666665,1.0533920736357834
2,1,6,1089,181,26.79650555555557,36.85050555555557,35.555,44.555,26.741505555555563,36.85050555555557,1.1526572399288635
2,1,7,1360,181,38.83858333333333,49.029583333333335,45.555,54.555,38.80458333333331,49.029583333333335,1.1510917232638465
2,1,8,1647,181,50.755811111111115,61.08081111111113,55.555,64.555,50.755811111111115,61.08081111111113,1.1286466495710232
