Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
44,2,1,0,301,37.45148666666665,28.076486666666653,189.23,204.23,28.076486666666653,38.023486666666656,-0.7308163081753637
44,2,2,118,200,4.2141871921182315,1.3091871921182303,112.288,122.23,1.3091871921182303,4.2141871921182315,-0.24674475794056686
44,2,3,201,281,5.188267857142847,3.581267857142848,123.23,137.231,3.3732678571428494,5.188267857142847,-0.0833879417048987
44,2,4,373,181,7.234805555555539,8.529805555555555,138.23,147.23,7.084805555555562,8.529805555555555,0.1080757414539818
44,2,5,734,181,11.025455555555567,14.19645555555556,148.23,157.23,10.986455555555551,14.19645555555556,0.33642299506756995
44,2,6,1089,181,16.79717222222223,21.29517222222222,158.231,167.23,16.703172222222207,21.29517222222222,0.5032129754593757
44,2,7,1360,181,23.800777777777768,28.525777777777762,168.23,177.23,23.788777777777767,28.557777777777773,0.5391357403140815
44,2,8,1647,201,30.391620000000017,35.65762000000001,178.23,188.23,30.391620000000017,35.65762000000001,0.5372979215875248
