Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope
219,5,1,0,300,-14.772643333333349,-14.872643333333343,491.893,506.843,-15.004643333333348,-12.342643333333342,-0.2566285806307697
219,5,2,163,219,-44.14287214611872,-42.88087214611872,424.936,435.843,-44.45487214611873,-42.79387214611873,0.15991402817374425
219,5,3,287,180,-42.341950000000026,-40.186950000000024,436.893,445.843,-42.341950000000026,-40.05295000000001,0.2405675686708144
219,5,4,538,180,-39.19165000000001,-36.17165,446.892,455.843,-39.40765000000002,-36.14965000000001,0.37392624237680505
219,5,5,778,180,-35.07294999999999,-30.873950000000008,456.892,465.843,-35.24795,-30.872950000000003,0.4305265672549362
219,5,6,1051,180,-29.938577777777795,-24.779577777777774,466.893,475.843,-29.938577777777795,-24.779577777777774,0.5576299879386034
219,5,7,1297,280,-23.360910714285723,-16.275910714285715,476.893,490.843,-23.539910714285725,-16.275910714285715,0.4950755227500057
