sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
244,244_S272_L001_R1_001.fastq.gz,244_S272_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,compressa,21.4515,157.7966,20240513,2,Kbay,,Resistant,,,,
247,247_S280_L001_R1_001.fastq.gz,247_S280_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,compressa,21.4515,157.7966,20240513,2,Kbay,,Susceptible,,,,
248,248_S264_L001_R1_001.fastq.gz,248_S264_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,poritidae,porites,compressa,21.4515,157.7966,20240513,2,Kbay,,Resistant,,,,
DL01,DL01_S106_L001_R1_001.fastq.gz,DL01_S106_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL02,DL02_S107_L001_R1_001.fastq.gz,DL02_S107_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL03,DL03_S195_L001_R1_001.fastq.gz,DL03_S195_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL04,DL04_S196_L001_R1_001.fastq.gz,DL04_S196_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL05,DL05_S189_L001_R1_001.fastq.gz,DL05_S189_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL06,DL06_S190_L001_R1_001.fastq.gz,DL06_S190_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
DL07,DL07_S176_L001_R1_001.fastq.gz,DL07_S176_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,2.6,DL,Sept_2022,,,,,
