sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,origin,timepoint,Phenotype,,,,
RC08,RC08_S149_L001_R1_001.fastq.gz,RC08_S149_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC09,RC09_S150_L001_R1_001.fastq.gz,RC09_S150_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC10,RC10_S151_L001_R1_001.fastq.gz,RC10_S151_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.9,RC,Sept_2022,,,,,
RC100,RC100_S213_L001_R1_001.fastq.gz,RC100_S213_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC101,RC101_S206_L001_R1_001.fastq.gz,RC101_S206_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC102,RC102_S207_L001_R1_001.fastq.gz,RC102_S207_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC103,RC103_S294_L001_R1_001.fastq.gz,RC103_S294_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC104,RC104_S279_L001_R1_001.fastq.gz,RC104_S279_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC105,RC105_S241_L001_R1_001.fastq.gz,RC105_S241_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC106,RC106_S226_L001_R1_001.fastq.gz,RC106_S226_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC107,RC107_S227_L001_R1_001.fastq.gz,RC107_S227_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC108,RC108_S221_L001_R1_001.fastq.gz,RC108_S221_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC109,RC109_S214_L001_R1_001.fastq.gz,RC109_S214_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.9,RC,Sept_2024,,,,,
RC51,RC51_S237_L001_R1_001.fastq.gz,RC51_S237_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC52,RC52_S230_L001_R1_001.fastq.gz,RC52_S230_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC54,RC54_S185_L001_R1_001.fastq.gz,RC54_S185_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC55,RC55_S265_L001_R1_001.fastq.gz,RC55_S265_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC56,RC56_S258_L001_R1_001.fastq.gz,RC56_S258_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC57,RC57_S251_L001_R1_001.fastq.gz,RC57_S251_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC58,RC58_S244_L001_R1_001.fastq.gz,RC58_S244_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC59,RC59_S245_L001_R1_001.fastq.gz,RC59_S245_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RC60,RC60_S238_L001_R1_001.fastq.gz,RC60_S238_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.9,RC,May_2024,,,,,
RF01,RF01_S200_L001_R1_001.fastq.gz,RF01_S200_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF02,RF02_S138_L001_R1_001.fastq.gz,RF02_S138_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF03,RF03_S139_L001_R1_001.fastq.gz,RF03_S139_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF04,RF04_S132_L001_R1_001.fastq.gz,RF04_S132_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF05,RF05_S133_L001_R1_001.fastq.gz,RF05_S133_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF06,RF06_S126_L001_R1_001.fastq.gz,RF06_S126_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF07,RF07_S127_L001_R1_001.fastq.gz,RF07_S127_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF08,RF08_S112_L001_R1_001.fastq.gz,RF08_S112_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF09,RF09_S113_L001_R1_001.fastq.gz,RF09_S113_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF10,RF10_S146_L001_R1_001.fastq.gz,RF10_S146_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,0.7,RF,Sept_2022,,,,,
RF100,RF100_S270_L001_R1_001.fastq.gz,RF100_S270_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF101,RF101_S218_L001_R1_001.fastq.gz,RF101_S218_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF102,RF102_S203_L001_R1_001.fastq.gz,RF102_S203_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF103,RF103_S204_L001_R1_001.fastq.gz,RF103_S204_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF104,RF104_S291_L001_R1_001.fastq.gz,RF104_S291_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF105,RF105_S284_L001_R1_001.fastq.gz,RF105_S284_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF106,RF106_S285_L001_R1_001.fastq.gz,RF106_S285_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF107,RF107_S278_L001_R1_001.fastq.gz,RF107_S278_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF108,RF108_S263_L001_R1_001.fastq.gz,RF108_S263_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF109,RF109_S225_L001_R1_001.fastq.gz,RF109_S225_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,0.7,RF,Sept_2024,,,,,
RF51,RF51_S183_L001_R1_001.fastq.gz,RF51_S183_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF52,RF52_S168_L001_R1_001.fastq.gz,RF52_S168_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF53,RF53_S234_L001_R1_001.fastq.gz,RF53_S234_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF54,RF54_S235_L001_R1_001.fastq.gz,RF54_S235_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF55,RF55_S222_L001_R1_001.fastq.gz,RF55_S222_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF56,RF56_S215_L001_R1_001.fastq.gz,RF56_S215_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF57,RF57_S208_L001_R1_001.fastq.gz,RF57_S208_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF58,RF58_S169_L001_R1_001.fastq.gz,RF58_S169_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF59,RF59_S249_L001_R1_001.fastq.gz,RF59_S249_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
RF60,RF60_S242_L001_R1_001.fastq.gz,RF60_S242_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,0.7,RF,May_2024,,,,,
SL01,SL01_S147_L001_R1_001.fastq.gz,SL01_S147_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL02,SL02_S140_L001_R1_001.fastq.gz,SL02_S140_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL03,SL03_S141_L001_R1_001.fastq.gz,SL03_S141_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL04,SL04_S134_L001_R1_001.fastq.gz,SL04_S134_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL05,SL05_S135_L001_R1_001.fastq.gz,SL05_S135_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL06,SL06_S120_L001_R1_001.fastq.gz,SL06_S120_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL07,SL07_S121_L001_R1_001.fastq.gz,SL07_S121_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL08,SL08_S154_L001_R1_001.fastq.gz,SL08_S154_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL09,SL09_S155_L001_R1_001.fastq.gz,SL09_S155_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL10,SL10_S148_L001_R1_001.fastq.gz,SL10_S148_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20220901,1.3,SL,Sept_2022,,,,,
SL100,SL100_S211_L001_R1_001.fastq.gz,SL100_S211_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL101,SL101_S212_L001_R1_001.fastq.gz,SL101_S212_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL102,SL102_S205_L001_R1_001.fastq.gz,SL102_S205_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL103,SL103_S292_L001_R1_001.fastq.gz,SL103_S292_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL104,SL104_S293_L001_R1_001.fastq.gz,SL104_S293_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL105,SL105_S286_L001_R1_001.fastq.gz,SL105_S286_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL106,SL106_S271_L001_R1_001.fastq.gz,SL106_S271_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL107,SL107_S233_L001_R1_001.fastq.gz,SL107_S233_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL108,SL108_S219_L001_R1_001.fastq.gz,SL108_S219_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL109,SL109_S220_L001_R1_001.fastq.gz,SL109_S220_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240901,1.3,SL,Sept_2024,,,,,
SL52,SL52_S243_L001_R1_001.fastq.gz,SL52_S243_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL53,SL53_S228_L001_R1_001.fastq.gz,SL53_S228_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL54,SL54_S229_L001_R1_001.fastq.gz,SL54_S229_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL55,SL55_S223_L001_R1_001.fastq.gz,SL55_S223_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL56,SL56_S216_L001_R1_001.fastq.gz,SL56_S216_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL57,SL57_S177_L001_R1_001.fastq.gz,SL57_S177_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL58,SL58_S257_L001_R1_001.fastq.gz,SL58_S257_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL59,SL59_S250_L001_R1_001.fastq.gz,SL59_S250_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
SL60,SL60_S236_L001_R1_001.fastq.gz,SL60_S236_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,pocilloporidae,pocillopora,damicornis,23.57,151.55,20240501,1.3,SL,May_2024,,,,,
