"","ColonyID","Run.x","Interval","Temperature","N_points","O2_start","O2_end","DeltaT_min","DeltaT_max","O2_min","O2_max","Slope","Avg_Blank_Slope","Blank_Corrected_Slope","X","weight1.g","weight2.g","delta.mass.g","surface.area.cm2","Date","Project","Run.y","Chamber","Measured_Temperature","Chamber_Volume_mL","Surface_Area_cm2","Notes","Species","Phenotype","Chamber_Volume_L","Slope_norm"
"1","1",1,1,18,120,257.684,282.06,0,59.498,257.684,282.06,0.441923752034725,-0.0675444015977468,0.509468153632472,1,4.07,4.7373,0.6673,23.1124907045749,2025-10-07,"CAREER",1,8,18,336.359,23.112491,NA,"Montipora capitata","Susceptible",0.336359,0.444861267990675
"2","12",1,1,18,120,262.73,269.695,0,59.495,262.394,269.695,0.146332314646444,-0.0675444015977468,0.213876716244191,5,1.5257,1.7165,0.1908,6.60851674873804,2025-10-07,"CAREER",1,10,18,339.423,6.608517,NA,"Montipora capitata","Resistant",0.339423,0.659101091072649
"3","2",1,1,18,120,263.082,281.804,0,59.509,263.082,281.804,0.205656053432457,-0.0675444015977468,0.273200455030204,2,1.5416,1.9,0.3584,12.4134821946945,2025-10-07,"CAREER",1,6,18,334.618,12.413482,NA,"Montipora capitata","Resistant",0.334618,0.441863717661923
"4","202",1,1,18,121,243.129,250.98,0,60.002,243.129,250.98,0.144880163772628,-0.0675444015977468,0.212424565370375,9,2.7791,3.1328,0.3537,12.2506937842172,2025-10-07,"CAREER",1,1,18,339.474,12.250694,NA,"Montipora capitata","Resistant",0.339474,0.353184651455969
"5","240",1,1,18,120,257.309,273.547,0,59.509,256.968,273.547,0.312204478588777,-0.0675444015977468,0.379748880186524,37,3.2409,3.6371,0.3962,13.7227166449162,2025-10-07,"CAREER",1,2,18,335.219,13.722717,NA,"Porites compressa","Resistant",0.335219,0.556591132038303
"6","243",1,1,18,120,251.057,269.368,0,59.497,251.057,269.368,0.337470695779334,-0.0675444015977468,0.405015097377081,40,2.286,2.5232,0.2372,8.21561935430118,2025-10-07,"CAREER",1,5,18,337.783,8.215619,NA,"Porites compressa","Susceptible",0.337783,0.999125266671701
"7","27",1,1,18,120,257.732,284.894,0,59.497,257.732,284.894,0.52425773468171,-0.0675444015977468,0.591802136279457,21,2.6989,2.979,0.2801,9.70149654780675,2025-10-07,"CAREER",1,9,18,333.244,9.701497,NA,"Porites compressa","Susceptible",0.333244,1.21969539522372
"8","3",1,1,18,120,192.701,194.683,0,59.496,192.226,194.98,0.0415268141637649,-0.0675444015977468,0.109071215761512,3,0.6201,0.8818,0.2617,9.06419723870413,2025-10-07,"CAREER",1,3,18,338.008,9.064197,NA,"Montipora capitata","Susceptible",0.338008,0.244038887457315
"9","44",1,1,18,120,207.85,218.664,0,59.502,207.744,218.704,0.200975059953581,-0.0675444015977468,0.268519461551328,27,2.0092,2.4049,0.3957,13.705398728908,2025-10-07,"CAREER",1,7,18,342.44,13.705399,NA,"Porites compressa","Resistant",0.34244,0.402550000473995
"10","1",2,1,22,122,235.198,274.428,94.149,154.648,233.496,274.428,0.610816844919784,-0.0664344953195769,0.677251340239361,1,4.07,4.7373,0.6673,23.1124907045749,2025-10-07,"CAREER",2,8,21.8,340.365,23.112491,"Temp probe fell out at beginning of run, put back in at 10:12","Montipora capitata","Susceptible",0.340365,0.598410587678313
"11","12",2,1,22,121,237.55,252.402,94.205,154.212,237.55,252.402,0.227485038168978,-0.0664344953195769,0.293919533488555,5,1.5257,1.7165,0.1908,6.60851674873804,2025-10-07,"CAREER",2,10,21.8,340.89,6.608517,"Temp probe fell out at beginning of run, put back in at 10:12","Montipora capitata","Resistant",0.34089,0.909682764654079
"12","2",2,1,22,122,245.386,266.071,94.134,154.642,245.386,266.071,0.317430284111602,-0.0664344953195769,0.383864779431179,2,1.5416,1.9,0.3584,12.4134821946945,2025-10-07,"CAREER",2,6,21.8,330.424,12.413482,NA,"Montipora capitata","Resistant",0.330424,0.613066344589328
"13","202",2,1,22,122,215.606,240.949,94.051,154.551,215.606,240.949,0.311517353098307,-0.0664344953195769,0.377951848417884,9,2.7791,3.1328,0.3537,12.2506937842172,2025-10-07,"CAREER",2,1,21.8,343.731,12.250694,NA,"Montipora capitata","Resistant",0.343731,0.636276291433705
"14","240",2,1,22,122,237.084,260.017,94.004,154.508,236.994,260.017,0.364238584149943,-0.0664344953195769,0.43067307946952,37,3.2409,3.6371,0.3962,13.7227166449162,2025-10-07,"CAREER",2,2,21.8,337.323,13.722717,NA,"Porites compressa","Resistant",0.337323,0.635191728919288
"15","243",2,1,22,122,227.688,258.155,94.123,154.63,227.688,258.155,0.45045273276363,-0.0664344953195769,0.516887228083207,40,2.286,2.5232,0.2372,8.21561935430118,2025-10-07,"CAREER",2,5,21.8,335.526,8.215619,NA,"Porites compressa","Susceptible",0.335526,1.26658086221375
"16","27",2,1,22,122,237.391,276.715,94.156,154.664,236.901,276.715,0.665918326625026,-0.0664344953195769,0.732352821944603,21,2.6989,2.979,0.2801,9.70149654780675,2025-10-07,"CAREER",2,9,21.8,330.926,9.701497,NA,"Porites compressa","Susceptible",0.330926,1.4988693059503
"17","3",2,1,22,122,175.598,183.81,94.103,154.596,175.598,183.81,0.0966225500487807,-0.0664344953195769,0.163057045368358,3,0.6201,0.8818,0.2617,9.06419723870413,2025-10-07,"CAREER",2,3,21.8,334.787,9.064197,NA,"Montipora capitata","Susceptible",0.334787,0.361351662657823
"18","44",2,1,22,122,192.432,208.71,94.143,154.636,192.432,208.71,0.256644010915747,-0.0664344953195769,0.323078506235324,27,2.0092,2.4049,0.3957,13.705398728908,2025-10-07,"CAREER",2,7,21.8,342.247,13.705399,NA,"Porites compressa","Resistant",0.342247,0.484069022918522
"19","1",3,1,25,122,222.056,281.307,184.243,244.748,222.056,281.307,1.01799025660814,-0.0755905146726627,1.09358077128081,1,4.07,4.7373,0.6673,23.1124907045749,2025-10-07,"CAREER",3,8,24.7,341.694,23.112491,NA,"Montipora capitata","Susceptible",0.341694,0.970046870772069
"20","12",3,1,25,121,225.315,245.271,184.28,244.278,224.828,245.271,0.374239122404788,-0.0755905146726627,0.449829637077451,5,1.5257,1.7165,0.1908,6.60851674873804,2025-10-07,"CAREER",3,10,24.7,340.545,6.608517,NA,"Montipora capitata","Resistant",0.340545,1.3908164834821
"21","2",3,1,25,122,229.858,259.419,184.198,244.691,229.858,259.419,0.489433823522973,-0.0755905146726627,0.565024338195636,2,1.5416,1.9,0.3584,12.4134821946945,2025-10-07,"CAREER",3,6,24.7,330.429,12.413482,NA,"Montipora capitata","Resistant",0.330429,0.902407998581291
"22","202",3,1,25,122,208.057,235.299,184.193,244.686,208.057,235.299,0.485207590434508,-0.0755905146726627,0.56079810510717,9,2.7791,3.1328,0.3537,12.2506937842172,2025-10-07,"CAREER",3,1,24.7,337.488,12.250694,NA,"Montipora capitata","Resistant",0.337488,0.926948143003489
"23","240",3,1,25,122,222.173,247.854,184.21,244.709,221.505,247.854,0.425777404455243,-0.0755905146726627,0.501367919127906,37,3.2409,3.6371,0.3962,13.7227166449162,2025-10-07,"CAREER",3,2,24.7,337.323,13.722717,NA,"Porites compressa","Resistant",0.337323,0.739458235392349
"24","243",3,1,25,122,217.672,253.923,184.189,244.697,217.672,253.923,0.609942513141075,-0.0755905146726627,0.685533027813737,40,2.286,2.5232,0.2372,8.21561935430118,2025-10-07,"CAREER",3,5,24.7,337.656,8.215619,NA,"Porites compressa","Susceptible",0.337656,1.69049463021889
"25","27",3,1,25,121,223.223,272.393,184.256,244.264,222.772,272.393,0.822842003625654,-0.0755905146726627,0.898432518298317,21,2.6989,2.979,0.2801,9.70149654780675,2025-10-07,"CAREER",3,9,24.7,330.731,9.701497,NA,"Porites compressa","Susceptible",0.330731,1.83769267191975
"26","3",3,1,25,122,167.373,176.851,184.198,244.696,166.618,176.851,0.167453672184266,-0.0755905146726627,0.243044186856928,3,0.6201,0.8818,0.2617,9.06419723870413,2025-10-07,"CAREER",3,3,24.7,344.039,9.064197,NA,"Montipora capitata","Susceptible",0.344039,0.55349642202198
"27","44",3,1,25,122,182.206,199.174,184.236,244.735,182.147,199.174,0.289270335597167,-0.0755905146726627,0.36486085026983,27,2.0092,2.4049,0.3957,13.705398728908,2025-10-07,"CAREER",3,7,24.7,343.44,13.705399,NA,"Porites compressa","Resistant",0.34344,0.548577153697977
"28","1",4,1,28,125,219.686,289.304,273.748,335.748,219.686,289.304,1.18179345661451,-0.0915444887292023,1.27333794534371,1,4.07,4.7373,0.6673,23.1124907045749,2025-10-07,"CAREER",4,8,27.8,340.503,23.112491,NA,"Montipora capitata","Susceptible",0.340503,1.12556122819999
