"","Colony_ID","Pmax","alpha","Rd","Ik","Pgross","Date","Project","Timepoint","Run","Chamber","Species","Phenotype","Chamber_Volume_mL","Notes","...11","...12","...13","X","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2"
"1","1",1.06130402260194,0.00315215999284644,-0.409613760196077,336.691038846532,0.651690262405866,2023-09-14,"CAREER - Phys","September_2023",2,3,"Montipora capitata","Susceptible",244,NA,NA,NA,NA,1,2.93,3.448,0.518,12.302676257176
"2","19",1.92171874539522,0.00432336862552014,-0.739187421066339,444.495695798788,1.18253132432888,2023-09-14,"CAREER - Phys","September_2023",2,1,"Montipora capitata","Susceptible",244,NA,NA,NA,NA,5,2.762,3.115,0.353,8.38387011348096
"3","2",1.72107183269977,0.00685108966669223,-0.592148139505789,251.211400876428,1.12892369319399,2023-09-14,"CAREER - Phys","September_2023",2,7,"Montipora capitata","Resistant",244,NA,NA,NA,NA,2,2.856,3.267,0.411,9.76138984884044
"4","20",2.87253977055977,0.0111185197823848,-0.87413360635136,258.356312421261,1.99840616420841,2023-09-14,"CAREER - Phys","September_2023",2,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,6,2.054,2.405,0.351,8.33636943295132
"5","201",1.40155203405351,0.00474219092009697,-0.507246222532585,295.549474424123,0.894305811520921,2023-09-15,"CAREER - Phys","September_2023",5,9,"Montipora capitata","Susceptible",244,NA,NA,NA,NA,17,2.65,3.025,0.375,8.90637759930697
"6","202",1.46716458072808,0.00462723284276363,-0.548102972228799,317.071699346733,0.91906160849928,2023-09-15,"CAREER - Phys","September_2023",5,3,"Montipora capitata","Resistant",243,NA,NA,NA,NA,18,3.236,3.66,0.424,10.0701442722831
"7","203",2.03399800039693,0.00608964651773452,-0.682443200126046,334.00920635926,1.35155480027089,2023-09-15,"CAREER - Phys","September_2023",5,1,"Montipora capitata","Susceptible",243,NA,NA,NA,NA,19,3.481,3.945,0.464,11.0201578828758
"8","204",3.11653435207515,0.00587894893442952,-0.757181663331256,530.117608918739,2.35935268874389,2023-09-15,"CAREER - Phys","September_2023",5,5,"Montipora capitata","Resistant",244,NA,NA,NA,NA,20,2.606,2.988,0.382,9.0726299811607
"9","205",2.06382358243544,0.00471602605968077,-0.597367650853063,437.619206577315,1.46645593158238,2023-09-15,"CAREER - Phys","September_2023",4,8,"Montipora capitata","Susceptible",246,NA,NA,NA,NA,21,1.549,1.82,0.271,6.43634221176584
"10","206",2.18220122199286,0.00649147034436805,-0.725596676260137,336.164398237777,1.45660454573272,2023-09-15,"CAREER - Phys","September_2023",4,5,"Montipora capitata","Resistant",246,NA,NA,NA,NA,22,1.029,1.231,0.202,4.79756873349336
