Colony_ID,Run,Interval,Light_Value,N_points,O2_start,O2_end,DeltaT_min,DeltaT_max,O2_min,O2_max,Slope,Avg_Blank_Slope,Blank_Corrected_Slope
1,2,1,0,473,144.148,136.558,222.372,245.98,136.528,144.367,-0.3378404937185798,0.015780983432084797,-0.3536214771506646
1,2,2,150,199,143.691,144.037,132.058,141.964,143.499,144.157,0.09033387827346141,0.040988229070211664,0.04934564920324975
1,2,3,275,180,144.224,146.401,143.014,151.964,144.132,146.454,0.2832799801044757,0.027247842848082356,0.25603213725639334
1,2,4,530,180,146.719,150.454,153.014,161.963,146.719,150.454,0.4584415278431143,0.013602946642685836,0.44483858120042846
1,2,5,730,180,150.89,155.299,163.014,171.964,150.89,155.325,0.5196737176262313,9.180493004173838e-4,0.5187556683258139
1,2,6,945,180,155.943,160.694,173.014,181.963,155.816,160.775,0.5366035662299189,-0.011676276127608137,0.548279842357527
1,2,7,1190,383,161.373,171.744,183.014,202.113,161.358,171.744,0.5394872332032274,-0.023837521393898328,0.5633247545971257
19,2,1,0,475,216.104,205.346,223.099,246.8,205.236,216.104,-0.4465434131441706,0.015780983432084797,-0.4623243965762554
19,2,2,150,201,227.372,215.187,132.834,142.833,214.86,227.372,0.024212185481913628,0.040988229070211664,-0.016776043588298036
19,2,3,275,181,215.179,217.295,143.833,152.834,215.076,217.379,0.2608195891325768,0.027247842848082356,0.23357174628449445
19,2,4,530,181,217.497,221.384,153.833,162.834,217.438,221.418,0.41396699827229655,0.013602946642685836,0.4003640516296107
19,2,5,730,181,221.901,226.953,163.834,172.834,221.819,226.953,0.5616903713003181,9.180493004173838e-4,0.5607723219999007
19,2,6,945,181,227.743,233.502,173.833,182.833,227.666,233.55,0.6617726128484835,-0.011676276127608137,0.6734488889760917
19,2,7,1190,382,234.318,247.124,183.834,202.884,234.144,247.204,0.6830189400102807,-0.023837521393898328,0.706856461404179
2,2,1,0,468,148.726,139.599,222.378,245.732,139.599,148.816,-0.3949855322858022,0.015780983432084797,-0.41076651571788697
2,2,2,150,195,173.211,153.445,132.043,141.749,150.763,173.485,0.3185900964258838,0.040988229070211664,0.27760186735567216
2,2,3,275,180,153.714,158.122,142.799,151.749,153.714,158.164,0.4994258487703822,0.027247842848082356,0.47217800592229986
2,2,4,530,180,158.738,164.684,152.799,161.749,158.653,164.684,0.6872457353034961,0.013602946642685836,0.6736427886608103
2,2,5,730,180,165.497,172.077,162.799,171.749,165.332,172.077,0.745486313832559,9.180493004173838e-4,0.7445682645321416
2,2,6,945,180,172.853,179.641,172.799,181.749,172.853,179.641,0.7624752698163814,-0.011676276127608137,0.7741515459439895
2,2,7,1190,387,180.272,195.035,182.799,202.099,180.272,195.035,0.7600257083788872,-0.023837521393898328,0.7838632297727854
20,2,1,0,471,188.982,177.151,222.348,245.844,177.151,188.982,-0.4941757737348345,0.015780983432084797,-0.50995675716691935
20,2,2,150,197,189.406,193.484,132.029,141.827,189.288,193.484,0.43768310336533195,0.040988229070211664,0.3966948742951203
20,2,3,275,180,193.99,201.099,142.877,151.827,193.99,201.099,0.7970831814536664,0.027247842848082356,0.7698353386055841
20,2,4,530,180,201.917,210.642,152.877,161.827,201.917,210.899,1.0401493777814739,0.013602946642685836,1.026546431138788
20,2,5,730,180,211.994,221.708,162.877,171.827,211.994,221.708,1.1085127970578899,9.180493004173838e-4,1.1075947477574726
20,2,6,945,180,223.09,232.86,172.877,181.827,222.814,232.9,1.1348450468407383,-0.011676276127608137,1.1465213229683464
20,2,7,1190,385,234.254,256.89,182.877,202.077,234.129,256.89,1.1737833610689026,-0.023837521393898328,1.197620882462801
201,5,1,0,600,181.988,172.068,403.481,433.437,171.967,181.997,-0.30589432134642275,0.015780983432084797,-0.32167530477850753
201,5,2,150,166,176.589,177.887,310.494,318.736,176.428,177.904,0.16675711638445093,0.040988229070211664,0.12576888731423927
201,5,3,275,180,178.149,180.781,319.786,328.737,178.016,180.812,0.3302753953543522,0.027247842848082356,0.30302755250626984
201,5,4,530,240,181.248,186.552,329.786,341.736,181.199,186.712,0.4645804797003104,0.013602946642685836,0.45097753305762456
201,5,5,730,180,187.148,191.739,342.787,351.736,187.148,191.793,0.5244070677327972,9.180493004173838e-4,0.5234890184323798
201,5,6,945,180,192.179,197.235,352.787,361.737,192.179,197.235,0.5432314275789567,-0.011676276127608137,0.5549077037065648
201,5,7,1190,280,197.643,205.562,362.787,376.737,197.643,205.562,0.5508653657391874,-0.023837521393898328,0.5747028871330857
202,5,1,0,602,144.466,131.067,403.487,433.531,130.977,146.175,-0.389029227638752,0.015780983432084797,-0.40481021107083676
202,5,2,150,174,140.442,139.274,310.48,319.132,137.981,140.442,0.17522389832183438,0.040988229070211664,0.13423566925162272
202,5,3,275,180,139.305,142.292,320.182,329.132,139.263,142.292,0.3402721897958985,0.027247842848082356,0.31302434694781617
202,5,4,530,240,142.611,148.007,330.182,342.132,142.558,148.085,0.49983253725119337,0.013602946642685836,0.4862295906085075
202,5,5,730,180,148.606,153.987,343.182,352.132,148.606,153.987,0.6020807981582947,9.180493004173838e-4,0.6011627488578773
202,5,6,945,180,154.39,160.046,353.182,362.131,154.39,160.07,0.651117278834395,-0.011676276127608137,0.6627935549620031
202,5,7,1190,274,160.84,169.52,363.182,376.832,160.68,169.52,0.6473045588564439,-0.023837521393898328,0.6711420802503422
203,5,1,0,603,212.806,196.807,402.88,432.978,196.715,212.806,-0.5343310016780765,0.015780983432084797,-0.5501119851101612
203,5,2,150,177,208.864,208.965,309.886,318.679,207.344,208.975,0.25830392712485967,0.040988229070211664,0.217315698054648
203,5,3,275,181,209.151,213.581,319.679,328.678,209.151,213.655,0.5241718598962016,0.027247842848082356,0.4969240170481193
203,5,4,530,241,214.071,223.505,329.679,341.679,214.071,223.505,0.8381750154995794,0.013602946642685836,0.8245720688568936
203,5,5,730,181,224.6,233.078,342.678,351.679,224.335,233.098,0.959697449801566,9.180493004173838e-4,0.9587794005011486
203,5,6,945,181,234.064,243.147,352.679,361.678,234.064,243.147,1.0188923308288123,-0.011676276127608137,1.0305686069564204
203,5,7,1190,273,244.277,258.332,362.678,376.278,244.121,258.358,1.0499369843361326,-0.023837521393898328,1.073774505730031
204,5,1,0,601,188.495,173.819,Inf,-Inf,173.819,188.495,-0.4835463929557067,0.0402209445354651,-0.5237673374911718
204,5,2,150,171,184.215,182.611,Inf,-Inf,181.455,184.215,0.18458939766234783,0.06579722969958851,0.11879216796275932
204,5,3,275,180,182.975,187.255,Inf,-Inf,182.795,187.369,0.5654766295951993,0.04377153773818181,0.5217050918570175
204,5,4,530,240,187.971,198.517,Inf,-Inf,187.969,198.517,0.9601252482497658,0.025533599941951663,0.934591648307814
204,5,5,730,180,199.644,210.246,Inf,-Inf,199.519,210.246,1.180135878078558,0.013452303879710048,1.166683574198848
204,5,6,945,180,211.348,223.128,Inf,-Inf,211.348,223.128,1.3486924643157503,-9.591106701895952e-4,1.34965157498594
204,5,7,1190,276,224.604,244.51,Inf,-Inf,224.582,244.588,1.467633563420848,-0.017633907258711775,1.4852674706795597
