Date,Run,Temperature,Start.time,Stop.time,Notes
2023-09-22,1,18,8:30,9:30,
2023-09-22,2,22,9:54,10:52,
2023-09-22,3,25,11:14,12:14,
2023-09-22,4,28,12:35,13:35,
2023-09-22,5,31,13:54,14:54,for 31C incubation added a 50W heater - helped keep it at 31 (but maxes out there so can't use for next two)
2023-09-22,6,34,15:12,16:12,
2023-09-22,7,38,16:36,17:36,"by the end of the 38C run the corals started sloughing tissue, water cloudy, titrations took longer"
2023-09-23,8,18,7:52,8:52,
2023-09-23,9,22,9:20,10:20,
2023-09-23,10,25,10:37,11:37,
2023-09-23,11,28,12:02,13:02,
2023-09-23,12,31,13:23,14:23,
2023-09-23,13,34,14:50,15:50,
2023-09-23,14,38,16:07,17:07,
2023-09-24,15,18,8:05,9:05,
2023-09-24,16,22,9:22,10:22,
2023-09-24,17,25,10:51,11:45,"forgot to put in last row of corals, fixed in first 5 min of run"
2023-09-24,18,28,12:01,13:01,
2023-09-24,19,31,13:22,14:22,"put heater in the main water bath, didn't need except to counteract initial cooling of pouring the water in the main water bath"
2023-09-24,20,34,14:44,15:44,requires heater to stay that hot
2023-09-24,21,38,16:05,17:05,"At 38C - several corals start slightly positive or slightly negative, then slope gets increasingly negative over time; some start negative, then slope increases visibly after 20-30 min"
2023-09-25,22,18,8:10,9:10,
2023-09-25,23,22,9:28,10:28,
2023-09-25,24,25,10:46,11:46,
2023-09-25,25,28,12:04,13:04,
2023-09-25,26,31,13:24,14:24,
2023-09-25,27,34,14:44,15:44,
2023-09-25,28,38,16:02,17:02,
2023-09-26,29,18,8:11,9:11,
2023-09-26,30,22,9:30,10:30,
2023-09-26,31,25,10:47,11:47,
2023-09-26,32,28,12:05,13:05,
2023-09-26,33,31,13:26,14:26,
2023-09-26,34,34,14:43,15:43,
2023-09-26,35,38,16:01,17:01,
2025-10-07,1,18,8:06,9:07,
2025-10-07,2,22,9:41,10:42,
2025-10-07,3,25,11:11,12:12,
2025-10-07,4,28,12:41,13:43,Apex disconnected in last 5 mins of run
2025-10-07,5,31,14:30,15:32,Presens crashed at start of run. Had to restart run after 15 mins
2025-10-07,6,34,15:57,17:00,
2025-10-07,7,38,17:26,18:27,
2025-10-08,8,18,8:10,9:11,
2025-10-08,9,22,9:35,10:35,
2025-10-08,10,25,11:02,12:02,
2025-10-08,11,28,12:27,13:38,
2025-10-08,12,31,13:58,15:00,
2025-10-08,13,34,15:24,16:24,
2025-10-08,14,38,16:48,17:49,
2025-10-09,15,18,8:04,9:04,
2025-10-09,16,22,9:25,10:26,
2025-10-09,17,25,10:50,11:52,
2025-10-09,18,28,12:15,13:17,
2025-10-09,19,31,13:39,14:43,
2025-10-09,20,34,15:04,16:05,
2025-10-09,21,38,16:27,17:37,Maybe start time at 17:00 since that is when water got up to temp...check hobo logger
2025-10-10,22,18,8:10,9:11,
2025-10-10,23,22,9:34,10:35,
2025-10-10,24,25,11:11,12:12,
2025-10-10,25,28,12:34,13:35,
2025-10-10,26,31,13:57,14:58,
2025-10-10,27,34,15:20,16:21,
2025-10-10,28,38,16:44,17:45,
2025-10-11,29,18,8:06,9:07,
2025-10-11,30,22,9:26,10:28,
2025-10-11,31,25,10:46,11:47,
2025-10-11,32,28,12:07,13:08,
2025-10-11,33,31,13:27,14:28,
2025-10-11,34,34,14:48,15:49,
2025-10-11,35,38,16:10,17:32,Didn't really see metabolic depression until ~50 mins in
